year,EAP_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Middle-aged_Sex:Total_Education:Total,FSAN_Age:Old_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Female_Education:Total,FSAN_Age:Total_Sex:Male_Education:Total,FSAN_Age:Total_Sex:Total_Education:Primary education,FSAN_Age:Total_Sex:Total_Education:Secondary education,FSAN_Age:Total_Sex:Total_Education:Tertiary education,FSAN_Age:Total_Sex:Total_Education:Total,FSAN_Age:Young_Sex:Total_Education:Total,FTUELT_Age:Total_Sex:Total_Education:Total,GWG_Age:Total_Sex:Total_Education:Total,HDBRIP_Age:Total_Sex:Total_Education:Total,HIAH_Age:Total_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Total_Education:Primary education,LTUR_Age:Total_Sex:Total_Education:Secondary education,LTUR_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Middle-aged_Sex:Total_Education:Total,NAB_Age:Old_Sex:Total_Education:Total,NAB_Age:Total_Sex:Female_Education:Total,NAB_Age:Total_Sex:Male_Education:Total,NAB_Age:Total_Sex:Total_Education:Primary education,NAB_Age:Total_Sex:Total_Education:Secondary education,NAB_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Total_Sex:Total_Education:Total,NAB_Age:Young_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,SMS_Age:Total_Sex:Female_Education:Total,SMS_Age:Total_Sex:Male_Education:Total,SMS_Age:Total_Sex:Total_Education:Primary education,SMS_Age:Total_Sex:Total_Education:Secondary education,SMS_Age:Total_Sex:Total_Education:Tertiary education,SMS_Age:Total_Sex:Total_Education:Total,SRS_Age:Total_Sex:Female_Education:Total,SRS_Age:Total_Sex:Male_Education:Total,SRS_Age:Total_Sex:Total_Education:Primary education,SRS_Age:Total_Sex:Total_Education:Secondary education,SRS_Age:Total_Sex:Total_Education:Tertiary education,SRS_Age:Total_Sex:Total_Education:Total,SSS_Age:Total_Sex:Female_Education:Total,SSS_Age:Total_Sex:Male_Education:Total,SSS_Age:Total_Sex:Total_Education:Primary education,SSS_Age:Total_Sex:Total_Education:Secondary education,SSS_Age:Total_Sex:Total_Education:Tertiary education,SSS_Age:Total_Sex:Total_Education:Total,SS_Age:Middle-aged_Sex:Total_Education:Total,SS_Age:Old_Sex:Total_Education:Total,SS_Age:Total_Sex:Female_Education:Total,SS_Age:Total_Sex:Male_Education:Total,SS_Age:Total_Sex:Total_Education:Primary education,SS_Age:Total_Sex:Total_Education:Secondary education,SS_Age:Total_Sex:Total_Education:Tertiary education,SS_Age:Total_Sex:Total_Education:Total,SS_Age:Young_Sex:Total_Education:Total,SWLMS_Age:Total_Sex:Total_Education:Total,SWLRS_Age:Total_Sex:Total_Education:Total,SWLSS_Age:Total_Sex:Total_Education:Total,TAHDIQ_Age:Total_Sex:Total_Education:Total,TEFTED_Age:Total_Sex:Total_Education:Total,TMSD_Age:Total_Sex:Total_Education:Total,TRSD_Age:Total_Sex:Total_Education:Total,TSSD_Age:Total_Sex:Total_Education:Total,VT_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total
2004,,75.43932307,52.57440381,59.26376783,86.28261052,,,,72.15655344,52.39500016,,,,,,,,,,,,,,4.1,48.8,25.5,75.4,67.8,71.5,16.15683251,14.60674157,11.05345096,19.5051092,15.82249859,14.90797096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.625163078,22.90825653,14.47962761
2005,97.241,75.90398987,54.07150504,60.33337493,86.2523545,,,,72.71506025,52.71178572,,,,,,,,,,,,,,4.1,46.6,24.5,75.8,68.2,71.9,16.13978495,15.01901141,10.93096897,19.0123216,15.49665712,13.8362069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.557554245,22.56401825,14.27791214
2006,,76.34795649,54.1217905,60.99586483,86.23021785,,,,73.05403607,52.60354209,,,,,,,,39.93881136,,,,21.2,,4.2,47.8,25.2,76.1,68.5,72.3,15.3946761,12.77310924,10.72763068,18.35785477,14.99628279,13.88549673,11.66540275,,,,,,,,,,,15.24132374,,,,,59.5251024,,,,,,369.5150465,,,,,,392.8851121,,,,,,390.3315707,,,,,,,,87.97327517,,,,,15.2,,,,,83.27,6.557094097,22.34727478,14.17331791
2007,,76.1011575,53.76614733,60.40930142,86.15308279,68.792847,76.925064,85.791977,72.69607862,52.92977905,,,,,,,,35.60027048,,,,,,3.9,45.6,23.9,76.5,68.9,72.6,15.0003702,13.47753744,10.15075769,17.91697236,14.50716784,13.06850892,11.29180532,,,,,,,,,,,10.90442363,,26.185963,12.000742,19.037571,63.75768631,,,,,,,,,,,,,,,,,,,,,,,,,,88.1100078,,,,,,,,,,,6.526941776,22.57469368,14.26803207
2008,,76.97769915,55.17946994,61.28145747,87.11857802,69.42466,77.742615,85.955757,73.59269166,53.46564243,,,,,,,,45.04333978,,,,,10.4,4.0,46.1,24.3,76.8,69.3,73.0,14.2215428,12.31231231,9.873776981,16.8223208,13.77412274,12.58245614,12.10006275,,,,,,,,,,,12.65395524,,24.685202,11.682377,18.088778,54.11783273,,,,,,,,,,,,,,,,,,,,,,,,,,87.16830214,,,,,,,,,,,6.571269512,22.28385735,14.14551353
2009,,76.87145188,53.86071339,61.22894838,86.37335596,68.749107,77.401581,85.638741,73.21948889,51.58515714,,,,,,,,39.5701872,,,,20.6,17.0,4.3,47.7,25.2,77.1,69.6,73.3,12.99687873,11.38088012,8.775190409,15.48263222,12.50505541,11.19402985,8.6631589,,,,,,,,,,,11.94461768,,24.99272,12.226213,18.593664,60.26280015,,,,,,385.8141118,,,,,,411.7549274,,,,,,405.4039887,,,,,,,,90.70556824,,,,,13.0,,,,,,6.45595026,22.42335892,14.15799332
2010,96.357,,,,,,,,,,42.59544611,36.97145581,32.38293231,49.03621972,43.22610199,38.85593712,,39.91098332,41.17461741,,,,20.8,4.4,47.8,25.3,77.4,70.0,73.6,,,,,,,9.357871121,,,,16.76497161,17.51478612,19.63462383,11.59305051,18.61239076,14.13654238,11.49676666,11.02577312,13.04209381,,,,59.02197128,,,,,,,,,,,,,,,,,,,86.51732206,85.83880067,87.07623482,89.43458796,85.06435752,90.01559615,,89.69670715,92.19878912,,,,,,,,,81.88,6.650309086,21.82654381,13.95922089
2011,98.448,76.34661601,52.70990844,59.65610948,86.33886238,67.120605,70.108574,85.291367,72.38156185,50.10022161,42.59544611,36.97145581,32.38293231,49.03621972,43.22610199,38.85593712,,48.20109706,41.17461741,,,20.9,30.2,4.4,46.8,24.9,77.7,70.3,73.9,11.11600749,10.82621083,7.574491785,13.28967425,10.7304299,9.136685397,8.275539551,,,,16.76497161,17.51478612,19.63462383,11.59305051,18.61239076,14.13654238,11.49676666,12.88200264,13.04209381,22.440596,13.845231,18.302567,50.86391716,,,,,,,,,,,,,,,,,,,86.51732206,85.83880067,87.07623482,89.43458796,85.06435752,90.01559615,,90.54028589,92.19878912,,,,13.8,,,,,,6.691257954,21.96157646,14.04610443
2012,96.348,73.50000905,47.41194705,56.67839442,82.51940184,66.769585,77.300591,85.749039,68.97354477,47.71789168,42.59544611,36.97145581,32.38293231,49.03621972,43.22610199,38.85593712,39.46212232,45.82135689,41.17461741,8.619257928,15.0,,33.6,4.5,49.6,26.4,77.9,70.6,74.2,11.40538319,12.12318649,7.561943814,13.91959108,11.03763813,9.573358911,10.23301912,,,,16.76497161,17.51478612,19.63462383,11.59305051,18.61239076,14.13654238,11.49676666,15.26634255,13.04209381,25.866669,12.792416,19.286877,53.10279288,,,,,,388.5089633,,,,,,406.5331578,,,,,,401.619685,86.51732206,85.83880067,87.07623482,89.43458796,85.06435752,90.01559615,91.88901186,88.97232041,92.19878912,,,,,4.501607717,,,,,6.573719978,22.0114994,14.01480103
2013,94.274,74.04765579,48.43981204,57.51730049,82.90875596,66.87867,76.272385,85.05883,69.58225235,46.98742501,42.59544611,36.97145581,32.38293231,49.03621972,43.22610199,38.85593712,,34.33396809,41.17461741,7.242992904,16.36363636,20.0,36.8,4.5,49.3,26.3,78.2,70.8,74.5,9.71343273,8.996709476,6.247884074,12.16788578,9.446785344,8.276799424,8.20045867,,,,16.76497161,17.51478612,19.63462383,11.59305051,18.61239076,14.13654238,11.49676666,12.26780974,13.04209381,25.7493,13.589537,19.61717,64.52887687,,,,,,,,,,,,,,,,,,,86.51732206,85.83880067,87.07623482,89.43458796,85.06435752,90.01559615,,91.12907205,92.19878912,,,,12.4,4.424778761,,,,,6.465740681,21.97040367,13.93867493
