year, PHWABSF_Age:Total_Sex:Total_Education:Total,EAP_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Middle-aged_Sex:Total_Education:Total,FSAN_Age:Old_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Female_Education:Total,FSAN_Age:Total_Sex:Male_Education:Total,FSAN_Age:Total_Sex:Total_Education:Primary education,FSAN_Age:Total_Sex:Total_Education:Secondary education,FSAN_Age:Total_Sex:Total_Education:Tertiary education,FSAN_Age:Total_Sex:Total_Education:Total,FSAN_Age:Young_Sex:Total_Education:Total,FTUELT_Age:Total_Sex:Total_Education:Total,GWG_Age:Total_Sex:Total_Education:Total,HA_Age:Total_Sex:Total_Education:Total,HDBRIP_Age:Total_Sex:Total_Education:Total,HDI_Age:Total_Sex:Total_Education:Total,HO_Age:Total_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,LTUR_Age:Middle-aged_Sex:Total_Education:Total,LTUR_Age:Old_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Female_Education:Total,LTUR_Age:Total_Sex:Male_Education:Total,LTUR_Age:Total_Sex:Total_Education:Primary education,LTUR_Age:Total_Sex:Total_Education:Secondary education,LTUR_Age:Total_Sex:Total_Education:Tertiary education,LTUR_Age:Total_Sex:Total_Education:Total,LTUR_Age:Young_Sex:Total_Education:Total,NAB_Age:Middle-aged_Sex:Total_Education:Total,NAB_Age:Old_Sex:Total_Education:Total,NAB_Age:Total_Sex:Female_Education:Total,NAB_Age:Total_Sex:Male_Education:Total,NAB_Age:Total_Sex:Total_Education:Primary education,NAB_Age:Total_Sex:Total_Education:Secondary education,NAB_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Total_Sex:Total_Education:Total,NAB_Age:Young_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,PH+_Age:Middle-aged_Sex:Total_Education:Total,PH+_Age:Old_Sex:Total_Education:Total,PH+_Age:Total_Sex:Female_Education:Total,PH+_Age:Total_Sex:Male_Education:Total,PH+_Age:Total_Sex:Total_Education:Total,PH+_Age:Young_Sex:Total_Education:Total,PH_Age:Total_Sex:Total_Education:Total,RD_Age:Total_Sex:Total_Education:Total,SMS_Age:Total_Sex:Female_Education:Total,SMS_Age:Total_Sex:Male_Education:Total,SMS_Age:Total_Sex:Total_Education:Primary education,SMS_Age:Total_Sex:Total_Education:Secondary education,SMS_Age:Total_Sex:Total_Education:Tertiary education,SMS_Age:Total_Sex:Total_Education:Total,SRS_Age:Total_Sex:Female_Education:Total,SRS_Age:Total_Sex:Male_Education:Total,SRS_Age:Total_Sex:Total_Education:Primary education,SRS_Age:Total_Sex:Total_Education:Secondary education,SRS_Age:Total_Sex:Total_Education:Tertiary education,SRS_Age:Total_Sex:Total_Education:Total,SSS_Age:Total_Sex:Female_Education:Total,SSS_Age:Total_Sex:Male_Education:Total,SSS_Age:Total_Sex:Total_Education:Primary education,SSS_Age:Total_Sex:Total_Education:Secondary education,SSS_Age:Total_Sex:Total_Education:Tertiary education,SSS_Age:Total_Sex:Total_Education:Total,SS_Age:Middle-aged_Sex:Total_Education:Total,SS_Age:Old_Sex:Total_Education:Total,SS_Age:Total_Sex:Female_Education:Total,SS_Age:Total_Sex:Male_Education:Total,SS_Age:Total_Sex:Total_Education:Primary education,SS_Age:Total_Sex:Total_Education:Secondary education,SS_Age:Total_Sex:Total_Education:Tertiary education,SS_Age:Total_Sex:Total_Education:Total,SS_Age:Young_Sex:Total_Education:Total,SWLMS_Age:Total_Sex:Total_Education:Total,SWLRS_Age:Total_Sex:Total_Education:Total,SWLSS_Age:Total_Sex:Total_Education:Total,TAHDIQ_Age:Total_Sex:Total_Education:Total,TEFTED_Age:Total_Sex:Total_Education:Total,TMSD_Age:Total_Sex:Total_Education:Total,TRSD_Age:Total_Sex:Total_Education:Total,TSSD_Age:Total_Sex:Total_Education:Total,VT_Age:Total_Sex:Total_Education:Total,hco_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total
2004,,,70.98173288,46.83610256,46.36127286,89.91383942,62.776333,71.887047,81.76635,67.88305209,41.35771133,,,,,,,,,,,,,,,,2.0,11.2,6.6,81.0,76.2,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.958391666,21.07920265,14.43630409
2005,,99.851,73.49813952,52.17595601,50.10301854,91.62802068,65.914574,72.513893,84.503532,70.77749969,41.77994326,,,,,,,,,,,,,,,,2.6,12.6,7.5,81.2,76.4,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.139908791,18.30271149,12.66587067
2006,,,73.40462237,52.98012393,49.98754309,91.4323764,66.147629,71.005692,83.774475,70.57910896,42.90511888,,,,,,,,51.11991844,,,,,,,,1.6,14.1,7.8,81.4,76.5,79.0,,,,,,,6.230316693,,,,,,,,,,,,,,,,,10.62435742,,,,,45.98216646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.56642649,,,,,,,,,,65.13,,7.691077709,20.74075127,14.1083746
2007,,,74.6446353,54.84827485,51.77674439,92.01829079,67.708755,71.649071,83.970078,71.87360661,46.33265589,,,,,,,,48.28443283,,,,,,,,1.0,10.7,5.8,81.6,76.6,79.1,,,,,,,8.161610864,,,,,,,,,,,,,,,,,8.130104367,,,,,49.28729511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9812058,,,,,,,,,,,,7.125477314,17.37688828,12.12479401
2008,,,74.89947875,53.21900427,52.68510956,91.26531432,67.077698,73.257668,83.231461,71.67902417,44.35714567,,,,,,,,45.02171758,,,,,,,,1.9,15.4,8.6,81.8,76.8,79.3,,,,,,,8.376973045,,,,,,,,,,,,,,,,,8.742330367,,,,,52.97654531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06363305,,,,,,,,,,,,7.299512386,17.50582504,12.29282093
2009,,,73.57635018,53.73047692,52.27467738,89.1627772,64.507881,72.93705,84.303986,70.49035821,39.27832544,,,,,,,,44.30644222,,,,,,,,2.0,16.5,9.2,82.0,76.9,79.4,,,,,,,9.99766171,,,,,,,,,,,,,,,,,5.373828411,,,,,55.21174364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7611339,,,,,,,,,,,,6.072947502,17.23813057,11.64394951
2010,7.150324434,99.865,72.85994001,54.06969308,52.24606539,87.4227025,64.263031,73.494446,83.639328,69.74490216,34.70589621,48.65553081,39.25715387,40.4961735,53.00915837,44.4783777,48.21584225,46.87104523,40.8101699,50.25494695,18.12242963,,,20.0,,,2.2,18.7,10.4,81.6,76.6,79.1,33.04417609,20.11319461,19.54679517,40.58467124,32.48321732,31.60157033,8.44606068,,,,,,,,,,13.9906913,11.02407798,13.38467598,8.97359401,13.80608529,10.13069078,9.14812386,4.513460298,8.66118148,,,,58.18900544,,,,,,,,12.66019894,,,,,,,,,,,,,,,,,,,87.39349246,84.99033451,89.34836984,88.17254305,83.18475485,91.15333557,95.00493407,91.08480893,93.1107223,,,,12.1,5.384615385,,,,69.11,,5.431236267,19.14653969,12.26793861
2011,6.993705779,99.865,70.84320157,50.83910073,50.05246851,84.49087881,61.148151,72.280754,81.227402,67.31797472,33.68073746,48.65553081,39.25715387,40.4961735,53.00915837,44.4783777,48.21584225,46.87104523,40.97922082,50.25494695,14.63859598,4.630681818,,20.7,,11.27370298,2.6,15.9,9.2,81.6,76.6,79.1,28.61394595,27.36677547,16.8581682,34.80827181,27.98274534,27.91615734,10.71493123,,,,,,,,,,13.9906913,11.02407798,13.38467598,8.97359401,13.80608529,10.13069078,9.14812386,10.46807707,8.66118148,,,,56.84587119,,,,,,,,12.54314701,,,,,,,,,,,,,,,,,,,87.39349246,84.99033451,89.34836984,88.17254305,83.18475485,91.15333557,95.00493407,88.54167671,93.1107223,,,,13.1,5.026041667,,,,,18.91715825,6.708444595,18.20612526,12.47700024
2012,5.309472233,99.865,74.13609223,54.38380735,55.88825933,85.42097875,65.437431,74.14592,82.175148,70.69097271,37.13201551,48.65553081,39.25715387,40.4961735,53.00915837,44.4783777,48.21584225,46.87104523,52.72466052,50.25494695,13.8797678,0.552486188,80.61333124,21.3,12630.0,10.41360423,1.8,13.5,7.6,81.9,76.9,79.4,27.08458897,11.85676899,14.96207251,33.79630539,26.27575576,25.8387953,9.657508117,0.803879185,0.976783052,1.561014919,0.657301248,,,,1.011017239,1.694095415,13.9906913,11.02407798,13.38467598,8.97359401,13.80608529,10.13069078,9.14812386,7.896980023,8.66118148,,,,45.88639351,,,,,,,,14.07857672,,,,,,406.9998672,,,,,,440.5478107,,,,,,429.3509678,87.39349246,84.99033451,89.34836984,88.17254305,83.18475485,91.15333557,95.00493407,89.09695307,93.1107223,,,,13.5,5.025641026,,,,,20.31368911,5.931734562,16.47795677,11.1261282
2013,5.428801849,99.865,74.47987023,55.00602028,55.32211018,86.58772871,65.945564,72.504944,82.00811,70.77880797,37.18161539,48.65553081,39.25715387,40.4961735,53.00915837,44.4783777,48.21584225,46.87104523,48.42594968,50.25494695,15.87130124,,81.78102664,21.0,12798.0,10.25553048,1.3,13.8,7.5,82.1,77.1,79.6,27.0008434,17.03617616,15.73989654,34.46427078,26.83394895,27.16235803,9.710562407,0.936182517,0.714303368,1.716267411,0.625595717,,,,1.054132996,1.626553163,13.9906913,11.02407798,13.38467598,8.97359401,13.80608529,10.13069078,9.14812386,9.795947076,8.66118148,25.095747,15.542738,19.971151,49.17003884,,,,,,,,13.26071936,,,,,,,,,,,,,,,,,,,87.39349246,84.99033451,89.34836984,88.17254305,83.18475485,91.15333557,95.00493407,89.44686856,93.1107223,,,,14.3,5.115740741,,,,,16.16880447,5.383818626,17.63095284,11.49903679
