year, PHWABSF_Age:Total_Sex:Total_Education:Total,AAGE_Age:Total_Sex:Total_Education:Total,ALS_Age:Middle-aged_Sex:Total_Education:Total,ALS_Age:Old_Sex:Total_Education:Total,ALS_Age:Total_Sex:Female_Education:Total,ALS_Age:Total_Sex:Male_Education:Total,ALS_Age:Total_Sex:Total_Education:Total,ALS_Age:Young_Sex:Total_Education:Total,ANS_Age:Middle-aged_Sex:Total_Education:Total,ANS_Age:Old_Sex:Total_Education:Total,ANS_Age:Total_Sex:Female_Education:Total,ANS_Age:Total_Sex:Male_Education:Total,ANS_Age:Total_Sex:Total_Education:Total,ANS_Age:Young_Sex:Total_Education:Total,AWLLS_Age:Total_Sex:Total_Education:Total,AWLNS_Age:Total_Sex:Total_Education:Total,Access to green space_Age:Total_Sex:Total_Education:Total,Difficulty making ends meet_Age:Total_Sex:Total_Education:Total,EAP_Age:Total_Sex:Total_Education:Total,ELFA_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Middle-aged_Sex:Total_Education:Total,FSAN_Age:Old_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Female_Education:Total,FSAN_Age:Total_Sex:Male_Education:Total,FSAN_Age:Total_Sex:Total_Education:Primary education,FSAN_Age:Total_Sex:Total_Education:Secondary education,FSAN_Age:Total_Sex:Total_Education:Tertiary education,FSAN_Age:Total_Sex:Total_Education:Total,FSAN_Age:Young_Sex:Total_Education:Total,FTUELT_Age:Total_Sex:Total_Education:Total,GGWH_Age:Total_Sex:Total_Education:Total,GWG_Age:Total_Sex:Total_Education:Total,HA_Age:Total_Sex:Total_Education:Total,HDBRIP_Age:Total_Sex:Total_Education:Total,HDI_Age:Total_Sex:Total_Education:Total,HIAH_Age:Total_Sex:Total_Education:Total,HO_Age:Total_Sex:Total_Education:Total,HSG_Age:Middle-aged_Sex:Total_Education:Total,HSG_Age:Old_Sex:Total_Education:Total,HSG_Age:Total_Sex:Female_Education:Total,HSG_Age:Total_Sex:Male_Education:Total,HSG_Age:Total_Sex:Total_Education:Primary education,HSG_Age:Total_Sex:Total_Education:Secondary education,HSG_Age:Total_Sex:Total_Education:Tertiary education,HSG_Age:Total_Sex:Total_Education:Total,HSG_Age:Young_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,JS_Age:Middle-aged_Sex:Total_Education:Total,JS_Age:Old_Sex:Total_Education:Total,JS_Age:Total_Sex:Female_Education:Total,JS_Age:Total_Sex:Male_Education:Total,JS_Age:Total_Sex:Total_Education:Primary education,JS_Age:Total_Sex:Total_Education:Secondary education,JS_Age:Total_Sex:Total_Education:Tertiary education,JS_Age:Total_Sex:Total_Education:Total,JS_Age:Young_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LMIS_Age:Middle-aged_Sex:Total_Education:Total,LMIS_Age:Old_Sex:Total_Education:Total,LMIS_Age:Total_Sex:Female_Education:Total,LMIS_Age:Total_Sex:Male_Education:Total,LMIS_Age:Total_Sex:Total_Education:Primary education,LMIS_Age:Total_Sex:Total_Education:Secondary education,LMIS_Age:Total_Sex:Total_Education:Tertiary education,LMIS_Age:Total_Sex:Total_Education:Total,LMIS_Age:Young_Sex:Total_Education:Total,LS score less than 5_Age:Total_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,LS_Age:Middle-aged_Sex:Total_Education:Total,LS_Age:Old_Sex:Total_Education:Total,LS_Age:Total_Sex:Female_Education:Primary education,LS_Age:Total_Sex:Female_Education:Secondary education,LS_Age:Total_Sex:Female_Education:Tertiary education,LS_Age:Total_Sex:Female_Education:Total,LS_Age:Total_Sex:Male_Education:Primary education,LS_Age:Total_Sex:Male_Education:Secondary education,LS_Age:Total_Sex:Male_Education:Tertiary education,LS_Age:Total_Sex:Male_Education:Total,LS_Age:Total_Sex:Total_Education:Primary education,LS_Age:Total_Sex:Total_Education:Secondary education,LS_Age:Total_Sex:Total_Education:Tertiary education,LS_Age:Total_Sex:Total_Education:Total,LS_Age:Young_Sex:Total_Education:Total,LTUR_Age:Middle-aged_Sex:Total_Education:Total,LTUR_Age:Old_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Female_Education:Total,LTUR_Age:Total_Sex:Male_Education:Total,LTUR_Age:Total_Sex:Total_Education:Primary education,LTUR_Age:Total_Sex:Total_Education:Secondary education,LTUR_Age:Total_Sex:Total_Education:Tertiary education,LTUR_Age:Total_Sex:Total_Education:Total,LTUR_Age:Young_Sex:Total_Education:Total,LUWH_Age:Total_Sex:Total_Education:Total,MNW_Age:Total_Sex:Total_Education:Total,NAB_Age:Middle-aged_Sex:Total_Education:Total,NAB_Age:Old_Sex:Total_Education:Total,NAB_Age:Total_Sex:Female_Education:Total,NAB_Age:Total_Sex:Male_Education:Total,NAB_Age:Total_Sex:Total_Education:Primary education,NAB_Age:Total_Sex:Total_Education:Secondary education,NAB_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Total_Sex:Total_Education:Total,NAB_Age:Young_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,Not HSG_Age:Total_Sex:Total_Education:Total,PH+_Age:Middle-aged_Sex:Total_Education:Total,PH+_Age:Old_Sex:Total_Education:Total,PH+_Age:Total_Sex:Female_Education:Total,PH+_Age:Total_Sex:Male_Education:Total,PH+_Age:Total_Sex:Total_Education:Primary education,PH+_Age:Total_Sex:Total_Education:Secondary education,PH+_Age:Total_Sex:Total_Education:Tertiary education,PH+_Age:Total_Sex:Total_Education:Total,PH+_Age:Young_Sex:Total_Education:Total,PH_Age:Total_Sex:Total_Education:Total,RD_Age:Total_Sex:Total_Education:Total,SMS_Age:Total_Sex:Female_Education:Total,SMS_Age:Total_Sex:Male_Education:Total,SMS_Age:Total_Sex:Total_Education:Primary education,SMS_Age:Total_Sex:Total_Education:Secondary education,SMS_Age:Total_Sex:Total_Education:Tertiary education,SMS_Age:Total_Sex:Total_Education:Total,SRS_Age:Total_Sex:Female_Education:Total,SRS_Age:Total_Sex:Male_Education:Total,SRS_Age:Total_Sex:Total_Education:Primary education,SRS_Age:Total_Sex:Total_Education:Secondary education,SRS_Age:Total_Sex:Total_Education:Tertiary education,SRS_Age:Total_Sex:Total_Education:Total,SSS_Age:Total_Sex:Female_Education:Total,SSS_Age:Total_Sex:Male_Education:Total,SSS_Age:Total_Sex:Total_Education:Primary education,SSS_Age:Total_Sex:Total_Education:Secondary education,SSS_Age:Total_Sex:Total_Education:Tertiary education,SSS_Age:Total_Sex:Total_Education:Total,SS_Age:Middle-aged_Sex:Total_Education:Total,SS_Age:Old_Sex:Total_Education:Total,SS_Age:Total_Sex:Female_Education:Total,SS_Age:Total_Sex:Male_Education:Total,SS_Age:Total_Sex:Total_Education:Primary education,SS_Age:Total_Sex:Total_Education:Secondary education,SS_Age:Total_Sex:Total_Education:Tertiary education,SS_Age:Total_Sex:Total_Education:Total,SS_Age:Young_Sex:Total_Education:Total,SWLMS_Age:Total_Sex:Total_Education:Total,SWLRS_Age:Total_Sex:Total_Education:Total,SWLSS_Age:Total_Sex:Total_Education:Total,Satisfaction with personal relationships score less than 5_Age:Total_Sex:Total_Education:Total,Satisfaction with personal relationships_Age:Middle-aged_Sex:Total_Education:Total,Satisfaction with personal relationships_Age:Old_Sex:Total_Education:Total,Satisfaction with personal relationships_Age:Total_Sex:Female_Education:Total,Satisfaction with personal relationships_Age:Total_Sex:Male_Education:Total,Satisfaction with personal relationships_Age:Total_Sex:Total_Education:Primary education,Satisfaction with personal relationships_Age:Total_Sex:Total_Education:Secondary education,Satisfaction with personal relationships_Age:Total_Sex:Total_Education:Tertiary education,Satisfaction with personal relationships_Age:Total_Sex:Total_Education:Total,Satisfaction with personal relationships_Age:Young_Sex:Total_Education:Total,Satisfaction with time use score less than 5_Age:Total_Sex:Total_Education:Total,Satisfaction with time use_Age:Middle-aged_Sex:Total_Education:Total,Satisfaction with time use_Age:Old_Sex:Total_Education:Total,Satisfaction with time use_Age:Total_Sex:Female_Education:Total,Satisfaction with time use_Age:Total_Sex:Male_Education:Total,Satisfaction with time use_Age:Total_Sex:Total_Education:Primary education,Satisfaction with time use_Age:Total_Sex:Total_Education:Secondary education,Satisfaction with time use_Age:Total_Sex:Total_Education:Tertiary education,Satisfaction with time use_Age:Total_Sex:Total_Education:Total,Satisfaction with time use_Age:Young_Sex:Total_Education:Total,Self-reported depression_Age:Old_Sex:Total_Education:Total,Self-reported depression_Age:Total_Sex:Female_Education:Total,Self-reported depression_Age:Total_Sex:Male_Education:Total,Self-reported depression_Age:Total_Sex:Total_Education:Primary education,Self-reported depression_Age:Total_Sex:Total_Education:Secondary education,Self-reported depression_Age:Total_Sex:Total_Education:Tertiary education,Self-reported depression_Age:Total_Sex:Total_Education:Total,Self-reported depression_Age:Young_Sex:Total_Education:Total,TAHDIQ_Age:Total_Sex:Total_Education:Total,TALS_Age:Total_Sex:Total_Education:Total,TANS_Age:Total_Sex:Total_Education:Total,TEFTED_Age:Total_Sex:Total_Education:Total,TMSD_Age:Total_Sex:Total_Education:Total,TO_Age:Middle-aged_Sex:Total_Education:Total,TO_Age:Old_Sex:Total_Education:Total,TO_Age:Total_Sex:Female_Education:Total,TO_Age:Total_Sex:Male_Education:Total,TO_Age:Total_Sex:Total_Education:Total,TO_Age:Young_Sex:Total_Education:Total,TRSD_Age:Total_Sex:Total_Education:Total,TSISI_Age:Middle-aged_Sex:Total_Education:Total,TSISI_Age:Old_Sex:Total_Education:Total,TSISI_Age:Total_Sex:Female_Education:Total,TSISI_Age:Total_Sex:Male_Education:Total,TSISI_Age:Total_Sex:Total_Education:Total,TSISI_Age:Young_Sex:Total_Education:Total,TSSD_Age:Total_Sex:Total_Education:Total,TWHSD_Age:Total_Sex:Total_Education:Total,Top LS scores quintile_Age:Total_Sex:Total_Education:Total,Top personal relationship satisfaction scores quintile_Age:Total_Sex:Total_Education:Total,Top satisfaction with time use quintile_Age:Total_Sex:Total_Education:Total,VT_Age:Middle-aged_Sex:Total_Education:Total,VT_Age:Old_Sex:Total_Education:Total,VT_Age:Total_Sex:Female_Education:Total,VT_Age:Total_Sex:Male_Education:Total,VT_Age:Total_Sex:Total_Education:Secondary education,VT_Age:Total_Sex:Total_Education:Tertiary education,VT_Age:Total_Sex:Total_Education:Total,VT_Age:Young_Sex:Total_Education:Total,hco_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total
2004,,41500.0,,,,,,,,,,,,,,,,25.0,,,76.99704666,49.99357165,60.38494621,83.84592541,57.486076,75.877754,86.203506,72.15654822,47.71679028,,,,,,,,,,,,,80.3023478,13.4,23608.0,,,,,,,,,,,,0.2,0.9,0.6,,,,,,,,,,81.1,76.1,78.6,5.404716192,5.887760007,1.552087782,7.618775583,4.698529305,2.084731956,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440281398,0.288645999,0.822775268,1.994295796,,,,1.479479282,2.146432937,,,,,,,,,,,,9.9602633,7.0169482,8.4715414,,,84.5,57.9,82.2,83.5,73.4,90.2,92.6,82.8,96.0,3.8,9.283043726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,43043.0,,,,,,,,,,,,,,,,24.89999962,63.236,,78.07923686,52.06862659,62.19505329,84.45985754,58.447918,76.717979,86.801743,73.40193511,48.71938542,,,,,,,,,,,22.90388489,,80.87280852,11.6,24826.0,7.3916,,,,,,,,,,,0.3,1.4,0.9,22.81436348,24.02125359,21.25227928,33.1710434,31.50377464,48.96332169,10.76126862,27.56295013,35.17432785,81.3,76.7,79.0,5.44844018,4.131613211,1.541056165,7.727706175,4.735396727,2.163997595,,,,,,,,,,,,,,,,,,,,,,,,,,,1.326048329,0.486580768,0.732022072,1.876852181,,,,1.366260861,1.894778828,16.69376,,,,,,,,,,,9.6587944,7.6651258,8.6503954,,,83.90000153,58.8,81.9,83.5,73.2,90.9,91.5,82.7,95.4,3.7,9.631118436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,13.797599,14.608816,14.413752,14.62381,14.540002,15.076214,,4.3105381,5.8646748,6.62994,5.0103292,5.832170283,8.0404608,,,,,,,,,,,,,,,,,
2006,,43408.0,,,,,,,,,,,,,,,,24.89999962,,,78.35664249,53.53126521,63.01886674,84.64432273,58.76096,77.170906,86.083153,73.95704417,50.26073897,,,,,,,,70.69416908,,18.09401709,,19.6020196,80.58530326,11.4,25191.0,13.0667,,,,,,,,,,,0.5,1.3,0.9,,,,,,,,,,81.7,76.9,79.3,4.821737645,4.423199089,1.521293777,6.711434141,4.226448488,2.099808149,,,,,,,,,,,3.286980024,,,,,,,,,,,,,,,,1.326154537,0.423914583,0.829705835,1.747974433,,,,1.343840625,1.858704883,,,,,,,,,,6.185332813,,9.6540642,7.7470241,8.6856546,26.5313247,,84.55000305,59.0,82.0,84.3,72.1,91.6,91.6,83.1,95.1,3.2,8.673632822,,,,,,501.4717711,,,,,,517.3132382,,,,,,508.3289299,,,,,,,,96.44278608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,3.592796093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,44661.0,,,,,,,,,,,,,,,,21.79999924,,,78.58265771,54.41025135,64.09246592,84.33697722,58.70089,76.996483,86.348022,74.31974357,63.01930159,,,,,,,,,,,,,79.85616298,9.6,25924.0,31.2158,,,,,,,,,,,0.3,1.7,1.0,,,,,,,,,,82.1,77.3,79.7,4.543192092,5.92792568,1.410109775,6.512003425,4.028151591,1.816267863,1.623796344,1.150361776,1.482351542,2.6652596,3.51518178,1.761361241,0.944873869,2.073805332,3.447258949,,,,,,,,,,,,,,,,,,1.428637838,0.249796284,1.03338417,1.758148196,,,,1.465398727,1.920483782,,,,,,,,,,,,9.8372059,8.0864935,8.9522543,,,85.44999695,61.0,83.8,84.2,73.0,91.4,93.1,84.0,95.1,2.6,7.787806691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.03,,,9.249228477,26.95349693,18.04379082
2008,,46417.0,,,,,,,,,,,,,,,,23.60000038,,,77.34047983,54.3222325,64.16699108,82.19593972,56.845081,75.506363,85.196899,73.24692496,57.08018423,,,,,,,,67.25975311,,,,,79.93329469,9.1,26757.0,42.9403,,,,,,,,,,,0.3,1.4,0.9,,,,,,,,,,82.4,77.9,80.2,4.236703376,4.938924614,1.159155928,6.260731098,3.71619814,1.473081201,3.281350374,2.236145496,2.137903214,6.438399792,7.060475826,3.912068129,1.891908646,4.288151264,7.346956253,,1.745651985,,,,,,,,,,,,,,,,1.65640876,0.593004954,1.069367846,2.304321931,,,,1.782995881,2.597998031,,,,,,,,,,7.734175873,,12.316899,11.30115,11.805021,32.00311184,,85.69999695,62.4,83.0,85.6,73.3,90.5,94.5,84.3,95.3,2.6,6.258741769,,,,,,,,,,,,,,,,,,,,,,,,,,98.12985245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.015519142,25.54408646,17.20046997
2009,,50191.0,,,,,,,,,,,,,,,,26.5,,,72.24648785,51.3696415,62.08336272,74.80531505,50.67767,69.639885,82.234619,68.46379678,45.34472975,,,,,,,,61.72658887,,,,,81.87676197,8.8,26403.0,53.7193,,,,,,,,,,,0.4,1.7,1.0,,,,,,,,,,82.7,77.8,80.2,3.746544407,2.554658791,1.127494761,5.847140593,3.384929119,1.303043285,3.299663305,3.06052351,1.978564024,7.131568432,7.772657871,4.474955559,1.417583227,4.555066109,7.305012703,,4.129756811,,,,,,,,,,,,,,,,3.276464647,2.337688228,2.104821619,4.950217674,,,,3.71945315,6.23891094,,,,,,,,,,11.76235954,,14.512815,17.862913,16.180515,34.90038094,,84.5,63.2,82.7,83.6,71.4,89.5,93.0,83.1,95.0,2.8,5.263947138,,,,,,487.1363751,,,,,,495.6391086,,,,,,507.9841538,,,,,,,,95.87024319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.113706589,28.50468063,18.15113449
2010,0.893466081,50350.0,,,,,,,,,,,,,,,,33.29999924,44.043,,70.15288901,50.44984864,61.14365962,71.9625975,47.612698,66.471428,80.95153,66.54025192,38.7032869,76.79100633,71.26007676,65.84643722,82.64672756,,72.84482121,77.83184052,69.83393538,74.37309027,17.71544715,,14.34586466,82.04868584,9.1,25870.0,57.5191,2.237915061,,,,,,,,,,0.2,1.4,0.8,23.61681366,26.55711937,21.79633713,28.776371,24.59019661,49.06835175,14.07322121,25.340271,27.82097244,83.1,78.5,80.8,4.117328795,4.183695243,1.26232054,6.368711089,3.699751987,1.282503465,5.234422684,5.877863884,3.854574919,10.1529274,12.32656956,6.355652809,2.329028845,7.003751278,9.898964882,,2.71141073,,,,,,,,,,,,,,,,6.638630465,4.483266475,4.384917832,9.434888475,,,,7.235173713,11.81974724,,,10.14199778,8.987022936,9.790471941,8.715552092,13.81932199,9.435202181,7.590380311,8.84983955,7.993585616,16.928102,20.3923,18.661366,28.58127287,,84.0,64.8,82.2,83.4,72.8,88.0,92.2,82.8,95.1,3.2,4.659926479,,,,,,,,,,,,,,,,,,,94.26043034,94.70172524,95.0766623,94.27213073,,94.78124976,95.48889399,97.28858927,95.66859007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,3.63514338,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16552821,8.221429825,24.53509521,16.24079132
2011,2.873428725,49758.0,,,,,,,,,,,,,,,,32.09999847,52.331,,69.13805915,50.09750829,60.43964896,70.83400791,45.83659,64.867798,80.506882,65.60337923,36.16580275,76.79100633,71.26007676,65.84643722,82.64672756,,72.84482121,77.83184052,70.1846833,74.37309027,,,,81.09546225,10.0,24246.0,65.4253,1.209135447,,,,,,,,,,0.0,1.2,0.6,,,,,,,,,,83.0,78.6,80.9,4.405291326,4.139175109,1.461928909,6.643681322,3.93592607,0.973010019,4.807368755,4.076696873,4.005402088,9.762671471,11.57658958,6.792394161,2.283123255,6.884036064,11.76804638,,2.251646547,,,,,,,,,,,,,,,,8.777345816,6.475864878,5.979858862,11.85395179,,,,9.296449974,13.82450233,,,10.14199778,8.987022936,9.790471941,8.715552092,13.81932199,9.435202181,7.590380311,8.471466317,7.993585616,16.851185,19.233641,18.054987,27.63548879,,84.75,63.8,83.0,83.6,71.8,88.1,91.3,83.3,96.1,2.9,4.069237418,,,,,,,,,,,,,,,,,,,94.26043034,94.70172524,95.0766623,94.27213073,,94.78124976,95.48889399,97.27994806,95.66859007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,,14.45709765,7.516020298,29.21684456,18.17607307
2012,5.609606206,49401.0,273.40906,255.47652,265.42544,267.7135,266.54482,270.57468,263.05245,244.63451,249.75831,261.67934,255.59041,257.87303,2.5669806,10.302923,71.08577405,34.20000076,19.156,,69.4302817,49.24258523,60.44401898,70.91617239,44.106441,65.35569,80.041634,65.62876572,34.80409335,76.79100633,71.26007676,65.84643722,82.64672756,,72.84482121,77.83184052,73.66062138,74.37309027,,,,80.8835449,9.4,24268.0,65.4427,1.618097536,28.13647918,27.09437034,28.511216,26.43968396,17.40790466,26.46111393,38.0651395,27.49401734,26.58959749,0.3,1.3,0.8,,,,,,,,,,83.1,78.7,80.9,4.634611418,3.755869265,1.56654238,7.03452353,4.173730782,1.348898595,4.627206326,4.668716908,3.545406342,8.864827156,10.32143879,6.25688076,2.037031889,6.205116749,9.31942749,,3.821410318,,,,,,,,,,,,,,,,8.980505233,7.865603638,6.30103876,12.40036511,,,,9.736834898,14.85484064,,,10.14199778,8.987022936,9.790471941,8.715552092,13.81932199,9.435202181,7.590380311,10.87438574,7.993585616,16.082348,19.373173,17.751419,25.73155198,58.52469227,83.69999695,64.2,82.7,83.0,70.5,88.1,90.4,82.8,95.8,3.0,3.556849696,,,,,,501.4974602,,,,,,523.1732101,,,,,,522.0039603,94.26043034,94.70172524,95.0766623,94.27213073,,94.78124976,95.48889399,96.17858968,95.66859007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,1.559458613,1.68250823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36965531,7.117944241,26.11877823,16.45554543
2013,3.624374047,48266.0,,,,,,,,,,,,,,,,36.79999924,6.197,46.75,71.29233993,51.19898968,61.56535582,73.47801068,46.930607,66.006485,80.129417,67.45419355,36.54732364,76.79100633,71.26007676,65.84643722,82.64672756,,72.84482121,77.83184052,71.68580401,74.37309027,,,,80.1930617,9.5,23749.0,66.9965,1.662352681,,,,,,,,,,0.2,1.0,0.6,,,,,,,,,,83.1,78.9,81.0,4.731557479,1.950896266,1.846278653,6.696270863,4.196151841,1.434453319,3.435754776,3.722229242,3.439403772,6.205591202,7.309405327,5.083731651,2.074356794,4.822497845,7.309508324,7.925684005,4.475074232,7.293500138,7.563716118,,,,7.441827443,,,,7.436501841,7.298578616,7.430818122,7.595641527,7.439511348,7.463398786,7.925556217,8.025230581,6.190206225,10.24213504,,,,8.493483917,11.01563793,,103979.0,10.14199778,8.987022936,9.790471941,8.715552092,13.81932199,9.435202181,7.590380311,11.65849188,7.993585616,15.498328,16.90497,16.211721,27.08746792,,83.65000153,61.3,80.9,83.1,68.9,86.8,90.2,82.0,95.0,3.7,4.094890818,,,,,,,,,,,,,,,,,,,94.26043034,94.70172524,95.0766623,94.27213073,,94.78124976,95.48889399,95.38891983,95.66859007,,,,5.489383273,8.589534259,8.673872957,8.629796358,8.600404544,8.534673014,8.590536888,8.707146389,8.616989037,8.481241735,28.63466417,6.314814101,7.451963942,6.758469373,7.104158733,7.325736406,6.893979877,6.591372723,6.908796006,6.841651034,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,53.7924,2.3,1.646074643,3.231937325,,,,,,,,,13.63382936,7.768678188,24.10772896,15.83862591
