year,EAP_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Middle-aged_Sex:Total_Education:Total,FSAN_Age:Old_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Female_Education:Total,FSAN_Age:Total_Sex:Male_Education:Total,FSAN_Age:Total_Sex:Total_Education:Primary education,FSAN_Age:Total_Sex:Total_Education:Secondary education,FSAN_Age:Total_Sex:Total_Education:Tertiary education,FSAN_Age:Total_Sex:Total_Education:Total,FSAN_Age:Young_Sex:Total_Education:Total,HA_Age:Total_Sex:Total_Education:Total,HDBRIP_Age:Total_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,JS_Age:Middle-aged_Sex:Total_Education:Total,JS_Age:Old_Sex:Total_Education:Total,JS_Age:Total_Sex:Female_Education:Total,JS_Age:Total_Sex:Male_Education:Total,JS_Age:Total_Sex:Total_Education:Primary education,JS_Age:Total_Sex:Total_Education:Secondary education,JS_Age:Total_Sex:Total_Education:Tertiary education,JS_Age:Total_Sex:Total_Education:Total,JS_Age:Young_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,LTUR_Age:Middle-aged_Sex:Total_Education:Total,LTUR_Age:Old_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Female_Education:Total,LTUR_Age:Total_Sex:Male_Education:Total,LTUR_Age:Total_Sex:Total_Education:Total,LTUR_Age:Young_Sex:Total_Education:Total,NAB_Age:Middle-aged_Sex:Total_Education:Total,NAB_Age:Old_Sex:Total_Education:Total,NAB_Age:Total_Sex:Female_Education:Total,NAB_Age:Total_Sex:Male_Education:Total,NAB_Age:Total_Sex:Total_Education:Primary education,NAB_Age:Total_Sex:Total_Education:Secondary education,NAB_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Total_Sex:Total_Education:Total,NAB_Age:Young_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,SS_Age:Middle-aged_Sex:Total_Education:Total,SS_Age:Old_Sex:Total_Education:Total,SS_Age:Total_Sex:Female_Education:Total,SS_Age:Total_Sex:Male_Education:Total,SS_Age:Total_Sex:Total_Education:Primary education,SS_Age:Total_Sex:Total_Education:Secondary education,SS_Age:Total_Sex:Total_Education:Tertiary education,SS_Age:Total_Sex:Total_Education:Total,SS_Age:Young_Sex:Total_Education:Total,TAHDIQ_Age:Total_Sex:Total_Education:Total,VT_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total
2004,,57.41424337,39.58330134,45.23023575,66.42056312,,,,55.08978916,13.84800295,,,,,,,,,,80.45596601,,3.6,20.4,10.6,,,,,,,,,,56.0,51.1,53.4,,,,,,,,14.11744781,4.911498822,19.11420083,13.52439611,16.07081417,23.212115,,,,,,,,,,,,,,,,,,,,,,,,76.73,3.140603065,7.120129108,4.932087898
2005,99.997,59.30578764,42.24974943,47.1968951,68.41127243,,,,57.06468523,15.04218778,,,,,,,,,,79.93589817,,3.7,24.5,12.1,36.75687408,32.94900513,36.9256897,39.02058029,35.6230278,58.68387604,13.48766327,38.03821564,43.51259995,55.9,51.1,53.5,,,,,,,,13.58878008,5.663760819,18.95472602,11.99838885,15.17907877,20.26322987,,,,,,,,,,,,,,,,,,,,,,,,,3.516066313,7.480317116,5.291210175
2006,,61.07279339,43.61319325,48.76262111,70.25950242,,,,58.75930461,16.0228569,,,,,,,,40.69296328,,79.65936622,,3.5,22.1,11.9,,,,,,,,,,56.3,51.4,53.8,,,,,,,8.54843648,12.13689392,4.169330203,17.43487835,10.00369225,13.44814385,17.26237342,,,,,,,,12.88605737,,,,,56.06207878,,,,,,,,89.74355399,,,,3.0472157,7.572782993,5.102710724
2007,,60.64149526,42.23357777,48.53746863,69.27311198,,,,58.17961476,15.68193383,,,,,,,,32.4509619,,79.58444095,,3.5,23.7,12.3,,,,,,,,,,57.0,52.0,54.5,,,,,,,21.15372015,11.50391173,4.542781138,16.45157411,9.882289064,12.88563314,16.81129674,,,,,,,,16.65610132,,,,,66.7877144,,,,,,,,78.77296114,,,,3.299035788,6.770704746,4.877146721
2008,,61.31736241,41.523916,48.90044163,69.57502445,,,,58.8181997,16.70601212,,,,,,,,18.60957476,,80.06447746,,3.5,19.7,11.2,,,,,,,,,,58.0,52.9,55.4,23.48100363,39.20402777,18.01200748,28.17344491,23.80474005,28.99121087,18.92597939,10.38086535,4.341366859,14.20828572,9.093609357,11.32929062,13.54005035,,,,,,,,13.45349925,,,,,80.94389582,,,,,,,,80.44500502,,,,3.034848452,6.689728737,4.677371025
2009,,59.09925606,40.13580807,47.84106015,66.24451529,,,,56.6856243,14.50499502,,,,,,,,19.88789087,,80.36143978,,3.5,19.8,10.9,,,,,,,,,,59.2,53.8,56.5,20.55468303,,15.61504377,24.64813817,20.66756365,24.97037406,12.25331613,11.06484739,3.776400431,14.6464566,9.814971641,11.86154732,14.35090459,,,,,,,,10.88535457,,,,,79.84062549,,,,,,,,87.65910264,,,77.3,2.818697929,6.012208939,4.276698589
2010,99.996,56.81592556,37.94035301,45.48790657,63.9762009,49.241619,58.60606,75.490814,54.3918787,12.75127847,33.71447921,28.69470417,26.88685358,39.39500749,28.89792323,33.75279903,,27.88389136,33.83934796,80.22892546,,3.1,18.7,10.3,,,,,,,,,,60.6,54.9,57.7,19.28451422,,14.21704698,23.56248438,19.47370598,24.33217814,8.291002176,13.12089896,4.791162141,16.96007721,11.97714944,14.11351658,17.03576174,10.6253691,13.81127387,11.11520305,9.717826545,14.13187534,9.11853835,7.770065218,8.404533668,8.604130149,,,,72.05414322,87.01867461,84.78819728,87.98379302,87.49819398,82.36660361,89.43508267,,91.66803172,89.86212015,,,2.783473015,6.488381386,4.449950695
2011,99.996,56.73939242,38.72969614,45.89504959,63.50155179,49.113503,58.106701,76.977989,54.4028274,12.6678889,33.71447921,28.69470417,26.88685358,39.39500749,28.89792323,33.75279903,,38.22918789,33.83934796,80.84848237,,3.1,18.0,9.9,,,,,,,,,,61.9,56.0,58.9,18.85523029,,13.81784435,23.51802536,19.23629228,24.82516811,14.21689015,13.77486074,4.378989797,17.54743632,12.68594691,14.79324245,19.31803531,10.6253691,13.81127387,11.11520305,9.717826545,14.13187534,9.11853835,7.770065218,11.71631533,8.604130149,,,,61.69779925,87.01867461,84.78819728,87.98379302,87.49819398,82.36660361,89.43508267,,85.69318285,89.86212015,,,3.070715189,7.167199612,4.896380424
2012,99.996,57.26969027,38.61267247,46.53073286,63.63112349,47.92617,59.840462,80.174294,54.82239478,12.26114119,33.71447921,28.69470417,26.88685358,39.39500749,28.89792323,33.75279903,43.39214563,26.77902641,33.83934796,81.24363662,,2.7,18.6,9.9,,,,,,,,,,63.2,57.0,60.1,18.76073268,15.72042644,13.99750328,22.50722419,18.71638632,23.1670304,9.322772832,13.53613936,4.655483742,17.03744018,12.65069512,14.54879791,18.27270212,10.6253691,13.81127387,11.11520305,9.717826545,14.13187534,9.11853835,7.770065218,10.12723045,8.604130149,,,,72.93622204,87.01867461,84.78819728,87.98379302,87.49819398,82.36660361,89.43508267,94.24996376,90.48754111,89.86212015,,,2.755823612,6.838052273,4.587358952
2013,99.996,57.72271695,39.18455626,47.56153907,63.39495692,46.51461,61.716122,82.998703,55.26364111,12.51903631,33.71447921,28.69470417,26.88685358,39.39500749,28.89792323,33.75279903,,29.56965755,33.83934796,81.52469065,,2.7,17.2,9.6,,,,,,,,,,64.4,58.0,61.1,18.55481469,10.94698765,13.53618479,22.43226343,18.43513872,22.13324797,16.05755275,13.25351185,5.174780795,16.73330671,12.41836714,14.29953391,18.28717603,10.6253691,13.81127387,11.11520305,9.717826545,14.13187534,9.11853835,7.770065218,11.04068273,8.604130149,34.702648,29.256493,31.965597,70.24430596,87.01867461,84.78819728,87.98379302,87.49819398,82.36660361,89.43508267,,83.94244725,89.86212015,,,3.229519129,7.405997753,5.129451752
