year,AAGE_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Total_Education:Total,FTUELT_Age:Total_Sex:Total_Education:Total,GWG_Age:Total_Sex:Total_Education:Total,HA_Age:Total_Sex:Total_Education:Total,HDI_Age:Total_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,RD_Age:Total_Sex:Total_Education:Total,SS_Age:Total_Sex:Total_Education:Total,TEFTED_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total,country,Difficulty making ends meet_Age:Total_Sex:Total_Education:Total,HIAH_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LTUR_Age:Middle-aged_Sex:Total_Education:Total,LTUR_Age:Old_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Female_Education:Total,LTUR_Age:Total_Sex:Male_Education:Total,LTUR_Age:Total_Sex:Total_Education:Total,LTUR_Age:Young_Sex:Total_Education:Total,PH+_Age:Old_Sex:Total_Education:Total,PH+_Age:Total_Sex:Female_Education:Total,PH+_Age:Total_Sex:Male_Education:Total,PH+_Age:Total_Sex:Total_Education:Primary education,PH+_Age:Total_Sex:Total_Education:Secondary education,PH+_Age:Total_Sex:Total_Education:Tertiary education,PH+_Age:Total_Sex:Total_Education:Total,PH+_Age:Young_Sex:Total_Education:Total,PH_Age:Total_Sex:Total_Education:Total,NAB_Age:Total_Sex:Total_Education:Total,HDBRIP_Age:Total_Sex:Total_Education:Total,TAHDIQ_Age:Total_Sex:Total_Education:Total,PH+_Age:Middle-aged_Sex:Total_Education:Total
2004,48814.0,77.45090341,51.70550549,63.37193518,81.5140602,60.640072,78.756203,83.272232,72.39700367,62.16285421,,15.45430099,14.35294118,80.72320305,28476.0,0.6,1.0,0.8,83.0,78.1,80.5,,11.176826,8.7062817,9.9261808,,7.941715136,,3.118503119,6.812295914,22.49854088,14.57043362,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,49358.0,78.76548289,53.47610068,65.15931145,82.29270641,62.907692,79.842407,84.412949,73.6793931,63.28801598,,15.81559713,15.77777778,80.74994636,28730.0,,,,83.3,78.5,80.8,,11.14771,8.0071211,9.5541849,,8.063699159,,3.12,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,49689.0,79.18045511,55.4217831,66.0923506,82.61643752,63.472088,80.391235,84.353523,74.30882818,63.69874983,64.75477277,15.15518321,16.66666667,80.82378305,29777.0,0.8,1.7,1.2,83.5,78.7,81.0,3.206837262,10.429163,8.2417278,9.3154173,33.55220703,7.833370805,96.67024967,3.259047619,7.124164104,21.01210976,13.99814796,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,51049.0,79.92921915,56.51032428,66.77772698,83.43042582,63.865177,80.511581,84.823486,75.05702116,64.13283301,60.85594023,15.97264944,15.4,80.87211199,30911.0,0.7,1.3,1.0,83.7,79.0,81.3,3.44262798,10.129006,7.2205434,8.6517601,35.58337398,7.696509952,95.70046871,3.310909091,7.238930225,21.1998806,14.16952038,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,51376.0,80.31219117,57.3186372,67.53812872,83.49706797,61.529007,80.865669,83.105896,75.47519212,64.5094194,63.21152585,17.51070953,11.93737769,81.15954955,32475.0,0.9,1.5,1.2,83.7,79.2,81.4,5.309727605,9.9117203,7.2462769,8.5522385,33.56848101,6.762607852,94.18894283,3.338541667,7.104997635,22.67929077,14.84208775,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50884.0,79.15014496,59.0176733,67.72062148,82.13818301,66.119377,80.237244,84.255821,74.89310859,61.17992084,,14.51990941,16.36363636,80.59297635,32205.0,0.7,1.7,1.2,83.9,79.3,81.5,,11.14784,8.892787,9.9969006,,6.869001639,,3.333333333,7.210476398,22.29786873,14.72466373,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,52645.0,79.46406555,60.60851816,67.77002216,83.20403873,65.07019,80.467789,84.019539,75.44437316,60.52010991,63.56451169,15.98026562,14.04293381,80.80238559,33505.0,0.8,1.4,1.1,84.0,79.5,81.7,4.543359042,10.282081,9.1204996,9.6901541,35.50665901,6.12752051,95.35370896,3.311582382,7.276697159,22.54539299,14.88162231,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,54342.0,79.80200343,61.15786556,68.26218912,83.42863031,65.794937,80.742584,84.305344,75.79849354,60.38579676,63.8944604,16.85495515,15.96638656,80.51658434,34050.0,0.8,1.4,1.1,84.2,79.7,81.9,3.295676739,10.872974,8.9021702,9.868906,32.93458426,5.716197977,96.66177958,3.378670788,7.467357635,22.55825806,14.98953152,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,54694.0,79.45182804,61.43040284,68.33193935,82.94527943,66.24485,80.493423,84.437431,75.58943291,59.59944397,65.39090478,17.58875958,13.75,80.01406026,33617.0,0.8,1.7,1.2,84.3,79.9,82.0,5.504896979,10.498947,9.2378902,9.8566074,30.76546592,5.714043152,93.85969281,3.484848485,7.859875679,22.57773972,15.20790863,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,54493.0,79.14499451,61.39877106,68.3091152,82.47383443,60.332756,77.702675,83.484528,75.33553026,58.65552331,66.66722119,15.88054787,18.0,80.08907415,34011.0,0.7,1.4,1.1,84.3,80.1,82.1,7.171981333,11.698781,10.045006,10.852316,31.06940453,5.123631055,92.72354479,3.325714286,8.746431351,23.17880249,15.94467163,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
