year, PHWABSF_Age:Total_Sex:Total_Education:Total,EAP_Age:Total_Sex:Total_Education:Total,ER_Age:Middle-aged_Sex:Total_Education:Total,ER_Age:Old_Sex:Total_Education:Total,ER_Age:Total_Sex:Female_Education:Total,ER_Age:Total_Sex:Male_Education:Total,ER_Age:Total_Sex:Total_Education:Primary education,ER_Age:Total_Sex:Total_Education:Secondary education,ER_Age:Total_Sex:Total_Education:Tertiary education,ER_Age:Total_Sex:Total_Education:Total,ER_Age:Young_Sex:Total_Education:Total,FSAN_Age:Middle-aged_Sex:Total_Education:Total,FSAN_Age:Old_Sex:Total_Education:Total,FSAN_Age:Total_Sex:Female_Education:Total,FSAN_Age:Total_Sex:Male_Education:Total,FSAN_Age:Total_Sex:Total_Education:Primary education,FSAN_Age:Total_Sex:Total_Education:Secondary education,FSAN_Age:Total_Sex:Total_Education:Tertiary education,FSAN_Age:Total_Sex:Total_Education:Total,FSAN_Age:Young_Sex:Total_Education:Total,FTUELT_Age:Total_Sex:Total_Education:Total,GWG_Age:Total_Sex:Total_Education:Total,HO_Age:Total_Sex:Total_Education:Total,H_Age:Total_Sex:Female_Education:Total,H_Age:Total_Sex:Male_Education:Total,H_Age:Total_Sex:Total_Education:Total,LE_Age:Total_Sex:Female_Education:Total,LE_Age:Total_Sex:Male_Education:Total,LE_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Middle-aged_Sex:Total_Education:Total,LHWPW_Age:Old_Sex:Total_Education:Total,LHWPW_Age:Total_Sex:Female_Education:Total,LHWPW_Age:Total_Sex:Male_Education:Total,LHWPW_Age:Total_Sex:Total_Education:Total,LHWPW_Age:Young_Sex:Total_Education:Total,LS score less than 5_Age:Total_Sex:Total_Education:Total,LSS_Age:Total_Sex:Total_Education:Total,LS_Age:Middle-aged_Sex:Total_Education:Total,LS_Age:Old_Sex:Total_Education:Total,LS_Age:Total_Sex:Female_Education:Total,LS_Age:Total_Sex:Male_Education:Total,LS_Age:Total_Sex:Total_Education:Primary education,LS_Age:Total_Sex:Total_Education:Secondary education,LS_Age:Total_Sex:Total_Education:Tertiary education,LS_Age:Total_Sex:Total_Education:Total,LS_Age:Young_Sex:Total_Education:Total,LTUR_Age:Middle-aged_Sex:Total_Education:Total,LTUR_Age:Old_Sex:Total_Education:Total,LTUR_Age:Total_Sex:Female_Education:Total,LTUR_Age:Total_Sex:Male_Education:Total,LTUR_Age:Total_Sex:Total_Education:Primary education,LTUR_Age:Total_Sex:Total_Education:Secondary education,LTUR_Age:Total_Sex:Total_Education:Tertiary education,LTUR_Age:Total_Sex:Total_Education:Total,LTUR_Age:Young_Sex:Total_Education:Total,LUWH_Age:Total_Sex:Total_Education:Total,NAB_Age:Middle-aged_Sex:Total_Education:Total,NAB_Age:Old_Sex:Total_Education:Total,NAB_Age:Total_Sex:Female_Education:Total,NAB_Age:Total_Sex:Male_Education:Total,NAB_Age:Total_Sex:Total_Education:Primary education,NAB_Age:Total_Sex:Total_Education:Secondary education,NAB_Age:Total_Sex:Total_Education:Tertiary education,NAB_Age:Total_Sex:Total_Education:Total,NAB_Age:Young_Sex:Total_Education:Total,NEET_Age:Total_Sex:Female_Education:Total,NEET_Age:Total_Sex:Male_Education:Total,NEET_Age:Total_Sex:Total_Education:Total,Not FSAN_Age:Total_Sex:Total_Education:Total,PH+_Age:Middle-aged_Sex:Total_Education:Total,PH+_Age:Old_Sex:Total_Education:Total,PH+_Age:Total_Sex:Female_Education:Total,PH+_Age:Total_Sex:Male_Education:Total,PH+_Age:Total_Sex:Total_Education:Primary education,PH+_Age:Total_Sex:Total_Education:Secondary education,PH+_Age:Total_Sex:Total_Education:Tertiary education,PH+_Age:Total_Sex:Total_Education:Total,PH+_Age:Young_Sex:Total_Education:Total,PH_Age:Total_Sex:Total_Education:Total,RD_Age:Total_Sex:Total_Education:Total,SMS_Age:Total_Sex:Female_Education:Total,SMS_Age:Total_Sex:Male_Education:Total,SMS_Age:Total_Sex:Total_Education:Primary education,SMS_Age:Total_Sex:Total_Education:Secondary education,SMS_Age:Total_Sex:Total_Education:Tertiary education,SMS_Age:Total_Sex:Total_Education:Total,SRS_Age:Total_Sex:Female_Education:Total,SRS_Age:Total_Sex:Male_Education:Total,SRS_Age:Total_Sex:Total_Education:Primary education,SRS_Age:Total_Sex:Total_Education:Secondary education,SRS_Age:Total_Sex:Total_Education:Tertiary education,SRS_Age:Total_Sex:Total_Education:Total,SSS_Age:Total_Sex:Female_Education:Total,SSS_Age:Total_Sex:Male_Education:Total,SSS_Age:Total_Sex:Total_Education:Primary education,SSS_Age:Total_Sex:Total_Education:Secondary education,SSS_Age:Total_Sex:Total_Education:Tertiary education,SSS_Age:Total_Sex:Total_Education:Total,SS_Age:Middle-aged_Sex:Total_Education:Total,SS_Age:Old_Sex:Total_Education:Total,SS_Age:Total_Sex:Female_Education:Total,SS_Age:Total_Sex:Male_Education:Total,SS_Age:Total_Sex:Total_Education:Primary education,SS_Age:Total_Sex:Total_Education:Secondary education,SS_Age:Total_Sex:Total_Education:Tertiary education,SS_Age:Total_Sex:Total_Education:Total,SS_Age:Young_Sex:Total_Education:Total,SWLMS_Age:Total_Sex:Total_Education:Total,SWLRS_Age:Total_Sex:Total_Education:Total,SWLSS_Age:Total_Sex:Total_Education:Total,TEFTED_Age:Total_Sex:Total_Education:Total,TMSD_Age:Total_Sex:Total_Education:Total,TRSD_Age:Total_Sex:Total_Education:Total,TSSD_Age:Total_Sex:Total_Education:Total,Top LS scores quintile_Age:Total_Sex:Total_Education:Total,VT_Age:Total_Sex:Total_Education:Total,hco_Age:Total_Sex:Total_Education:Total,SAD_deaths_Age:Total_Sex:Female_Education:Total,SAD_deaths_Age:Total_Sex:Male_Education:Total,SAD_deaths_Age:Total_Sex:Total_Education:Total
2004,,,71.76437178,52.69350002,53.27465984,86.3193926,,,,69.17662692,40.3844104,,,,,,,,,,,,,9.1,112.0,57.0,76.5,68.9,72.6,38.59765313,38.77410095,30.31964712,44.07113537,38.48031205,38.93859551,,,,,,,,,,,,3.506766678,2.745200834,6.170258478,2.929598114,,,,4.261265714,7.00511669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.005304337,21.19600677,14.95487213
2005,,99.394,72.79054617,52.74334518,53.98133833,87.38410482,,,,70.045419,40.56864969,,,,,,,,,,,,,8.0,95.5,49.1,76.8,69.3,73.0,37.33768063,37.9856277,29.71097951,42.21447341,37.13997521,36.9513697,,,,,,,,,,,,2.798430499,2.324537462,4.98966097,2.321253193,,,,3.410404628,5.663268924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.669016838,19.13945007,13.77244949
2006,,,,,,,,,,,,,,,,,,,55.86861929,,,,,6.6,84.6,43.2,77.0,69.6,73.3,37.33768063,37.9856277,29.71097951,42.21447341,37.13997521,36.9513697,,8.89911408,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08661272,,,,,42.42140267,,,,,,,,,,,,,,,,,369.9785135,,,,,,385.3080385,,,,,,388.0382718,,,,,,,,90.30301655,,,,,,,,,,45.11,,9.082267761,19.49515724,14.15332413
2007,,,72.0317362,51.93165402,53.02739958,86.66290251,,,,69.18365101,37.97501308,,,,,,,,52.005167,,22.09298083,1.339317018,,6.1,72.5,37.7,77.3,69.9,73.5,36.77272646,32.48287122,28.75030605,41.52276913,36.43993932,36.05080268,,10.60390053,,,,,,,,,,1.278473252,0.960087942,1.982239445,0.965406307,,,,1.376439755,1.870243766,,,,,,,,,12.4796393,,,,,46.34983253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.15696209,,,,,7.041666667,,,,,,,9.209819794,18.90925598,13.95174026
2008,,,72.48282348,53.65022882,53.90719298,86.94424556,,,,69.78822882,37.30575119,,,,,,,,48.64370684,,18.13470975,1.739690722,,6.4,76.0,39.2,77.5,70.2,73.8,34.67080785,36.19664704,25.91994671,40.32919313,34.45510011,33.738401,,11.97364179,,,,,,,,,,1.025525079,0.968115243,1.773530752,0.767933207,,,,1.174509889,1.758755663,,,,,,,,,16.28344711,,,,,50.17324083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.86227655,,,,,6.459722222,,,,,,,9.457004547,18.40142059,13.7682724
2009,,,74.02712988,55.19083452,56.3270459,87.30482369,,,,71.20588838,39.86049167,,,,,,,,45.03204391,,18.34182822,3.384675171,,7.2,82.8,43.2,77.7,70.5,74.0,33.79875006,31.42303226,25.82563982,39.02710968,33.60052873,33.5037365,,11.3794103,,,,,,,,,,1.264247335,1.242438295,2.087627473,0.930076624,,,,1.410587504,1.952093193,,,,,,,,,12.07960947,,,,,53.64829478,,,,,,,,,,,13.17858415,,,,,,380.8482149,,,,,,413.1814991,,,,,,401.750115,,,,,,,,88.37576404,,,,,6.3,,,,,,,9.098709106,17.64372444,13.25817108
2010,,99.318,75.45225696,57.1760162,58.41424349,88.00028503,,,,72.64527388,40.77380881,46.34091258,46.07676566,41.23717844,50.07831454,51.17334723,43.57943237,39.67339694,43.42294009,44.00120378,17.38888793,6.430555556,39.42293823,6.6,75.7,39.5,77.9,70.8,74.3,35.1323791,32.73346483,26.68137888,40.84850247,34.96438742,35.15528493,,10.61957211,,,,,,,,,,1.299612763,1.206886521,2.248911702,0.854095354,,,,1.439357586,1.986251282,,15.68308622,14.49555308,16.1711067,9.6548751,16.51941836,11.98838055,9.613595158,12.28212429,9.362519532,,,,55.08256538,,,,,,,,,,,12.28953435,,,,,,,,,,,,,,,,,,,85.27618051,84.45376158,87.53424287,87.19934821,81.79132342,89.08631802,93.48329306,88.62195203,91.95052385,,,,6.461538462,,,,,44.35,,8.06086731,17.64919662,12.72916889
2011,,99.423,76.56718214,59.21649492,60.02810939,88.79683718,,,,73.86231516,42.54352775,46.34091258,46.07676566,41.23717844,50.07831454,51.17334723,43.57943237,39.67339694,45.71436413,44.00120378,14.97672127,3.534808419,38.08515668,5.9,64.7,34.2,78.1,71.1,74.5,35.76974038,32.52305786,26.78991593,41.34609694,35.35763387,35.14526625,,9.555932718,,,,,,,,,,1.064322846,0.99895888,1.782576879,0.698609175,,,,1.156009537,1.497308564,,15.68308622,14.49555308,16.1711067,9.6548751,16.51941836,11.98838055,9.613595158,13.83736999,9.362519532,,,,52.5550269,,,,,,,,,,,11.77911925,,,,,,,,,,,,,,,,,,,85.27618051,84.45376158,87.53424287,87.19934821,81.79132342,89.08631802,93.48329306,90.13801158,91.95052385,,,,6.0,,,,,,,7.919670105,15.70637989,11.70540714
2012,1.938472129,99.423,77.33540571,60.75386338,61.5034139,88.90703753,,,,74.69537328,44.31147759,46.34091258,46.07676566,41.23717844,50.07831454,51.17334723,43.57943237,39.67339694,44.92122262,44.00120378,16.97808897,8.197946776,39.4582957,5.4,61.2,32.2,78.3,71.4,74.7,34.30991263,31.62691046,25.98495994,40.0466235,34.22687123,35.47033992,,8.535942417,,,,,,,,,,0.913574092,1.025343034,1.532216464,0.623158962,,,,1.01218876,1.284344502,33.20516,15.68308622,14.49555308,16.1711067,9.6548751,16.51941836,11.98838055,9.613595158,11.07636487,9.362519532,,,,54.18811469,,,,,,,,,,,11.82180951,,,,,,376.488601,,,,,,403.4025342,,,,,,398.6786316,85.27618051,84.45376158,87.53424287,87.19934821,81.79132342,89.08631802,93.48329306,91.15112049,91.95052385,,,,6.208333333,,,,,,41.2768662,7.983970642,16.32998085,12.0667944
2013,1.746927202,99.423,77.65037118,61.04506716,61.96727588,88.93939738,,,,74.96466568,44.18648306,46.34091258,46.07676566,41.23717844,50.07831454,51.17334723,43.57943237,39.67339694,47.39188519,44.00120378,16.23264702,7.142857143,37.04963326,5.0,55.5,29.4,78.5,71.7,75.0,33.68362991,34.57679127,24.72297478,39.76162632,33.44025321,33.45333261,,9.88265044,,,,,,,,,,0.800123829,0.821759229,1.328309244,0.511264066,,,,0.861290996,1.054937297,,15.68308622,14.49555308,16.1711067,9.6548751,16.51941836,11.98838055,9.613595158,12.00235468,9.362519532,30.611139,12.927419,21.756479,51.60023137,,,,,,,,,,,12.67086464,,,,,,,,,,,,,,,,,,,85.27618051,84.45376158,87.53424287,87.19934821,81.79132342,89.08631802,93.48329306,89.71864876,91.95052385,,,,5.71,,,,,,42.3374325,7.571097374,16.10810852,11.72387409
