year,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,VT,hco,SADdeaths
2004,48814.0,,,,,,,72.39700367,,15.45430099,,14.35294118,80.72320305,,28476.0,,,0.8,,80.5,15.23681457,,,,,0.968131962,,,9.9261808,,,84.0,4.5,7.941715136,,,,,,,,,,,3.118503119,,,,,,,,94.32,,14.57043362
2005,49358.0,,,,,0.005,,73.6793931,,15.81559713,,15.77777778,80.74994636,,28730.0,28.3,,,27.26585007,80.8,15.26088667,,,,,0.905577975,,,9.5541849,,,,,8.063699159,,,,,,,,,,,3.12,,,,,,,,,,
2006,49689.0,,,,,,,74.30882818,64.75477277,15.15518321,6.435540199,16.66666667,80.82378305,,29777.0,43.0,,1.2,,81.0,14.71572212,,,3.206837262,,0.881941064,,10.82234816,9.3154173,33.55220703,,,,7.833370805,519.9077486,512.8932916,526.879589,96.67024967,,,,,,,3.259047619,,14.35621358,,4.666666667,,,,,,13.99814796
2007,51049.0,,,,,,,75.05702116,60.85594023,15.97264944,,15.4,80.87211199,,30911.0,52.0,,1.0,,81.3,14.92344401,2.265508652,,3.44262798,,0.824407547,,11.90811624,8.6517601,35.58337398,,84.9,4.1,7.696509952,,,,95.70046871,,,,,,,3.310909091,,,,,,,,94.76,,14.16952038
2008,51376.0,,,,,,,75.47519212,63.21152585,17.51070953,,11.93737769,81.15954955,,32475.0,62.0,,1.2,,81.4,14.82034781,2.495413303,,5.309727605,,0.806953115,,12.69049012,8.5522385,33.56848101,,,,6.762607852,,,,94.18894283,,,,,,,3.338541667,,,,,,,,,,14.84208775
2009,50884.0,,,,,,,74.89310859,,14.51990941,,16.36363636,80.59297635,,32205.0,,,1.2,,81.5,14.19839297,3.194911003,,,,1.167788488,,,9.9969006,,,,,6.869001639,514.3404625,514.9006553,527.2705339,,,,,,,,3.333333333,,,,,,,,,,14.72466373
2010,52645.0,,,,,0.004,,75.44437316,63.56451169,15.98026562,,14.04293381,80.80238559,,33505.0,72.62,,1.1,,81.7,13.99077573,2.85750246,,4.543359042,,1.019853892,,11.65444479,9.6901541,35.50665901,,,,6.12752051,,,,95.35370896,,,,,,,3.311582382,,,,,,,,93.22,17.91943908,14.88162231
2011,54342.0,,,,,0.004,,75.79849354,63.8944604,16.85495515,,15.96638656,80.51658434,,34050.0,,,1.1,,81.9,14.13844013,2.819424868,,3.295676739,,1.004597191,,9.948093762,9.868906,32.93458426,,85.4,4.0,5.716197977,,,,96.66177958,,,,,,,3.378670788,,,,,,,,,,14.98953152
2012,54694.0,280.40107,267.63253,1.4385078,8.9762321,0.004,,75.58943291,65.39090478,17.58875958,,13.75,80.01406026,14.0,33617.0,77.0,32.30651958,1.2,,82.0,14.17624811,2.992317915,,5.504896979,,1.047567742,262233.0,12.70593098,9.8566074,30.76546592,45.7103909,,,5.714043152,504.1507663,511.8039976,521.4947472,93.85969281,,,,5.5,1.56251955,1.691108346,3.484848485,,,,,,44.909752,,,19.3341285,15.20790863
2013,54493.0,,,,,0.004,,75.33553026,66.66722119,15.88054787,,18.0,80.08907415,,34011.0,,,1.1,,82.1,14.00019981,3.269894361,,7.171981333,,1.150235876,,8.895432892,10.852316,31.06940453,,,,5.123631055,,,,92.72354479,,,,,,,3.325714286,,,,,,,,93.23,19.14036721,15.94467163
