year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,52715.0,,,,,,10.69999981,,,69.86508302,,15.15308815,,22.43079216,80.40155953,,31291.0,,,,0.8,,79.3,11.2381777,,,,,1.539746694,,,,10.977864,,,71.2,8.6,10.7828324,,,,,,,,,,,,,,,,3.230363278,,,,,,,,,,,,28.29798508
2005,,52999.0,,,,,,9.600000381,97.799,,70.80593352,,15.27596164,,22.03208575,80.11735851,,32271.0,23.1404,,,0.8,30.99006081,79.5,11.04591941,,,,,1.447544112,,,,10.149777,,,71.7,8.3,9.364301697,,,,,,,,,,,,,,,,3.257089585,,,,,,,,,,,,27.80409813
2006,,53791.0,,,,,,7.800000191,,,72.08969545,74.7206988,15.78991506,,21.85513043,80.2187061,,33010.0,33.117,,,0.8,,80.1,10.67403156,,,6.226956886,,1.480556915,,,6.533913541,9.870388,20.9177655,,72.0,7.8,8.843877456,505.4835985,490.1939774,510.8371545,91.60491822,,,,,,,,,,,,3.30406532,,,,,,,,,,78.49,,26.69441605
2007,,54100.0,,,,,,10.89999962,,,73.36033036,,16.19348248,,21.63427637,80.62475424,9.7,33684.0,46.1463,,,0.6,,80.3,10.81316027,1.454689622,,,,1.341386461,,,,8.7249842,,,72.3,8.4,8.342404138,,,,,,,,,,,,,4.4,,,3.366039953,,,,,,,,,,,,27.68987083
2008,,55009.0,,,,,,14.0,,,74.33986792,79.09649819,15.86555579,13.58189201,20.91732027,80.42455504,9.3,33995.0,54.4969,,,0.6,,80.6,10.49322336,1.404052258,,6.485409445,,1.019127189,,,8.318457175,8.9309807,18.16258615,,70.0,8.9,8.172856271,,,,92.66891027,,,,,,,,,4.3,,,3.319584934,,,,,,,,,,78.81,,24.92169952
2009,,55945.0,,,,,,15.39999962,,,74.04109473,74.89879417,16.0218085,,19.35596592,80.25523531,9.6,33903.0,57.8027,,,0.7,,80.5,9.49737759,1.846733451,,12.11927443,,1.168148276,15.26494,,8.509807822,9.3495245,20.36764815,,70.0,8.7,7.59447837,495.9086553,470.2836321,494.3276732,87.11567751,,,,,,,,,4.5,,,3.360623879,,14.506293,,9.4723095,,,,,,,,25.16393852
2010,5.477112904,55693.0,,,,,,14.39999962,97.069,,74.64602064,77.54586799,16.4701128,,19.18886268,79.8724343,8.9,33591.0,63.7002,10.23431867,,0.5,32.82168198,80.7,9.001209246,1.511991143,,4.934192516,,1.246747579,,,7.415262018,9.6174564,18.82295006,,69.5,9.3,6.609477919,,,,94.57372912,,,,,,,,,4.3,,,3.385267896,,,,,,,,,,,11.2188898,24.4961586
2011,4.103295133,55086.0,,,,,,14.39999962,98.692,,74.74498314,81.84972011,16.07630058,,18.55055412,79.54887793,9.1,33369.0,71.9837,10.71265563,,0.5,,81.1,8.716316578,1.494622469,,5.519950091,,1.216148737,,106966.0,8.367779041,8.4380751,15.11024989,,68.7,9.5,6.244653836,,,,93.32736951,,,,,,,,,4.3,,,3.343464999,,,,,,61.705608,,,,,8.309879899,24.65208435
2012,3.384494036,55399.0,269.45115,275.04404,4.8275085,3.8029187,77.44684168,14.0,96.542,,75.15466925,82.291523,16.07272668,,18.18505684,79.49816184,9.6,33682.0,77.4086,11.59403399,30.30838998,0.4,,81.1,8.522894719,1.732839108,,5.441616674,,1.230820094,,,8.633877809,8.3957586,14.24389755,55.70612764,70.0,9.0,6.315323007,505.540743,489.6093352,505.7812479,93.75363413,,,,,,,,,4.3,1.517859101,1.569478273,3.354148297,,,,,,,,,,,12.37054542,23.69065094
2013,2.131753229,55425.0,,,,,,14.0,96.43,,75.27016597,84.67514271,15.85363805,,18.05321141,79.10188523,9.0,33017.0,79.7862,11.92825735,,0.4,,81.3,7.596390116,1.890036464,4.421606287,5.009295692,7.8,1.333637584,,,9.897115945,8.7804279,14.38754263,,68.6,9.1,5.383430393,,,,94.79570544,,,,7.955823369,8.524710433,23.34022996,7.33664219,,4.2,,,3.31210208,,,,,,,1.998405191,1.766701234,2.758477289,74.91,12.98597753,22.32725143
2014,3.738199174,55629.0,,,,,,14.89999962,89.034,18.62,75.02745905,81.20258866,15.88698869,,17.72888425,79.1137854,9.1,33032.0,79.3764,12.6881659,,0.4,,81.6,7.320278275,1.950446725,,10.05198348,,1.552864666,,113182.0,9.619929056,9.7838001,18.13052941,,69.5,8.9,5.054193888,,,,89.39431157,,,,,,,,5.0,4.1,,,3.3270367,,,,,,56.49596,,,,,11.52921394,22.84497452
2015,3.969764709,56035.0,,,,,,13.39999962,92.085,,75.15890024,81.18695181,15.86110616,,17.04325299,78.96939738,8.7,32689.0,80.9113,11.36681587,,0.6,28.52120399,81.3,7.129294473,2.055503607,,7.166411605,,1.701069638,,,8.868718644,8.9864054,18.44989691,,69.8,8.8,5.57954722,496.7422739,484.8655971,495.0374864,92.5197759,,,,,,,,,4.2,,,3.318388631,,,,,,,,,,,10.64633578,22.0417614
2016,3.907601163,56565.0,,,,,,12.80000019,88.978,,75.74353767,79.83189594,15.43069098,,15.67089964,79.10371338,9.8,33114.0,85.0929,11.38462797,,0.5,,81.8,6.773928194,2.295787334,,7.3681404,,1.973148301,,,9.468550831,9.6967039,19.72269715,,70.2,8.1,4.965248433,,,,92.6318596,,,,,,,,,4.5,,,3.271053069,,,,,,,,,,,12.5114426,20.61805534
2017,2.132074162,56553.0,,,,,,11.5,80.686,24.88,76.42320617,80.89861419,15.13706491,,15.38215397,78.98595617,9.4,33412.0,88.3804,12.26109639,,0.5,,81.7,6.677769983,,,9.332135424,,1.864613188,,104819.0,6.747672459,8.7978764,18.12189023,,70.3,8.0,4.719096897,,,,90.17646789,,,,,,,,,4.2,,,3.218724255,,,,,,55.59053,,,,80.0,11.09167635,20.23104858
2018,3.968447819,56739.0,,,,,77.25252748,11.30000019,83.825,,77.1781047,83.64135642,14.92668282,,14.87669089,79.09480654,9.4,33670.0,87.6856,10.85599586,,0.6,,81.8,6.587791623,,2.833417244,8.774861629,8.002416295,1.422220492,,,14.05038536,9.2202759,15.8518807,,71.7,8.1,4.635996621,498.9423138,484.3925685,489.7804392,90.56483754,13.51205341,13.51205341,13.51205341,6.463943292,8.583491459,22.4508677,7.297826069,,4.3,,,3.196952907,1.653118134,,1.749491692,,1.698723078,,1.806891832,1.636792271,2.638214857,,11.70601845,19.7573719
2019,1.75169725,57182.0,,,,,,10.69999981,82.411,,77.65424095,87.25912757,14.74464109,,14.01174081,79.18872095,10.0,34091.0,89.3345,12.37694025,,0.5,,82.0,6.136122593,,,3.518545092,,1.144135581,,,9.375649401,8.9372196,11.22355936,,71.2,7.8,4.695908859,,,,95.5641677,,,,,,,,5.6,4.2,,,3.170671833,,,,,,,,,,75.59,12.35027239,18.85546303
2020,2.936750092,57272.0,,,,,,9.399999619,,,76.45661809,85.67931864,14.67434242,,12.38153967,78.58375671,9.6,32955.0,89.2893,10.6852144,,0.4,,81.3,5.32835118,,,7.505237302,,1.334657703,,,7.687455094,10.09,13.8388264,,74.0,7.5,3.864706511,,,,92.33985793,,,,,,,,,4.2,,,3.170655983,,,,,,,,,,,9.846203029,18.37274933
2021,,58189.0,,,,,,10.10000038,,,76.42846564,76.37394272,,,,78.95155676,,34062.0,91.009,,,,,81.3,4.594231728,,3.462863341,13.68942491,8.0,1.975793052,,,8.836709721,9.6354876,22.0324836,,,,4.052542444,,,,86.21585586,,,,,,,,,,,,,,,,,,,1.830584884,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.120758723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
