year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,56196.0,,18.20000076,,,67.67711458,,6.298740252,,11.83206107,81.74468959,,29690.0,,,1.7,,79.0,4.603508781,,,,,4.137538699,,,11.034863,,73.5,8.7,11.17692329,,,,,,,,,,,,,,2.464242424,,,,,,,,,,,,22.93764877
2005,,55662.0,,17.10000038,98.859,,68.64556518,,6.699330067,,11.51109251,81.54019865,,29801.0,40.5604,,1.5,30.04413986,79.1,4.436128507,,,,,4.39541879,,,12.36039,,73.1,8.2,10.82726426,,,,,,,,,,,,,,2.488888889,,15.28333333,,6.65,,,,,,,,23.27443314
2006,,56040.0,,16.5,,,68.49614665,70.45393393,6.299370063,,10.25326797,81.5361553,,30279.0,48.0499,,1.4,,79.5,4.341526807,,,6.463858368,,4.248515413,,10.84052543,12.002896,23.55934999,74.3,8.4,10.52192756,520.3489729,500.9005947,510.3634841,92.78878128,,,,,,,,,,2.428985507,,,,,,,,,,,,22.46498108
2007,,55936.0,,15.30000019,,,69.80533559,66.84473852,5.600560056,,9.873617694,81.90297411,,30773.0,56.3886,,1.5,,79.9,4.606470329,2.886813402,,7.802505947,,3.777834959,,9.007932876,10.315528,27.21471616,74.0,8.3,10.33583529,,,,91.72281583,,,,,,,,,,2.332042059,,,,,,,,,,91.08,,22.15791512
2008,,56178.0,,21.39999962,,,70.26333483,63.58246977,3.999880004,,8.915753683,81.48706452,,31216.0,60.3155,,1.2,,79.8,4.292472542,3.075088739,,7.66964904,,3.335855338,,12.17637111,9.7652206,27.33694649,73.9,8.2,9.187328312,,,,91.9064867,,,,,,,,,,2.25170068,,,,,,,,,,,,23.47904587
2009,,56961.0,,21.10000038,,,69.75562125,,3.7,,7.480461481,81.60396325,,31280.0,63.3982,,1.2,,80.2,4.242503175,3.227706194,,,,3.51590056,,,10.87694,,73.5,8.7,8.890476031,515.2722769,505.9457962,506.5755261,,,,,,,,,,,2.300257069,,,,,,,,,,,,23.5310936
2010,1.902901009,56697.0,,20.79999924,99.416,,70.26618094,67.49553244,4.3,,7.04379562,80.58804348,,30821.0,69.9525,3.699813038,1.1,34.43686295,80.3,4.448236842,2.956362247,,6.90924665,,4.072924638,291356.0,8.305504389,12.043845,28.28113858,73.0,9.1,7.841397134,,,,92.60487921,,,,,,,,,,2.378749365,,,,,,44.022739,,,,89.22,,22.50361633
2011,6.160074845,57278.0,,20.89999962,99.41,,69.97886397,63.63636491,5.4,,5.838108883,80.06834089,,30517.0,74.0032,1.943222247,1.3,,80.7,4.433156446,2.544089079,,6.298752533,,3.474433039,,8.740822689,11.763714,26.26928869,73.5,9.6,8.035897554,,,,93.61084413,,,,,,,,,,2.447236181,,,,,,,,,,,,23.23017883
2012,4.455471039,57741.0,57.35329644,22.10000038,98.18,,70.04994292,65.98461813,6.0,18.75423622,6.411149826,79.50190091,,30586.0,74.6965,1.532183774,1.2,,80.5,4.407578996,3.136166096,,7.26694117,,3.396332315,,10.9078373,13.093611,25.10436258,74.5,8.8,7.453908796,514.5292449,508.6178765,504.8676541,92.44010211,,,,,,,,,,2.473369836,,15.51666667,,5.95,,,,,,,16.3672477,23.44444084
2013,6.296274811,58313.0,,21.0,98.343,,70.32076931,62.82444595,4.60013204,,5.912863071,79.34003209,,30552.0,78.6488,1.617439091,1.0,,80.7,4.571901187,3.088144779,3.041056544,9.051990329,7.6,3.911728036,,9.9967804,13.021009,31.60547839,74.3,8.6,6.844871032,,,,90.62439191,,,,8.840600779,7.704388025,17.9055529,7.109497744,,,2.458760371,,,,,,,1.727280869,1.804363477,2.311645482,,,21.45248795
2014,6.776918471,58637.0,,20.20000076,92.876,25.24,70.50115296,72.11693917,3.4,,3.298900367,79.86321319,,30619.0,81.4769,1.837993786,1.0,,81.4,4.726747418,2.974714756,,5.642133739,,4.293340186,285008.0,12.89487234,12.476074,26.4339526,75.0,9.2,6.663184519,,,,94.30559907,,,,,,,,,,2.332432432,,,,,,42.494881,,,,89.37,19.81408,21.77607536
2015,6.921011209,58240.0,,20.5,95.2,,70.28240351,69.62822969,4.6,,4.672,79.76056949,,30684.0,79.2224,1.179884188,1.1,25.77405357,81.1,4.308947831,2.84829092,,11.46346814,,4.430381718,,13.6465283,10.354136,28.80359669,74.6,9.4,6.781004005,506.9843624,498.5241892,501.9997137,88.40024463,,,,,,,,,,2.355969818,,,,,,,,,,,19.23595369,21.37931442
2016,5.366028845,58365.0,,21.5,91.983,,70.9331599,70.48313274,4.1,,3.701298701,79.90744127,,31012.0,82.4122,2.639920637,1.1,,81.5,4.343068566,2.40609169,,7.075412052,,4.071290073,,13.27383735,9.5244951,28.51911881,73.9,9.2,5.923376091,,,,92.52792473,,,,,,,,,,2.409762651,,,,,,,,,,,18.9997673,21.98198128
2017,3.58542949,57957.0,,20.89999962,92.502,37.76,71.88968576,70.30435829,5.5,,4.190296156,79.84887658,,31410.0,84.2533,3.504482657,1.0,,81.6,4.861158373,,,7.822854936,,3.48745067,265286.0,12.89588221,9.7904682,27.99725163,74.5,8.6,5.364822463,,,,92.0082498,,,,,,,,,,2.452012384,,,,,,47.24543,,,,,18.56974661,20.26588249
2018,2.589649707,58270.0,57.65280958,19.10000038,93.224,,72.97696389,64.76928759,9.2,,3.408756979,79.77346243,8.2,31618.0,83.7276,4.546252638,1.0,,81.7,4.55601399,,3.329404071,6.952451643,7.6,2.922240109,,16.09381882,9.4299498,33.34666623,74.9,8.7,5.298901469,508.0703063,492.8644387,498.773127,92.10722713,12.48883843,12.48883843,12.48883843,6.445420802,7.917494383,19.91231909,7.010781267,,3.8,2.439387309,1.668828607,,1.769670129,,1.720108509,,1.734007571,1.63205394,2.440490496,,17.33706445,21.13366127
2019,1.524663996,58842.0,,19.20000076,93.062,,73.60396856,61.74631804,11.5,,3.798185941,80.06696631,8.1,32231.0,87.5729,4.440096393,,,82.1,4.474801889,,,11.51946218,,2.353695414,,14.38282636,10.241214,34.98749846,74.0,9.1,5.621744419,,,,87.98396635,,,,,,,,8.4,3.8,2.564705882,,,,,,,,,,88.38,14.85581845,
2020,2.087702043,57272.0,,16.70000076,,,73.46761174,56.49982592,,,,80.43522656,7.3,32276.0,90.861,4.397255555,,,80.8,4.268894046,,,9.582540798,,2.335547063,,16.9621815,9.254653,41.50759501,75.4,7.8,4.33067996,,,,89.77878619,,,,,,,,,3.6,,,,,,,,,,,,14.53088671,
2021,,59100.0,,15.39999962,,,74.05744715,71.01880939,,,,79.83516886,,32778.0,92.2999,,,,81.9,4.419978338,,3.236109018,8.508911574,7.5,2.669088603,,14.24455859,5.338388,25.77342037,,,4.465689356,,,,91.42757321,,,,,,,,,,,,,,,,,1.688222885,,,,,
2022,,,,,,,,70.22028612,,,,,,,,,,,,,,,7.643829397,,,,,,20.54031573,,,4.648110892,,,,91.28327824,,,,,,,,,,,,,,,,,,,,,,
