year,EAP,ER,FSAN,FTUELT,GWG,HDBRIP,HIAH,H,LE,LHWPW,LSS,NAB,NEET,Not FSAN,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,VT,SADdeaths
2004,,72.15655344,,,,,,25.5,71.5,15.82249859,,,,,,,,,,,,,,,,,,14.47962761
2005,97.241,72.71506025,,,,,,24.5,71.9,15.49665712,,,,,,,,,,,,,,,,,,14.27791214
2006,,73.05403607,39.93881136,,,21.2,,25.2,72.3,14.99628279,11.66540275,15.24132374,,59.5251024,369.5150465,392.8851121,390.3315707,87.97327517,,,,15.2,,,,,83.27,14.17331791
2007,,72.69607862,35.60027048,,,,,23.9,72.6,14.50716784,11.29180532,10.90442363,19.037571,63.75768631,,,,88.1100078,,,,,,,,,,14.26803207
2008,,73.59269166,45.04333978,,,,10.4,24.3,73.0,13.77412274,12.10006275,12.65395524,18.088778,54.11783273,,,,87.16830214,,,,,,,,,,14.14551353
2009,,73.21948889,39.5701872,,,20.6,17.0,25.2,73.3,12.50505541,8.6631589,11.94461768,18.593664,60.26280015,385.8141118,411.7549274,405.4039887,90.70556824,,,,13.0,,,,,,14.15799332
2010,96.357,,39.91098332,,,,20.8,25.3,73.6,,9.357871121,11.02577312,,59.02197128,,,,89.69670715,,,,,,,,,81.88,13.95922089
2011,98.448,72.38156185,48.20109706,,,20.9,30.2,24.9,73.9,10.7304299,8.275539551,12.88200264,18.302567,50.86391716,,,,90.54028589,,,,13.8,,,,,,14.04610443
2012,96.348,68.97354477,45.82135689,8.619257928,15.0,,33.6,26.4,74.2,11.03763813,10.23301912,15.26634255,19.286877,53.10279288,388.5089633,406.5331578,401.619685,88.97232041,,,,,4.501607717,,,,,14.01480103
2013,94.274,69.58225235,34.33396809,7.242992904,16.36363636,20.0,36.8,26.3,74.5,9.446785344,8.20045867,12.26780974,19.61717,64.52887687,,,,91.12907205,,,,12.4,4.424778761,,,,,13.93867493
2014,92.685,69.69658322,36.21486754,20.73487827,16.66666667,,45.4,27.1,74.8,8.202174744,10.14251668,12.48740385,19.278502,63.05659194,,,,89.60337534,,,,,4.143646409,,,,80.6,13.60502338
2015,80.629,69.19889169,39.51743842,18.65820148,15.38461539,,44.3,26.3,75.0,7.562875117,9.261742937,16.21761791,21.810431,59.77763276,377.0695234,407.3485923,400.6821031,89.9993344,,,,,4.441624365,,,,,13.89398193
2016,76.311,68.91320901,36.05561993,7.4386641,14.28571429,21.5,48.1,27.1,75.2,6.225540595,8.715303342,13.2205586,23.264563,63.33195204,,,,90.83711208,,,,14.5,4.545454545,,,,,13.8062191
2017,81.739,68.04576613,31.32522474,7.558818843,13.33333333,,53.8,27.8,75.5,6.50114146,9.502069751,16.22752407,24.842489,67.9962851,,,,90.19883871,,,,,4.268943436,,,,,13.83499336
2018,81.182,68.54552063,33.60488877,20.71609667,10.66666667,,59.3252795,24.4,75.7,6.864423679,11.7263249,18.14051634,24.677414,65.80228028,383.5691241,412.8733165,403.6209419,87.23440163,43.20898674,43.20898674,43.20898674,,4.192872117,1.810625315,1.917444825,1.800823569,79.8,13.64906216
2019,81.707,69.2371524,40.20489896,19.00513888,6.666666667,,63.0,19.1,75.9,7.058527843,10.00818479,16.95924144,23.726408,58.91648823,,,,89.25477858,,,,,4.008016032,,,,,13.84080029
2020,,63.8151393,44.77896304,6.275850675,6.25,,75.61,,76.1,5.617013901,16.83359985,20.73254294,27.31827,54.07294376,,,,82.674664,,,,,4.593301435,,,,,
2021,,65.03316168,48.30741813,8.178884058,9.090909091,,71.76,,,5.962298778,18.38499367,23.13851196,,51.07114769,,,,80.6340368,,,,,4.545454545,,,,,
2022,,,47.53642719,,,,,,,,13.38533521,,,51.40269278,,,,86.36358383,,,,,,,,,,
