year,AAGE,ALS,ANS,AWLLS,AWLNS,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,VT,hco,SADdeaths
2004,45035.0,,,,,,,,76.0416483,,22.40012997,,22.71794872,77.59891811,12.9,25523.0,,,1.6,,80.1,4.530443479,,,,,0.689327688,,,,11.437366,,,,,8.563465644,,,,,,,,,,,5.4,,,3.685714286,,,,,,,,60.91,,17.6962738
2005,46335.0,,,,,,39.453,,76.03521732,,21.3412407,,21.25,77.39148989,12.3,25754.0,50.09807916,,1.7,30.09754181,80.2,4.653592059,,,,,0.650701325,,,,10.70007,,,88.4,2.9,8.988174688,,,,,,,,,,,5.2,,,3.738888889,,,,,,,,,,18.23429489
2006,47754.0,,,,,,,,76.02413924,77.80076947,22.50124072,,21.12332112,77.71952033,12.9,26844.0,57.9,,1.5,,80.7,4.629136118,,,3.832535326,,0.547168569,,,10.40640531,10.212569,21.49757276,,,,8.814723628,527.0071788,527.0112956,534.4697774,95.84965548,,,,,,,5.3,,,3.742702703,,,,,,,,64.67,,17.81186104
2007,49148.0,,,,,,,,76.51816024,76.59309653,22.00878171,,20.80823529,77.57744541,12.9,27499.0,64.2,,1.5,,80.7,4.424259159,3.225841284,,,,0.432556715,,,9.584274886,10.528725,22.66166889,,88.2,2.9,8.370852673,,,,,,,,,,,5.3,,,3.746103896,,,,,,,,,,18.060709
2008,49993.0,,,,,,,,76.53618408,74.86892383,22.11843217,,20.45454546,77.66870752,12.7,28246.0,66.9,,1.6,,80.8,4.222177253,3.516243696,,6.108428964,,0.440404525,,,8.130354572,10.297795,24.18869866,,88.1,3.1,7.312207781,,,,93.55174421,,,,,,,5.3,,,3.75,,,,,,,,59.52,,18.15513802
2009,50434.0,,,,,,,,74.86789373,76.01743188,20.63079302,,20.13186813,77.89210564,13.4,28499.0,72.1,,1.6,,81.2,3.840962156,4.258628845,2.7,5.69453681,8.0,0.671166542,,,10.27284858,11.792666,22.80279229,,88.5,2.5,6.589634748,526.8051528,524.2418333,528.704953,93.9377873,,,,,,,5.3,,,3.703864211,,,,,,,,,,18.47799873
2010,50582.0,,,,,,11.481,,75.03063131,80.54327266,21.20768341,,18.97746967,78.0754063,13.1,29146.0,72.6,,1.5,,81.4,3.904555359,4.210447311,2.7,4.617734476,8.0,0.996022346,,,9.132259305,11.958484,18.66261161,,88.1,2.9,6.58133206,,,,95.2585098,,,,,,,5.3,,,3.714487633,,14.4,,6.766,,,1.767857143,,22.81639725,18.55216408
2011,51075.0,,,,,,5.572,,75.42774214,79.41212546,21.59512359,,19.17553192,78.12317571,13.1,29316.0,75.2,,1.6,,81.6,4.079849172,4.020460129,2.8,7.833073649,8.0,1.03878077,,,10.42056655,11.358025,20.16223026,,88.2,2.8,5.890612233,,,,92.16692635,,,,,,,5.2,,,3.670909091,,,,,,,1.767857143,61.11,22.30354697,18.21023369
2012,51861.0,273.48627,265.46186,2.771475,8.7411605,,6.081,,75.86294409,84.01496255,21.84974432,,19.51123128,78.20075158,13.3,29640.0,77.8,34.59236899,1.4,,81.8,4.034441002,3.98844409,2.6,5.168051413,8.0,0.950571022,,178325.0,9.684894003,11.262266,15.65468026,45.78195455,88.8,2.7,5.970857382,518.0703997,523.1240031,525.4412932,94.46342846,,,,,,,5.3,1.602408528,1.71216023,3.690666667,,,,,,50.309021,1.767857143,,22.88144529,18.65475845
2013,52503.0,,,,,,1.767,,76.11461103,76.01889432,20.96012471,,19.30323498,78.11806427,13.2,29973.0,79.8,,1.2,,81.8,3.993786412,3.872417688,3.0,6.376061199,8.0,0.932340818,,,10.58740154,10.555555,23.24274967,,88.7,2.8,5.549822256,,,,93.6239388,,,,,,,5.4,,,3.753409711,,,,,,,1.767857143,,20.80849409,18.96844482
