year, PHWABSF,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LSS,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,TWHSD,VT,hco,SADdeaths
2004,,,,,,,,63.95589602,,,,,,,,,5.4,,77.4,7.075952034,,,,,,,,,,14.27351109,,,,,,,,,,,,,,,,,,28.64103889
2005,,,,,,97.133,,65.09193769,,,,,,,,,5.8,,77.6,7.306904483,,,,,,,,,,13.07738123,,,,,,,,,,,,,,,,,,25.30510139
2006,,,,,,,,66.30261005,38.41432681,13.01525685,5.555555556,,,15.1,,,5.5,,77.8,9.748764844,,16.30193031,,17.38937527,,60.08447921,,52.6,4.6,13.15195634,411.3503386,442.0913457,438.1774451,82.82422796,,,,,,,4.761904762,,,,,87.12,,26.05997849
2007,,,,,,,,67.39671252,39.51948179,,,,,,,,4.5,,78.1,8.248336304,,18.37037819,,17.76292515,,59.36685874,,,,12.95981204,,,,80.72595024,,,,,,,,,,,,,,24.78581429
2008,,,,,,,,68.19669837,46.095298,,,,,,,,4.1,,78.3,8.117744942,,19.46381628,,18.40417756,,51.82458646,,,,13.87319706,,,,79.71918996,,,,,,,,,,,,,,25.98922157
2009,,,,,,,,67.10137075,41.69296046,9.69375915,9.090909091,,17.8,24.9,,,5.1,,78.5,8.540315425,,16.73526064,,14.06485528,22.17662,56.81839995,,59.1,6.2,11.60470913,421.0604732,449.3696071,447.4673602,82.63204358,,,,11.8,,,4.285714286,,,,,,,26.99609184
2010,,,,,,98.679,,69.24030743,46.28236291,,,,,,,,4.4,,78.7,17.67007864,,14.22731545,,14.5421575,,51.72369642,,,,12.13085358,,,,85.23324588,,,,,,,,,,,,86.94,,25.56600761
2011,8.773606271,,,,,98.853,,71.27731014,54.36734607,9.377987563,16.0,,18.4,,9.821619093,,4.4,,79.0,16.80105906,8.554937363,18.07560395,34126.0,16.07342569,20.515585,43.83876511,,,,11.84641917,,,,81.83312786,,,,11.3,,,4.375,,,,55.804699,,19.12121326,23.927845
2012,,,,,,98.69,,72.05414766,56.69419392,,,,,60.42085797,,,3.8,,79.2,15.81495608,8.273488998,14.40716512,,13.96841121,,40.13703819,,,,11.34520607,422.6323555,441.3981639,444.9339207,85.11429642,,,,,,,,,,,,,,21.19353104
2013,8.354511857,,,,,98.94,,72.72948658,50.31697753,11.48146075,10.66666667,,16.8,61.56860534,9.25341174,,3.7,,79.4,13.87585867,6.840820789,13.68083381,,12.93217544,17.144602,48.11708432,,64.5,5.6,11.94078868,,,,85.74724388,,,,10.6,,,4.473684211,,,,,41.98,20.85870504,18.18237686
2014,,220.14672,206.05903,5.1302003,13.701152,98.9,52.65023,72.49124585,54.78088259,,,,,66.49402139,,59.25791842,4.5,,79.6,13.44808928,6.783499718,13.7051095,45093.0,11.94932478,,44.29815049,20.17876478,,,11.89591613,,,,85.28604141,,,,,1.90661478,2.203993797,,,,,57.71056,,,17.33511353
2015,6.101391092,,,,,98.895,,72.54115347,50.24167739,12.09635484,14.28571429,,16.1,71.55808871,,,4.2,28.22034836,79.8,11.5092932,6.90473032,17.23276667,,17.0798747,16.342464,48.75630436,,57.4,7.3,11.88553628,422.6713579,458.5708761,446.9560664,82.46035966,,,,10.0,,,4.090909091,,,,,,27.77673602,17.6021862
2016,,,,,,98.853,,72.18968717,48.35471666,,,,,79.29779525,,,3.7,,80.0,9.927101394,7.017362118,15.8265171,,11.74690717,,49.93926951,,,,11.98867384,,,,83.95491756,,,,,,,,,,,,,,17.76805496
2017,5.526625365,,,,,98.666,,72.50289633,45.24869265,10.56806146,12.5,,16.5,87.53899513,,,3.0,,80.2,9.700465076,,11.99578515,58935.0,13.67405175,17.183151,52.6096349,,59.7,6.6,10.45105562,,,,87.83665039,,,,10.3,,,4.0,,,,56.797508,46.7,36.12205088,17.51415634
2018,,,,,,98.694,,72.58089093,47.38542222,,,82.27129968,,,,,2.4,,80.4,9.118683152,,10.95964284,,13.75189247,,51.55310829,,,,10.42588542,417.4065563,452.2725542,443.5825634,88.75043639,23.46522061,23.46522061,23.46522061,,,,,1.700212598,1.726333499,1.648163557,,,,17.72625542
2019,,,,,,98.619,,72.56262322,47.96132175,,,82.43553861,,,,,,,80.6,8.664481539,,13.01777053,,17.39669376,,50.98156643,,,,10.32594178,,,,86.44706737,,,,,,,,,,,,,,
2020,2.676527202,,,,,,,64.92759639,40.68520952,11.81279393,8.596458333,84.00778451,,,,,,,80.8,7.64133207,,11.07821355,,16.70029837,21.074551,55.08550897,,50.5,,9.21971127,,,,88.19988358,,,,,,,5.555555556,,,,,,,
2021,,,,,,,,67.62410813,43.14519843,,,,,,,,,,81.0,6.178532952,,10.78743011,,11.5535138,,54.04676235,,50.5,6.8,10.42769665,,,,88.59972068,,,,,,,,,,,,55.64,,
2022,,,,,,,,,36.4924991,,,,,,,,,,,,,11.27001518,,,,60.76069112,,,,10.7773821,,,,88.25498441,,,,,,,,,,,,,,
