year, PHWABSF,EAP,ER,FSAN,FTUELT,GWG,HO,H,LE,LHWPW,LS score less than 5,LSS,LS,LTUR,LUWH,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TEFTED,TMSD,TRSD,TSSD,Top LS scores quintile,VT,hco,SADdeaths
2004,,,69.17662692,,,,,57.0,72.6,38.48031205,,,,4.261265714,,,,,,,,,,,,,,,,,,,,,,14.95487213
2005,,99.394,70.045419,,,,,49.1,73.0,37.13997521,,,,3.410404628,,,,,,,,,,,,,,,,,,,,,,13.77244949
2006,,,,55.86861929,,,,43.2,73.3,37.13997521,,8.89911408,,,,15.08661272,,42.42140267,,,,369.9785135,385.3080385,388.0382718,90.30301655,,,,,,,,,45.11,,14.15332413
2007,,,69.18365101,52.005167,22.09298083,1.339317018,,37.7,73.5,36.43993932,,10.60390053,,1.376439755,,12.4796393,,46.34983253,,,,,,,89.15696209,,,,7.041666667,,,,,,,13.95174026
2008,,,69.78822882,48.64370684,18.13470975,1.739690722,,39.2,73.8,34.45510011,,11.97364179,,1.174509889,,16.28344711,,50.17324083,,,,,,,87.86227655,,,,6.459722222,,,,,,,13.7682724
2009,,,71.20588838,45.03204391,18.34182822,3.384675171,,43.2,74.0,33.60052873,,11.3794103,,1.410587504,,12.07960947,,53.64829478,,,13.17858415,380.8482149,413.1814991,401.750115,88.37576404,,,,6.3,,,,,,,13.25817108
2010,,99.318,72.64527388,43.42294009,17.38888793,6.430555556,39.42293823,39.5,74.3,34.96438742,,10.61957211,,1.439357586,,12.28212429,,55.08256538,,,12.28953435,,,,88.62195203,,,,6.461538462,,,,,44.35,,12.72916889
2011,,99.423,73.86231516,45.71436413,14.97672127,3.534808419,38.08515668,34.2,74.5,35.35763387,,9.555932718,,1.156009537,,13.83736999,,52.5550269,,,11.77911925,,,,90.13801158,,,,6.0,,,,,,,11.70540714
2012,1.938472129,99.423,74.69537328,44.92122262,16.97808897,8.197946776,39.4582957,32.2,74.7,34.22687123,,8.535942417,,1.01218876,33.20516,11.07636487,,54.18811469,,,11.82180951,376.488601,403.4025342,398.6786316,91.15112049,,,,6.208333333,,,,,,41.2768662,12.0667944
2013,1.746927202,99.423,74.96466568,47.39188519,16.23264702,7.142857143,37.04963326,29.4,75.0,33.44025321,,9.88265044,,0.861290996,,12.00235468,21.756479,51.60023137,,,12.67086464,,,,89.71864876,,,,5.71,,,,,,42.3374325,11.72387409
2014,1.81140732,99.316,75.46422196,44.24836366,13.90040474,9.6,37.32385635,25.3,75.2,30.6493056,,9.209673465,,0.857256019,,10.8473621,21.645657,54.03772271,,,13.33885376,,,,90.2496473,,,,5.208333333,,,,,47.9,42.92167425,12.20621872
2015,1.595493406,99.315,75.94693568,46.76623738,13.20818135,11.14171573,36.34738922,24.0,75.4,29.16451757,,10.97618796,,0.705349391,,11.90887561,21.260151,51.7680504,,,13.83170123,389.6438278,424.905167,415.7287606,88.71673442,,,,5.208333333,,,,,,43.13235581,12.80517101
2016,1.438813563,99.315,75.68829883,44.95330824,12.74728562,7.091750669,35.01727879,23.4,75.7,28.0977265,,11.76622721,,0.69824234,,13.59391007,21.220673,52.21765112,,,14.81098189,,,,87.86345266,,,,4.513888889,,,,,,45.34898698,13.31626987
2017,1.132660359,99.315,75.37966403,41.58372615,11.73933654,7.692307692,34.12891626,22.8,75.9,26.56461745,,9.022520586,,0.817516571,,12.98505981,21.903862,57.72871489,,,13.718072,,,,90.3991692,,,,4.533333333,,,,,,48.43386114,12.80530739
2018,1.129211113,99.315,74.86139148,48.19540394,10.97971048,5.787925926,34.42401886,23.5,76.5,25.88552807,2.9,12.82780052,8.264852775,1.007136109,,13.37132063,22.905624,50.20833526,80.6,1.3,13.73644192,390.9322732,412.295085,413.3229926,86.58972732,39.92956365,39.92956365,39.92956365,4.733333333,1.719581246,1.771598816,1.686322927,1.75,53.38,50.62621236,13.16000271
2019,1.501880214,99.315,73.73493194,47.50857872,13.79228996,4.0,33.87421072,23.7,76.6,25.86203767,,12.65371819,,1.249034506,,13.48322676,23.954031,50.54149723,80.4,1.3,13.3149301,,,,86.65261517,,,,4.691358025,,,,,,46.65438235,12.97160625
2020,1.044890378,,65.53842795,49.52192059,15.28392853,,34.61337686,,76.7,23.67212651,,20.29647622,,1.114694067,,14.96422187,29.120235,49.64668899,,,10.81345619,,,,79.70352378,,,,5.279896,,,,,,44.26695406,
2021,,,68.81411884,43.23853835,13.74936638,,,,76.8,24.42153004,,20.60981455,,2.520357099,,16.33339298,26.687654,55.24725938,,,14.17839603,,,,78.87310632,,,,4.430555556,,,,,,,
2022,,,,43.50731068,,,,,,,,12.23809873,,,,,,55.71609066,,,15.53711637,,,,87.21777195,,,,,,,,,55.86,,
