year, PHWABSF,EAP,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HO,H,LE,LHWPW,LSS,LTUR,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,VT,hco,SADdeaths
2004,,,67.88305209,,,,,,,,6.6,78.6,,,,,,,,,,,,,,,,,,,,,,,,14.43630409
2005,,99.851,70.77749969,,,,,,,,7.5,78.8,,,,,,,,,,,,,,,,,,,,,,,,12.66587067
2006,,,70.57910896,51.11991844,,,,,,,7.8,79.0,,6.230316693,,10.62435742,,45.98216646,,,,,,,92.56642649,,,,,,,,,65.13,,14.1083746
2007,,,71.87360661,48.28443283,,,,,,,5.8,79.1,,8.161610864,,8.130104367,,49.28729511,,,,,,,90.9812058,,,,,,,,,,,12.12479401
2008,,,71.67902417,45.02171758,,,,,,,8.6,79.3,,8.376973045,,8.742330367,,52.97654531,,,,,,,91.06363305,,,,,,,,,,,12.29282093
2009,,,70.49035821,44.30644222,,,,,,,9.2,79.4,,9.99766171,,5.373828411,,55.21174364,,,,,,,89.7611339,,,,,,,,,,,11.64394951
2010,7.150324434,99.865,69.74490216,40.8101699,18.12242963,,,20.0,,,10.4,79.1,32.48321732,8.44606068,,4.513460298,,58.18900544,,,12.66019894,,,,91.08480893,,,,12.1,5.384615385,,,,69.11,,12.26793861
2011,6.993705779,99.865,67.31797472,40.97922082,14.63859598,4.630681818,,20.7,,11.27370298,9.2,79.1,27.98274534,10.71493123,,10.46807707,,56.84587119,,,12.54314701,,,,88.54167671,,,,13.1,5.026041667,,,,,18.91715825,12.47700024
2012,5.309472233,99.865,70.69097271,52.72466052,13.8797678,0.552486188,80.61333124,21.3,12630.0,10.41360423,7.6,79.4,26.27575576,9.657508117,1.011017239,7.896980023,,45.88639351,,,14.07857672,406.9998672,440.5478107,429.3509678,89.09695307,,,,13.5,5.025641026,,,,,20.31368911,11.1261282
2013,5.428801849,99.865,70.77880797,48.42594968,15.87130124,,81.78102664,21.0,12798.0,10.25553048,7.5,79.6,26.83394895,9.710562407,1.054132996,9.795947076,19.971151,49.17003884,,,13.26071936,,,,89.44686856,,,,14.3,5.115740741,,,,,16.16880447,11.49903679
2014,4.589889571,99.865,70.72058442,42.22225609,15.36223419,5.149700599,81.63224519,21.5,13048.0,9.959117323,8.8,79.7,26.80996778,8.551866746,1.556512229,11.83000688,18.734764,55.71713455,,,13.86930608,,,,91.13328774,,,,13.7,4.74,,,,68.38,18.96409839,9.968475342
2015,5.398295447,99.865,69.53686557,47.99308158,15.23503453,3.703703704,81.52122974,20.6,13482.0,9.722426534,10.3,79.9,28.28602896,12.05444566,1.560800355,13.36397481,19.772619,50.559411,,,,400.2533729,427.4875482,419.6080331,86.97405403,,,,13.4,5.166666667,,,,,19.59908009,12.03443909
2016,5.276498944,99.865,67.63445226,47.58344789,14.66525797,1.785714286,82.45951665,20.9,14303.0,10.17283872,9.6,80.0,27.45845519,9.89321773,1.616256558,10.84293163,21.75012,51.07001445,,,,,,,89.73767819,,,,13.5,5.0,,,,,20.22355795,11.42519951
2017,4.123020917,99.865,68.62153556,47.55066183,13.9531024,2.967032967,83.0012867,20.4,15203.0,9.198953211,10.2,80.2,27.54937791,7.775333738,1.360379007,10.08375677,20.321682,50.68846253,,,17.42297753,,,,91.5228677,,,,13.0,4.711975512,,,,,24.65826273,10.39243317
2018,3.718472645,99.865,69.65383559,43.5492149,12.91671606,4.725274725,83.21195974,20.9,15453.0,9.505345672,10.6,80.3,25.84675738,12.31523596,1.513977185,12.69407831,21.808647,54.6564083,70.0,3.4,16.20897155,402.3305585,426.498225,415.622462,86.89913595,33.54621859,33.54621859,33.54621859,13.2,4.367951049,1.618122816,1.654128313,1.581514835,65.56,25.58189929,13.12099838
2019,3.269819915,99.865,71.05869627,47.79762654,11.96295748,,83.45340383,19.9,15604.0,9.168370813,9.9,80.5,24.22843361,9.364827245,1.545002083,11.23432059,20.343336,51.26526616,,,15.5594877,,,,90.34314729,,,,12.7,4.816493056,,,,,24.19941425,12.83123207
2020,2.922817133,,63.41022631,47.119077,13.607105,,83.08231501,20.5,,8.472086489,9.4,80.6,21.9871013,16.37404174,1.519618679,17.23859879,17.408918,50.44986765,,,11.15189658,,,,82.38347257,,,,14.5,5.337461538,,,,,33.5444808,10.87598133
2021,,,66.12908083,53.21757645,11.51541577,,,20.3,,,,80.8,21.59910719,12.32621257,3.48745232,15.25266337,25.193876,44.65513659,,,13.34485634,,,,87.12068755,,,,13.3,4.641270903,,,,,,
2022,,,,45.32652789,,,,,,,,,,9.79529814,,,,51.58039861,,,,,,,89.75893642,,,,,,,,,60.65,,
