year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,21800.0,,,,,,,,72.67623419,,19.67987829,16.14681968,76.86491933,5.8,18191.0,,,,1.2,,75.9,9.024808623,,,,,4.331151835,,12.408266,,,,,13.55520317,,,,,,,,,,,,,3.8,,,3.364731416,,,,,,,,,23.48635483
2005,,22441.0,,,,,,30.10000038,99.983,73.37279107,,20.03109563,15.93892946,76.73294981,5.5,18804.0,5.0613,,,0.9,37.82246017,76.1,8.912984657,,,,,4.275425804,,11.168757,,,58.9,13.1,12.60925859,,,,,,,,,,,,,3.7,,,3.44178617,,,,,,,,,23.70551682
2006,,23340.0,,,,,,29.0,,73.77260982,49.7661237,19.73841727,15.35176621,76.60883117,5.6,19507.0,16.5827,,,1.0,,76.7,8.818428117,,,7.90555563,,3.969331223,16.90739799,9.4854412,44.7002489,,59.2,13.4,10.39753503,509.8593589,482.715162,512.8607459,89.40495863,,,,,,,,,3.7,,,3.450505027,,,,,,,64.47,,21.85192871
2007,,24037.0,,,,,,26.39999962,,74.48884997,56.21320248,19.65646557,16.93153188,76.38979331,5.5,19957.0,28.0624,,,1.0,,77.0,9.382876502,2.921034813,,9.562195047,,2.86695434,17.10424364,7.1030636,37.16103824,,61.2,12.4,11.89894041,,,,85.84894311,,,,,,,,,3.6,,,3.453122574,,,,,,,,,20.55360031
2008,,24165.0,,,,,,28.20000076,,75.10342668,,19.70329475,17.87301988,75.76964295,5.9,20172.0,36.405,,,0.7,,77.3,9.514592543,3.561415195,,,,2.231047015,,6.8180914,,,61.4,13.0,10.40274679,,,,,,,,,,,,,3.6,,,3.500107521,,,,,,,,,20.48682976
2009,,24069.0,,,,,,27.89999962,,73.84012165,59.85975779,20.04280568,15.10501797,75.16198506,6.0,20499.0,48.8914,,,0.8,,77.4,9.212696312,6.095405579,,4.759715383,,2.10455341,14.44881792,8.6053057,35.28088965,,61.3,12.7,8.642036766,492.8140941,478.1867204,500.4970659,91.67381351,,,,,,,,,3.6,,,3.548912079,,,,,,,,,20.88948822
2010,5.574971065,24808.0,,,,,,27.5,99.983,73.45211176,56.49490524,20.18329243,15.79850307,74.5462781,6.5,20607.0,53.6004,17.20965058,,0.8,32.44051361,77.7,8.750231228,5.212406158,,8.090584415,,3.192705744,16.1636802,9.0440845,36.10135411,,62.2,12.2,7.665773792,,,,88.92452892,,,,,,,,,3.7,,,3.563638493,,,,,,,62.6,,20.86338043
2011,3.691860288,25010.0,,,,,,28.29999924,99.983,74.17084465,58.89205705,20.15306324,16.3296567,74.44888603,5.9,20401.0,63.4421,16.09672755,,0.8,,78.0,7.579757593,4.953681946,,8.423856001,,2.828011219,16.99552083,8.7363958,35.11505334,,59.4,12.6,7.371219878,,,,88.9738534,,,,,,,,,3.7,,,3.51109879,,,,,,,,,21.41990852
2012,4.920719564,25056.0,274.01166,275.73383,4.0610816,5.1177005,86.38249548,31.10000038,99.983,74.7185468,58.79636429,19.75000158,15.26297988,74.65162842,5.2,20227.0,69.2857,15.50689787,20.96664174,0.9,,78.1,7.140086898,6.315246105,,8.511833356,,3.057845878,15.49587964,9.2295465,35.37587144,58.99060826,60.4,12.8,7.063003995,498.9578825,492.8897384,508.2990808,88.68488565,,,,,,,,,3.6,1.462952256,1.507938743,3.489052343,,,,,,,,,21.36060524
2013,3.405546769,24900.0,,,,,,31.70000076,99.98,75.80060675,64.06665845,19.95000219,15.37883532,74.55527381,5.9,20203.0,69.3875,15.66667706,,0.9,,78.3,6.984043446,5.460225105,9.287107736,10.90457756,6.879919981,3.168268817,15.52430308,9.4525909,30.98998932,,59.6,12.8,6.21902079,,,,86.49543662,,,,11.28546725,8.078273697,31.53895997,6.720901992,,3.7,,,3.512093694,,,,2.331690061,1.951647666,2.873931301,59.48,,20.16862869
2014,3.057168797,25425.0,,,,,,30.70000076,99.924,76.71121422,60.7549524,20.26000203,16.2545602,75.70379535,5.9,20683.0,75.9137,15.20373672,,0.7,,78.9,5.988433642,4.23494482,,11.75958095,,2.758918258,14.85356867,8.4155769,33.86526414,,60.6,11.6,6.544640201,,,,84.56347386,,,,,,,,3.2,3.6,,,3.52171734,,,,,,,,,19.4601059
2015,2.687963843,26173.0,,,,,,26.60000038,99.943,77.72024721,70.12103799,20.65000227,16.45515416,75.84738908,6.4,21286.0,76.038,13.69627267,,0.8,25.37841034,78.7,6.04110083,3.12342,,8.783507566,,2.478669568,12.43482093,7.9521012,28.03008435,,61.2,11.1,6.97457601,492.325438,487.2501413,492.8300483,90.31133526,,,,,,,,,3.7,,,3.572696913,,,,,,,,,18.43080902
2016,2.777782083,27097.0,,,,,,23.20000076,99.783,79.50511293,73.95780198,19.76000178,16.02343084,75.80511957,5.6,21863.0,80.3188,13.56226504,,0.5,,79.1,5.720770911,2.286511421,,6.861465683,,1.741340212,11.16241018,7.2767863,22.5613539,,60.3,11.8,5.789360331,,,,91.99681474,,,,,,,,,3.6,,,3.461186867,,,,,,,,6.968895346,20.51904678
2017,1.494530123,28482.0,,,,,,22.0,99.551,81.16529905,72.84694729,19.87000238,15.61401089,76.17858195,5.6,22785.0,82.8761,12.19584122,,0.6,,79.1,5.64834401,,,9.814415682,,1.058265886,13.00385683,6.6407318,25.0771978,,61.8,11.1,5.454294524,,,,89.29002182,,,,,,,,,3.5,,,3.453707642,,,,,,,60.84,5.139893666,21.22727203
2018,1.509004273,29991.0,,,,,86.24700438,16.20000076,99.728,82.506242,72.39453381,19.68000256,15.12741386,76.04893426,6.1,23620.0,85.7682,12.23502383,,0.5,,79.1,5.616546069,,5.756267905,6.990116561,7.4364578,0.725012253,12.28495446,5.7936506,23.63903628,,62.0,10.7,6.201664365,499.4676508,490.2188148,496.7913106,91.69008812,10.51550277,10.51550277,10.51550277,8.774500028,8.299777915,29.73379304,6.874937693,,3.5,,,3.340819443,1.639396191,1.701418877,1.662343264,2.233174614,1.780397799,2.766067533,,4.845865443,20.91592026
2019,1.627053134,31236.0,,,,,,13.10000038,99.673,82.83493914,,18.36,14.71433226,76.58563841,5.6,24390.0,86.9996,11.60843074,,0.7,,79.3,5.600552787,,,,,0.623625229,,5.4700828,,,61.9,10.4,5.793536029,,,,,,,,,,,,4.2,3.5,,,3.246991767,,,,,,,,5.144197866,19.15194511
