year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,51725.0,,,,,,7.900000095,,,78.42810852,,6.679576889,10.18220538,76.82281731,,25553.0,,,,0.7,,77.8,5.28631469,,,,,1.166124644,,,6.5983162,,,77.6,7.4,6.836321059,,,,,,,,,,,,,,,,2.379124017,,,,,,,,,,17.16600609
2005,,52618.0,,,,,,6.800000191,98.039,,78.8150808,,6.402551821,10.16733044,76.71116446,,26024.0,51.179,,,1.0,23.15306854,78.3,5.679429845,,,,,1.08892118,,,6.2207618,,,76.6,7.0,6.11671091,,,,,,,,,,,,,,,,2.394608843,,,,,,,,84.54,,18.5130024
2006,,53505.0,,,,,,8.199999809,,,80.3540548,79.65564826,7.572612914,10.17206126,76.79516421,,26566.0,63.2527,,,0.7,,78.4,5.502628413,,,2.755245118,,0.7362413,,5.969240641,5.1015997,17.40113744,,75.0,7.9,5.63799745,513.0259502,494.4829811,495.8943102,96.96951816,,,,,,,,,,,,2.433692991,,,,,,,,,,19.20582581
2007,,54101.0,,,,,,6.5,,,79.7482139,87.52924719,7.839276591,9.850297951,76.63080535,,26403.0,69.5315,,,0.8,,78.4,2.44985501,1.894412994,,4.552765312,,0.552952097,,9.547922328,5.9599805,11.6189097,,75.3,7.9,7.453529264,,,,94.85501271,,,,,,,,,,,,2.44959894,,,,,,,,86.59,,17.11774254
2008,,54817.0,,,,,,7.900000095,,,79.91407823,80.7467231,7.888245723,10.18354903,76.36818685,,26346.0,74.0713,,,0.8,,78.8,2.232943483,2.54244709,,4.591429061,,0.399445389,,6.176576967,6.5681114,16.99189425,,74.2,7.2,7.414453912,,,,95.03108792,,,,,,,,,,,,2.434809355,,,,,,,,,,16.72462082
2009,,56145.0,,,,,,9.199999809,,,76.91024185,82.88201642,7.277324466,10.17200506,76.96254614,,26914.0,76.0467,,,0.8,,79.0,1.885695893,4.178189278,,6.101495329,,0.6102494,,9.289069656,8.0297651,16.1653191,,72.3,7.4,5.497644813,503.2781474,494.9161617,499.3369747,93.74560653,,,,,,,,,,,,2.404785517,,,,,,,,,,17.19469261
2010,0.0,56776.0,,,,,,8.699999809,97.494,,76.00485681,79.47327004,7.577789671,8.895098479,76.4999702,,27695.0,80.1021,7.143567502,,0.8,17.4915638,79.3,1.951463129,5.185385227,,2.484997948,,1.56893358,,6.517575312,10.05693,18.38869796,,71.0,7.9,4.607264156,,,,96.82381581,,,,,,,,,,,,2.501593552,,,,,,,,,23.13536555,15.87272167
2011,4.036419839,56477.0,,,,,,9.300000191,98.991,,75.99576027,78.71419508,7.491377987,7.947197254,76.36938764,5.8,27824.0,83.8913,7.329837978,,0.8,,79.9,1.9684555,5.347968102,,3.820947794,,1.92483479,,8.058669423,10.110878,16.8815028,,71.7,7.9,3.95638766,,,,96.03697452,,,,,,,,,3.6,,,2.511634293,,,,,,,,87.74,25.55955648,16.03657722
2012,3.639996797,56393.0,270.78754,278.27838,4.8614652,3.3967772,58.81582807,10.60000038,77.026,,75.7704864,79.55757721,7.572515174,6.999844876,76.20270121,5.4,27699.0,84.7714,7.090009004,49.66260502,0.3,,80.2,2.056362049,4.826377869,,4.818019931,,2.228327169,,8.613004977,11.284292,15.81295501,31.5166194,71.0,7.6,2.99255481,500.0267567,496.1308815,498.4742028,94.3940761,,,,,,,,,3.5,1.554237366,1.591076136,2.52394431,,,,,,,,,24.85107332,15.71996212
2013,5.372510105,56787.0,,,,,,11.80000019,68.03,,75.93542415,79.71151773,7.886259629,6.768911945,75.85727167,5.4,27901.0,87.1906,7.553242892,,0.4,,80.4,2.029511217,4.493090153,4.93080318,3.501607312,8.01076821,1.931697269,,8.530276266,10.574966,16.58191092,,72.5,7.1,3.409114437,,,,95.71654245,,,,5.738963532,8.604222649,15.90078831,7.894635647,,3.6,,,2.563710686,,,,,1.839964895,1.630417775,2.21795692,,24.30153936,14.73019505
