year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,16960.0,,,,,,15.30000019,,,71.97486412,,,,,77.31585074,,11974.0,,,,8.0,,72.4,4.988305151,,,,,5.296040089,,,13.289225,,,49.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10765076
2005,,18098.0,,,,,,12.30000019,7.493,,73.71322603,,,,,78.65101578,,13235.0,28.409,,,9.1,30.69993019,73.0,4.959928601,,,,,4.455574736,,,10.546912,,,53.8,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.69945526
2006,,19711.0,,,,,,15.39999962,,,78.39155934,56.53331008,20.79166667,,27.85602504,79.05175245,,14946.0,36.3961,,,7.3,,73.2,5.388782402,,,8.505863984,,2.943519839,,17.4799444,9.4574041,34.19585618,,53.2,15.1,514.5754617,500.7497618,531.3918043,86.07133512,,,,,,,,,,,,4.290076336,,,,,,,,,,,,62.30513
2007,,22920.0,,,,,,11.0,,,79.23238459,55.0568074,,,,79.16097809,,16107.0,46.8177,,,7.0,,73.2,4.924991851,4.385561943,,9.881730063,,2.354622304,,16.01867836,10.516176,35.80841959,,53.3,14.8,,,,84.79948131,,,,,,,,,,,,,,,,,,,,,,61.91,,70.10094452
2008,,23221.0,,,,,,11.19999981,,,79.07101494,60.06336884,,,,81.72364757,,17225.0,53.7733,,,6.6,,74.4,3.58337553,4.982801914,,9.352877805,,1.732260703,,17.87411774,7.8717885,34.26524615,,54.5,14.8,,,,87.7959575,,,,,,,,,,,,,,,,,,,,,,,,62.73692703
2009,,22559.0,,,,,,20.5,,,72.82040675,60.05024461,,67.74465179,,81.55942236,,15917.0,60.9001,,,6.0,,75.3,2.909357491,10.76814651,,12.22828735,,3.774022631,,19.30363903,14.331903,34.87488321,,51.5,14.1,512.1041974,500.9618654,527.8317561,84.64845946,,,,,,,,,,,,,,14.98333333,,4.2,,,,,,,,44.26161194
2010,26.34904385,22426.0,,,,,,25.5,17.231,,70.03186078,,21.44444444,,27.79783394,80.5590916,,15331.0,63.6351,,,4.6,31.75430298,76.0,3.630096363,13.81750965,,,,7.724719252,,,15.378451,,,52.7,14.9,,,,,,,,,,,,,,,,4.053370787,,,,,,,,,,,19.07499284,38.11790848
2011,20.18850446,21953.0,,,,,,24.29999924,1.871,,73.38048514,56.37514871,,,,81.44404961,,15869.0,64.9389,9.080895036,,4.8,,76.6,4.068271328,10.98316002,,8.907891854,,7.203539344,,13.39862123,11.899364,35.622226,,51.8,16.3,,,,88.67285173,,,,,,,,,,,,,,,,,,,,,,63.53,30.98632395,38.48627472
2012,19.97002661,22221.0,275.88404,273.11948,3.921254,5.1996267,75.06893014,24.10000038,1.871,,74.90478536,61.24627178,,,,80.52995159,,15881.0,73.0381,9.298156947,26.96056265,4.9,,76.7,3.575221291,8.797903061,,10.66982639,,5.56953216,,15.31783106,12.892388,28.47234525,53.16516073,52.4,16.3,520.5455216,516.2941844,541.4047575,85.84997237,,,,,,,,,,1.513412237,1.530274749,,,,,,,,,,,,27.74651945,43.43919754
2013,18.93268228,22759.0,,,,,,23.39999962,1.871,39.57,76.1050966,63.90671106,,,,81.16839049,15.8,16739.0,78.4193,14.18173313,,3.9,,77.5,3.296029514,7.296195507,14.29795325,9.769081507,6.455133523,3.923277991,77312.0,14.55448695,11.832273,27.27027651,,53.4,15.6,,,,88.63196409,,,,17.74271724,7.623050621,32.99067938,6.710312433,,6.5,,,,,,,,,55.71339,2.461980446,2.197102938,2.618134692,,18.70309561,50.66431808
