year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,42986.0,,,,,,17.70000076,,,71.33761937,,,,,80.31385662,,28378.0,,,,0.8,,80.4,8.224887399,,,,,3.589568128,,,,12.010034,,,67.6,10.7,9.243799824,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99745178
2005,,43504.0,,,,,,16.20000076,96.187,,71.28715934,,,,,79.85537733,,28511.0,,,,0.7,34.12909698,80.4,8.273437533,,,,,3.635007792,,,,11.977282,,,68.7,10.0,8.723286207,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67365646
2006,,43990.0,,,,,,15.80000019,,,71.28588498,71.58087706,6.469135802,,9.390746679,79.71601587,,29026.0,30.2603,,,0.7,,81.0,8.002509799,,,5.954022772,,3.698200038,,,10.69685853,12.900162,22.99389156,,69.3,9.6,7.669414458,495.5383329,487.7062469,495.219839,93.84227568,,,,,,,,,,,,2.776243094,,,,,,,,,,,,20.83708382
2007,,44151.0,,,,,,16.10000038,,,71.64455509,67.44243056,,,,79.83953449,,29690.0,48.9039,,,0.6,,81.3,8.026969051,2.66126132,,5.558210086,,3.207013339,,,15.55036474,12.05651,25.59057201,,71.1,8.9,7.476304242,,,,93.56998791,,,,,,,,,,,,,,,,,,,,,,83.97,,20.03303146
2008,,44066.0,,,,,,15.89999962,,,72.19407756,67.29801448,,,,79.75446411,,29681.0,57.0997,,,0.7,,81.4,8.411304167,2.657217026,,6.44939363,,2.780718283,,,17.45136015,11.165378,24.64418951,,69.1,8.4,6.88019509,,,,93.31016168,,,,,,,,,,,,,,,,,,,,,,,,20.6010704
2009,,45468.0,,,,,,19.10000038,,,71.30596567,59.27821567,,26.98775673,,79.71326679,,30066.0,62.7416,,,0.8,,81.6,8.560563332,3.50687623,,8.11162392,,3.206568649,7.1989,157947.0,16.10174128,13.414354,30.51426487,,68.6,9.0,6.838952232,496.7823103,495.6165415,498.2268939,91.00220063,,,,,,,,,,,,,,16.19633,,6.1874085,,49.9716,,,,,,20.50422859
2010,2.25813482,46386.0,,,,,,20.20000076,95.21,,71.24809605,64.80845437,5.791666667,,9.118807541,79.6136438,,30449.0,66.391,8.013675362,,0.7,37.99575806,81.9,8.628695901,3.200282812,,5.678274409,,3.722348569,,,13.0573341,14.352324,30.51986548,,67.3,8.9,6.3602088,,,,93.86161324,,,,,,,,,,,,2.806494367,,,,,,,,,,,,20.18007469
2011,2.342978865,46303.0,,,,,,19.70000076,95.774,,71.17079562,62.75482699,,,,79.54717904,,30405.0,69.9495,7.233207673,,0.6,,82.3,8.972211279,3.177257538,,7.848616067,,3.810053905,,,12.43275505,13.782708,30.88057006,,67.6,8.8,6.283460258,,,,91.86141159,,,,,,,,,,,,,,,,,,,,,,,,20.06222343
2012,1.920666918,46603.0,262.13914,254.192,3.43065,9.9017519,61.89380523,19.5,92.406,,71.51325588,67.11772267,,,,79.10116458,8.5,30279.0,77.2335,7.159074396,9.557004777,0.6,,82.1,8.718614981,3.73973465,,6.272895536,,3.969224383,,,15.31864666,13.61748,25.75703784,63.95788283,68.1,8.5,5.764014251,494.9846743,505.4814833,498.9708952,93.45111927,,,,,,,,,4.6,1.629305482,1.788993478,,,,,,,,,,,80.35,,19.04002571
2013,1.381374802,46995.0,,,,,,20.70000076,92.082,,71.54612128,67.05515345,,,,78.63449341,7.9,29946.0,78.3743,6.38904497,,0.6,,82.4,8.104251203,3.881164312,7.096582651,9.218050272,7.053188949,4.193855608,,,12.20979966,13.63709,25.91903689,,67.1,8.7,5.130470228,,,,90.64255187,,,,9.460497439,7.839755303,25.24851774,6.908388176,,4.3,,,,,,,,,,2.088850703,1.807905359,2.72884095,,,18.94099617
