year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,48415.0,,,,,,,,,69.77274236,,17.57336497,,21.24478442,78.56918973,,29902.0,,,,0.6,,79.3,4.147457752,,,,,5.385170955,,,,10.506956,,,,,7.078494751,,,,,,,,,,,,,,,,3.111111111,,,,,,,,,,,,20.65399361
2005,,48590.0,,,,,,11.5,99.312,,70.48478666,,17.36872592,,16.81415929,78.46224804,,30161.0,23.2448,,,0.5,44.81978607,79.4,4.525699941,,,,,5.97678967,,,,11.55182,,,60.1,9.4,6.498114947,,,,,,,,,,,,,,,,3.14709236,,,,,,,,,,77.65,,19.9718647
2006,,48580.0,,,,,,8.100000381,,,72.17994927,72.4651752,18.23598377,,18.54252199,78.10292568,,30533.0,33.5357,,,0.6,,79.9,4.706919971,,,3.640195617,,5.873589982,,,9.923438083,10.301951,25.82947047,,60.5,9.3,6.175550485,503.7908583,494.9444179,515.6491299,96.06493476,,,,,,,,,,,,3.355029586,,,,,,,,,,,,18.87200165
2007,,48433.0,,,,,,6.099999905,,,73.99234608,74.56038619,17.72131543,,16.95906433,78.53899294,,30653.0,49.5664,,,0.6,,80.1,4.549981313,2.354741096,,7.361960437,,4.949454332,,,14.87001443,9.5753431,21.68649181,,59.8,9.5,6.012276804,,,,92.04016532,,,,,,,,,,,,3.228603604,,,,,,,,,,,,18.1081562
2008,,48650.0,,,,,,6.699999809,,,75.03861047,71.78214863,17.29033394,,16.95906433,78.45241059,9.0,30991.0,54.8585,,,0.5,,80.2,4.832330349,2.320547342,,6.404580154,,3.998567367,,,12.14752671,8.8640461,24.73805415,,64.5,8.0,5.445290418,,,,92.76119635,,,,,,,,,4.3,,,3.2,,,,,,,,,,,,18.22110367
2009,,48659.0,,,,,,10.30000019,,,75.38178225,72.35246397,19.03905939,,16.95859873,78.63050922,,31000.0,64.5849,,,0.5,,80.3,5.236806365,2.373709679,,7.730405945,,3.56358235,,,12.51667152,8.8915682,24.70316285,,65.2,7.9,5.063269158,512.7776425,497.305058,520.4053495,91.23034722,,,,,,,,,,,,3.306777778,,,,,,,,,,70.78,,18.14041328
2010,1.408656873,49085.0,,,,,,8.899999619,99.598,,76.14981913,74.87521765,18.93096087,,16.69471558,78.43081353,,31336.0,75.2013,5.787871033,,0.6,31.74748993,80.5,5.135784191,2.078678131,,6.043178955,,3.385326909,,,11.68810797,8.8976908,23.34305916,,65.2,8.1,4.459534656,,,,93.52915177,,,,,,,,,,,,3.333333333,,,,,,,,,,,10.789942,18.28876495
2011,,50076.0,,,,,,9.399999619,99.612,,77.67433328,77.37843511,18.90156921,,16.94444444,78.71539695,8.7,31849.0,77.5217,,,0.5,,80.6,5.413536688,2.150923014,,5.254533449,,2.830319893,,73526.0,9.83158428,8.4599857,19.27090044,,64.8,8.2,4.903879437,,,,94.33227682,,,,,,,,,4.4,,,3.472222222,,,,,,59.17305,,,,,,18.14307022
2012,0.731318165,50744.0,269.80837,271.72517,4.1827722,5.0578953,67.50849913,9.199999809,98.283,,78.20164731,78.94721048,19.10093322,11.13861847,16.30434783,78.50155964,8.4,32064.0,81.5248,5.680855736,24.26971563,0.5,,80.7,5.611614782,2.068649054,,7.344489284,,2.477914963,11.58032,,9.78694544,7.4434748,17.70275744,43.52027589,65.4,8.6,4.481630915,513.5250557,507.6765296,524.1208004,92.45371326,,,,,,,,,4.3,1.589735746,1.659107685,3.28125,,15.623116,,7.0019322,,,,,,,10.46275273,17.65301895
2013,,51221.0,,,,,,9.100000381,98.646,,78.64931171,75.75521418,18.61474007,,14.32328767,78.37403046,9.1,32076.0,84.7878,,,0.5,,80.6,5.251662358,1.973044515,8.4,6.822042917,7.254308529,2.37865525,,,12.71275373,6.8844528,22.72677863,,64.9,8.1,4.146602916,,,,92.65450658,,,,14.36069627,7.806327511,33.30912116,6.537614903,,4.4,,,3.385416667,,,,,,,2.32,2.213555926,3.679326754,71.53,,18.28610611
2014,1.061261538,52080.0,,,,,,8.5,91.929,31.04,79.09678586,79.64584528,17.9977574,,17.1875,78.99649592,9.5,32483.0,86.5778,6.14942126,,0.4,,81.2,4.961991964,1.851728559,,6.230853093,,2.250786267,,83296.0,9.297664212,6.7445884,19.13668268,,65.2,8.0,4.18113913,,,,93.55695795,,,,,,,,8.5,4.4,,,3.415265201,,,,,,59.758949,,,,,9.044080228,18.05154037
2015,0.0,53278.0,,,,,,7.599999905,95.464,,79.36225638,74.60059456,19.30726455,,16.13722999,79.0999668,10.1,32985.0,87.8287,,,0.5,28.53308678,80.7,4.750605221,1.669733286,,7.381531044,,2.076206334,,,10.5780918,6.0956535,23.98243663,,64.5,8.3,4.259981433,505.9712824,509.1041387,509.1406472,92.26547793,,,,,,,,,4.5,,,3.515151515,,,,,,,,,,,12.93322146,17.99797249
2016,0.0,54094.0,,,,,,6.900000095,88.317,,80.08136035,73.31528354,18.84957488,,15.82914573,79.37280661,10.4,33746.0,89.5972,,,0.4,,81.0,4.593395375,1.42423296,,9.343317403,,1.730967673,,,9.912928071,7.1934681,25.69900685,,65.2,8.3,3.901397401,,,,90.08465244,,,,,,,,,4.6,,,3.362745098,,,,,,,,,,,10.5932124,18.71796227
2017,0.0,54664.0,,,,,,6.099999905,87.046,39.9,80.63965373,69.45629385,18.20564006,,14.4278607,79.62708669,10.4,34170.0,91.6003,,,0.4,,81.1,4.264845133,,,10.70739654,,1.604981733,,94588.0,9.04868863,6.9709692,28.71081539,,65.4,8.4,3.853534054,,,,88.58785404,,,,,,,,,4.5,,,3.319794585,,,,,,55.37125,,,,76.15,9.992728382,17.99140358
