year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,21491.0,,,,,,,,,64.5359033,,22.95,,3.034373765,80.5805875,,16237.0,,,,2.2,,73.0,5.07519592,,,,,2.758980446,,,12.681285,,,,,12.81044826,,,,,,,,,,,,,,,,4.609605609,,,,,,,,,,,,40.80183411
2005,,22438.0,,,,,,35.40000153,100.0,,64.96266105,,23.09,,4.021526574,81.149118,,16984.0,10.9393,,,1.9,49.804245,73.0,4.560413204,,,,,3.339336814,,,12.897223,,,45.3,21.9,12.65653675,,,,,,,,,,,,,,,,4.463016209,,,,,,,,,,,,50.84556198
2006,,22875.0,,,,,,37.09999847,,,65.41716155,56.62324113,23.11,,0.384387036,80.98425873,7.2,17312.0,21.5016,,,1.9,,73.5,4.377392083,,,6.986949471,,3.487185012,,20.94268719,12.450564,37.55611015,,48.0,20.4,12.93097331,490.937383,482.3745175,503.931729,92.29929778,,,,,,,,,3.8,,,4.55744195,,,,,,,,,,67.57,,43.99823761
2007,,22705.0,,,,,,40.90000153,,,65.05494528,61.19520605,21.16,,3.648106127,80.34247935,6.5,16556.0,32.449,,,1.7,,73.6,4.319002669,5.658060074,,6.906620301,,3.540478147,,16.47286223,11.12018,35.06968334,,46.6,22.1,12.23902903,,,,92.68972157,,,,,,,,,3.7,,,4.196637056,,,,,,,,,,,,46.94238281
2008,,23021.0,,,,,,44.09999847,,,64.35948755,61.064249,20.79,,2.22065446,79.6846274,5.9,16271.0,40.8648,,,2.0,,74.2,3.924236496,7.24871254,,9.86916289,,3.723106405,,13.98680165,12.180536,34.21150129,,55.1,19.3,9.914984977,,,,89.69312199,,,,,,,,,3.5,,,4.105434531,,,,,,,,,,,,40.73693466
2009,,21705.0,,,,,,55.0,,,63.09087952,,21.79,63.18920135,3.87608807,78.92712338,6.1,15704.0,49.5201,,,1.5,,74.4,3.399735387,6.84671545,,,,4.283736459,,,13.455028,,,55.9,17.6,8.194617173,490.1700275,494.1787533,502.6427483,,,,,,,,,,3.4,,,4.28108046,,15.08333333,,4.2,,,,,,,,37.52272415
2010,24.4022727,21991.0,,,,,,56.79999924,100.0,,62.86090645,51.34639465,21.0,,6.381712252,77.75202185,7.3,15616.0,50.5154,35.37263274,,1.5,40.97106552,74.7,3.250205252,10.30838966,,10.32053411,,5.656328736,,17.34358102,13.34211,43.45851164,,55.0,16.6,7.389415401,,,,88.62397581,,,,,,,,,3.9,,,4.254044444,,,,,,,,,,64.38,,35.90380096
2011,20.94268501,22276.0,,,,,,57.59999847,100.0,,63.41542803,57.04313644,19.99,,6.863905325,78.76503283,7.7,16196.0,59.0572,35.52197814,,1.6,,75.1,3.096114031,10.14098167,,10.56494383,,5.4248386,,24.11242183,14.031835,39.36635439,,55.6,16.4,6.389122389,,,,88.78773505,,,,,,,,,3.9,,,4.099819149,,,,,,,,,,,,33.30764008
2012,22.88547307,21534.0,,,,,58.69330918,58.09999847,100.0,,64.73345147,56.42795222,17.39,,11.33246244,78.92356418,8.5,15749.0,66.259,35.12578607,,1.4,,75.3,2.919041962,11.33490086,,9.35322232,,5.1551635,,23.76349282,14.110998,39.39532478,,57.0,16.4,6.091467666,477.0444549,488.4613339,494.3023521,90.26993189,,,,,,,,,4.2,,,3.763944444,,,,,,,,,,,16.08907282,30.05283737
2013,21.84997499,21311.0,,,,,,54.90000153,100.0,,65.99923686,49.95705311,16.81,,8.723650635,80.11165678,8.6,16065.0,69.1979,33.32274556,,1.2,,75.8,3.211135333,8.9190979,20.48981786,12.19006783,6.112791559,5.099084828,,20.55005625,16.730047,41.48467746,,56.1,16.0,5.964396489,,,,87.17332008,,,,15.52761443,7.591314244,35.18551601,6.343251124,,4.3,,,3.693412281,,,,,,,3.08341658,2.167629973,2.951935358,,19.49466467,27.09280014
2014,20.95829993,21031.0,,,,,,49.5,100.0,32.54,69.64756313,46.96469529,18.65,,3.772605527,81.18848916,8.7,16548.0,72.5026,29.59918678,,0.9,,76.0,3.762585095,6.711744308,,14.92218592,,3.797489769,55870.0,18.6967735,14.218555,47.74986683,,56.9,15.9,6.337722662,,,,81.18581565,,,,,,,,10.3,4.3,,,3.673279661,,,,,,48.47707,,,,61.84,17.23756343,25.62911415
2015,19.40833777,21194.0,,,,,,46.59999847,100.0,,71.68389688,53.19773334,19.78,,9.523809524,81.04341515,8.5,17162.0,74.8645,27.86410153,,1.2,36.41062546,75.7,3.770542704,5.731963158,,13.52734144,,3.198092379,,17.73008424,12.832372,37.87496011,,56.3,15.8,6.534375329,476.8308808,469.5232579,476.7475124,82.23049178,,,,,,,,,4.3,,,3.717213115,,,,,,,,,,,15.50202519,25.22078705
2016,16.57604277,21386.0,,,,,,42.79999924,100.0,,74.13094714,52.08754344,19.55,,9.364317181,80.81923176,7.7,17862.0,78.2128,27.21004486,,1.0,,76.2,3.124354742,3.75631237,,9.963752721,,2.435848121,,18.9334804,11.856912,40.05855255,,59.5,13.3,6.174669917,,,,89.18950578,,,,,,,,,4.3,,,3.733852713,,,,,,,,,,,16.75776392,24.69654083
