year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,41500.0,,,,,,25.0,,,72.15654822,,,,,80.3023478,13.4,23608.0,,,,0.6,,78.6,4.698529305,,,,,1.479479282,,,,8.4715414,,,82.8,3.8,9.283043726,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,
2005,,43043.0,,,,,,24.89999962,63.236,,73.40193511,,,22.90388489,,80.87280852,11.6,24826.0,7.3916,,,0.9,27.56295013,79.0,4.735396727,,,,,1.366260861,16.69376,,,8.6503954,,,82.7,3.7,9.631118436,,,,,,,,,,,,,5.1,,,,,14.540002,,5.832170283,,,,,,,,
2006,,43408.0,,,,,,24.89999962,,,73.95704417,70.69416908,18.09401709,,19.6020196,80.58530326,11.4,25191.0,13.0667,,,0.9,,79.3,4.226448488,,,3.286980024,,1.343840625,,,6.185332813,8.6856546,26.5313247,,83.1,3.2,8.673632822,501.4717711,517.3132382,508.3289299,96.44278608,,,,,,,,,5.0,,,3.592796093,,,,,,,,,,,,
2007,,44661.0,,,,,,21.79999924,,,74.31974357,,,,,79.85616298,9.6,25924.0,31.2158,,,1.0,,79.7,4.028151591,2.073805332,,,,1.465398727,,,,8.9522543,,,84.0,2.6,7.787806691,,,,,,,,,,,,,4.6,,,,,,,,,,,,,67.03,,18.04379082
2008,,46417.0,,,,,,23.60000038,,,73.24692496,67.25975311,,,,79.93329469,9.1,26757.0,42.9403,,,0.9,,80.2,3.71619814,4.288151264,,1.745651985,,1.782995881,,,7.734175873,11.805021,32.00311184,,84.3,2.6,6.258741769,,,,98.12985245,,,,,,,,,4.5,,,,,,,,,,,,,,,17.20046997
2009,,50191.0,,,,,,26.5,,,68.46379678,61.72658887,,,,81.87676197,8.8,26403.0,53.7193,,,1.0,,80.2,3.384929119,4.555066109,,4.129756811,,3.71945315,,,11.76235954,16.180515,34.90038094,,83.1,2.8,5.263947138,487.1363751,495.6391086,507.9841538,95.87024319,,,,,,,,,4.9,,,,,,,,,,,,,,,18.15113449
2010,0.893466081,50350.0,,,,,,33.29999924,44.043,,66.54025192,69.83393538,17.71544715,,14.34586466,82.04868584,9.1,25870.0,57.5191,2.237915061,,0.8,25.340271,80.8,3.699751987,7.003751278,,2.71141073,,7.235173713,,,8.84983955,18.661366,28.58127287,,82.8,3.2,4.659926479,,,,97.28858927,,,,,,,,,4.6,,,3.63514338,,,,,,,,,,,10.16552821,16.24079132
2011,2.873428725,49758.0,,,,,,32.09999847,52.331,,65.60337923,70.1846833,,,,81.09546225,10.0,24246.0,65.4253,1.209135447,,0.6,,80.9,3.93592607,6.884036064,,2.251646547,,9.296449974,,,8.471466317,18.054987,27.63548879,,83.3,2.9,4.069237418,,,,97.27994806,,,,,,,,,4.9,,,,,,,,,,,,,69.9,14.45709765,18.17607307
2012,5.609606206,49401.0,266.54482,255.59041,2.5669806,10.302923,71.08577405,34.20000076,19.156,,65.62876572,73.66062138,,,,80.8835449,9.4,24268.0,65.4427,1.618097536,27.49401734,0.8,,80.9,4.173730782,6.205116749,,3.821410318,,9.736834898,,,10.87438574,17.751419,25.73155198,58.52469227,82.8,3.0,3.556849696,501.4974602,523.1732101,522.0039603,96.17858968,,,,,,,,,4.8,1.559458613,1.68250823,,,,,,,,,,,,18.36965531,16.45554543
2013,3.624374047,48266.0,,,,,,36.79999924,6.197,46.75,67.45419355,71.68580401,,,,80.1930617,9.5,23749.0,66.9965,1.662352681,,0.6,,81.0,4.196151841,4.822497845,7.925684005,4.475074232,7.439511348,8.493483917,,103979.0,11.65849188,16.211721,27.08746792,,82.0,3.7,4.094890818,,,,95.38891983,,,,5.489383273,8.616989037,28.63466417,6.908796006,,4.9,,,,,,,,,53.7924,2.3,1.646074643,3.231937325,,13.63382936,15.83862591
