year,AAGE,ALS,ANS,AWLLS,AWLNS,Difficulty making ends meet,EAP,ER,FSAN,FTUELT,GWG,HDBRIP,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,VT,SADdeaths
2004,33489.0,,,,,,,67.44539325,,23.19639424,25.01352814,,,3.7,,80.3,21.87825531,,,,,3.16338131,,32.990765,,,76.8,23.2,7.350800582,,,,,,,,,,,,,4.827427254,,,,,,,10.92942905
2005,33598.0,,,,,,99.999,68.2694541,,22.98169738,21.92439863,,,3.3,35.77321625,80.3,21.8163881,,,,,2.89868474,,33.954201,,,77.3,22.7,6.70995671,,,,,,,,,,,,,4.826693227,,,,,,,11.53679752
2006,34541.0,,,,,,,69.32801229,76.67691946,22.49904805,21.95521573,,,3.4,,80.7,21.72374507,,,7.204222095,,2.943796091,19.16538905,33.26614,20.71462451,,78.9,21.1,6.223419337,441.8587278,438.6722748,453.9037081,91.59049502,,,,,,,,,4.7970531,,,,,,63.55,10.38714504
2007,34879.0,,,,,,,70.85728588,65.69338475,22.26999068,20.40924794,,,2.2,,80.7,22.76085556,8.195001602,,12.90095166,,2.344610317,18.24773275,32.620743,30.93100235,,79.1,20.9,5.728879072,,,,84.9943195,,,,,,,,,4.901378006,,,,,,,10.23105907
2008,34129.0,,,,,,,71.77519355,72.41404122,21.36070223,22.05882353,,,2.1,,81.1,21.04741667,7.089602947,,13.9528837,,1.765227017,19.30611507,29.652491,25.07627361,,79.7,20.3,5.924203037,,,,85.18944897,,,,,,,,,4.876450864,,,,,,,9.827079773
2009,33299.0,,,,,,,70.82432822,70.29241625,22.15229026,21.13599802,,,2.1,,81.5,18.60108227,8.507486343,,6.296296005,,1.948287843,18.78956246,30.828192,26.96702594,,79.8,20.2,4.622516733,446.8637639,473.9899506,454.8509632,92.9721169,,,,,,,,,4.831469243,,,,,,64.72,10.99715996
2010,33256.0,,,,,,99.999,71.87121844,58.63482158,21.43336842,20.39157739,,,2.1,,81.7,18.92264684,6.063438416,,11.53090687,,1.921386478,19.7430627,30.469543,38.30273555,,81.1,18.9,4.919400542,,,,86.04794737,,,,,,,,,4.748005982,,,,,,,10.76822472
2011,33570.0,,,,,,99.999,72.86160123,61.39070375,22.45438091,19.65966691,18.1,,2.3,,81.8,17.58133907,4.898605347,,10.66908602,,1.463299583,20.13705586,30.829447,37.55626333,,81.5,18.5,4.918623815,,,,88.76003289,,,,,,7.3,,,4.779368213,,,,,,,10.66798115
2012,34140.0,,,,,,99.999,74.03659256,63.30958271,21.82959685,20.0,18.4,,1.8,,81.8,18.77487775,5.375042915,,9.560306381,,0.923092787,17.80038912,14.650268,35.9178534,,83.5,16.5,3.666106216,466.4814304,485.8032126,470.0726628,89.42357451,,,,,,7.5,,,5.168358914,,,,,,,10.46763039
2013,34273.0,,,,,,99.999,74.51832185,70.0314286,22.21455225,20.34590182,18.6,,1.8,,82.1,16.03494815,4.99774456,,9.097957022,,0.805101938,22.00217215,13.502465,28.53952512,,80.0,20.0,3.834079883,,,,90.35049896,,,,,,7.6,,,4.840027076,,,,,,67.77,8.922305107
