year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,41244.0,,,,,,34.20000076,,,63.26395421,,,,,79.97644831,12.2,28767.0,,,,1.0,,80.9,5.705778311,,,,,3.964924877,,,,17.698832,,,57.4,10.6,10.64771575,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,17.91517448
2005,,41793.0,,,,,,34.79999924,98.588,,63.42923455,,,,,79.71536775,12.6,28784.0,12.9499,,,0.9,35.63414001,80.9,5.461195505,,,,,3.894075574,,,,17.976723,,,58.1,9.9,10.05274269,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,17.15320015
2006,,42052.0,,,,,,35.70000076,,,64.40318228,66.41770067,8.180555556,,10.51282051,79.61788027,12.3,28925.0,16.2239,,,0.9,,81.4,5.848673397,,,7.086111929,,3.400965405,,,20.29651212,17.556297,28.87756943,,56.8,10.6,9.76332858,461.6887208,468.5231087,475.3972205,91.33304195,,,,,,,,,5.5,,,2.657097289,,,,,,,,,,83.62,,16.36078453
2007,,42038.0,,,,,,37.70000076,,,64.76171196,53.62125805,,,,79.59479128,11.9,29113.0,25.2983,,,0.9,,81.6,5.383785547,4.925855637,,8.660097858,,2.926038354,,,17.27999721,16.576384,39.03455113,,63.4,11.0,8.812555922,,,,90.07818223,,,,,,,,,5.2,,,,,,,,,,,,,,,16.193573
2008,,41985.0,,,,,,38.90000153,,,64.89058423,56.80089117,,,,79.23941004,11.9,28480.0,30.788,,,0.8,,81.7,5.345619223,5.844141483,,11.82521193,,3.112464041,,,17.79277122,15.927045,38.9492836,,63.4,11.2,8.055871089,,,,86.44233367,,,,,,,,,5.3,,,,,16.5977,,7.933,,,,,,80.54,,16.24826241
2009,,42306.0,,,,,,37.29999924,,,63.87772266,60.72439102,,,,78.64993477,12.0,27819.0,39.0042,,,0.8,,81.8,4.639201741,6.693411827,,11.78663504,,3.502524016,,,12.69607651,18.126347,30.94245235,,63.5,10.9,7.181284606,482.9084804,486.0510988,488.8313627,86.6917793,,,,,,,,,5.3,,,,,,,,,,,,,,,15.76015472
2010,0.402244134,42669.0,,,,,,37.70000076,98.465,,63.36730111,58.54319322,8.144927536,,5.640535373,77.97456819,13.4,27312.0,48.8642,15.22555202,,0.7,33.96680069,82.2,4.605493888,6.380475998,,12.57758066,,4.108070757,,261604.0,15.0720636,19.963196,33.60608125,,66.4,9.5,6.950481603,,,,85.98052866,,,,,,,,,5.8,,,2.642909625,,,,,,44.847591,,,,,17.5418213,15.06544781
2011,0.761884404,41981.0,,,,,,38.0,98.743,,63.58330872,52.49660197,,,,77.80579133,12.8,27041.0,51.6696,16.72141701,,0.8,,82.4,4.028341117,7.699382305,,8.589818466,,4.404828478,,,15.34310165,20.136906,42.86683032,,64.5,13.1,6.502181684,,,,90.49604879,,,,,,,,,5.7,,,,,,,,,,,,,,19.80178058,13.63505459
2012,0.544208661,40655.0,250.48266,247.12892,6.345962,10.344096,61.94855829,40.09999847,97.824,,63.54283286,65.90536731,,,,76.91794396,13.0,25619.0,55.07,17.46809185,17.37791667,0.8,,82.4,3.701627154,7.895365238,,12.90406389,,5.744112716,,,21.47165307,22.118876,31.16656852,65.3532618,68.0,12.6,6.318798061,485.3211812,489.7544033,493.5414829,85.96752987,,,,,,,,,5.9,1.591334105,1.690497041,,,,,,,,,,,,21.18894756,13.4055481
2013,1.27690956,40784.0,,,,,,41.5,96.764,,62.63542596,62.1398606,,88.98597717,,76.88859227,13.3,25416.0,67.8282,18.54465306,,0.7,,82.9,3.660154719,11.32895756,10.56970432,8.337574755,6.7,7.022942828,14.39044,,11.23259461,22.908495,34.51845888,,66.2,12.5,5.698227469,,,,91.2703513,,,,11.80985728,7.324693772,27.98561998,6.419143589,,5.8,,,,,16.469144,,7.4504759,,,2.499281911,1.96699963,2.7770468,75.19,22.68376052,12.85183144
2014,0.621261168,40940.0,,,,,,40.20000076,95.93,26.87,62.91678714,57.58865285,4.64957265,,6.584723442,77.22132048,13.7,25541.0,71.0569,18.57835054,,0.6,,83.2,3.833800992,11.3014307,,10.19553794,,7.919749643,,206400.0,20.49127688,23.546589,39.49422012,,67.9,12.0,5.562440925,,,,89.66218476,,,,,,,,4.3,5.9,,,2.593648736,,,,,,42.805099,,,,,19.54847723,12.39669514
2015,0.681226328,41300.0,,,,,,37.90000153,96.915,,63.58333386,59.31791455,,,,77.10079996,14.4,25834.0,74.2845,18.95308048,,0.6,29.5946312,82.7,3.967613891,8.225726128,,9.079200902,,7.129159317,,,18.97500682,23.05364,40.11649208,,65.6,12.4,5.638564836,489.7287308,484.7579961,480.5467624,90.67744115,,,,,,,,,6.3,,,,,,,,,,,,,,19.50213015,11.83621979
2016,0.343488762,41629.0,,,,,,33.29999924,91.645,36.19,64.4991485,57.95119458,,,,77.31263747,13.7,26167.0,77.1387,18.73464435,,0.6,,83.4,3.922633158,8.63084507,,7.231097856,,6.935851503,,185815.0,19.68680496,21.099983,41.27697742,,70.9,7.7,5.411637982,,,,92.11468099,,,,,,,,,5.9,,,,,,,,,43.379459,,,,,18.62766892,11.953578
2017,1.049371436,41355.0,,,,,,28.10000038,91.945,,65.26991474,57.95420814,,,,77.44824866,13.9,26462.0,79.464,18.60891432,,0.5,,83.1,4.124840882,,,7.999993905,,6.717726754,,,22.73555808,20.306906,40.56690718,,77.0,5.8,5.575228491,,,,91.7396229,,,,,,,,,6.1,,,,,,,,,,,,,,19.50409561,11.8105526
2018,0.788769126,41415.0,,,,,61.23115296,30.29999924,92.92,,65.84731231,63.71037179,3.711711712,,5.708061002,77.48892092,14.2,26747.0,82.8034,18.93160641,,,,83.4,4.144048493,,7.983132452,8.677871007,7.074031061,6.389824378,,,29.52803927,19.678982,33.82807051,,73.3,6.8,5.512204035,486.5898573,476.2846793,468.0117273,90.67507587,13.76783994,13.76783994,13.76783994,9.268423564,7.551441569,23.0535346,6.662288356,,6.0,,,2.573125,1.664736629,,1.733297348,,1.674997211,,2.16803912,1.876544754,2.334666436,72.93,18.012169,
2019,1.308520325,41625.0,,,,,,22.89999962,91.421,,66.35367398,68.32909014,4.888247318,,7.64015246,77.49958495,13.6,26830.0,83.722,19.44027692,,,,83.6,3.829603969,,,16.02807841,,5.847439722,,,21.50349846,19.714653,30.00909039,,72.8,7.0,5.256832117,,,,83.15709168,,,,,,,,4.2,5.8,,,2.74782082,,,,,,,,,,,20.63586414,
2020,,39208.0,,,,,,23.79999924,,,65.56720138,72.81596821,,,,77.71481418,13.5,26360.0,86.7515,,,,,82.3,3.328467021,,,11.00054797,,4.976520026,,,16.58615215,19.114475,26.28767721,,,,4.015661045,,,,88.844737,,,,,,,,,5.9,,,,,,,,,,,,,,,
2021,,40767.0,,,,,,24.29999924,,,65.62246391,68.71655065,,,,77.34702318,,27150.0,88.4877,,,,,82.9,4.355298764,,6.660684943,11.44663831,7.2,5.626928245,,,13.84358348,21.426189,29.81264796,,,,4.853450034,,,,88.55336169,,,,,,,,,,,,,,,,,,,2.022845745,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.351504121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
