year,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,VT,hco,SADdeaths
2004,38314.0,,,,,,,74.63151927,,14.29896229,,31.08739159,78.88639322,,26350.0,,,,0.5,,82.1,,,,,1.652635307,,,,,,38.7,12.9,6.713291095,,,,,,,,,,,2.942822384,,,,,,,,,28.57215881
2005,39299.0,,,,,88.925,,75.01420455,,16.09796254,,32.82543889,78.58860525,,26822.0,42.1,,,0.5,37.84634399,82.0,,,,,1.540297258,,,8.6664915,,,,,6.259000689,,,,,,,,,,,3.11969601,,,,,,,67.46,,28.77315903
2006,39276.0,,,,,,,75.62437562,60.33433415,16.06765524,,32.98083278,78.47603759,,27196.0,40.7,,,0.5,,82.4,,,7.211687117,,1.412621682,,6.693404104,8.4224176,36.8162428,,,,5.741566878,523.1025152,497.9570687,531.3885091,92.55156982,,,,,,,3.107526882,,,,,,,,,27.91569328
2007,39171.0,,,,,,,76.37331032,64.68804809,15.42304779,,31.7423231,78.48886257,,27505.0,51.7,,,0.4,,82.6,3.339304686,,6.165288092,,1.29565233,,8.688873239,8.269598,32.4609536,,32.7,14.1,5.239843157,,,,93.51287898,,,,,,,3.064576803,,,,,,,,,28.26047325
2008,38856.0,,,,,,,76.38888889,66.39140761,15.02022435,,30.69439785,78.027628,,27234.0,58.5,,,0.4,,82.7,3.771138668,,11.18258349,,1.386149504,,7.352574082,7.5951519,30.91905381,,,,4.760674122,,,,88.0453447,,,,,,,3.001246106,,,,,,,,,27.74771118
2009,38300.0,,,,,,,75.76552931,72.75579726,14.6503615,,28.28492393,77.99568821,,27432.0,63.4,,,0.4,,83.0,4.690282345,,11.14339524,,1.503194616,,7.189785405,8.7537937,26.83948716,,,,4.580032939,528.9930929,519.8577224,539.4309934,88.66922476,,,,,,,2.994314593,,,,,,,69.27,,27.90066147
2010,38421.0,,,,,87.379,,75.91508053,67.07401866,14.48077691,,28.68430093,77.79312257,,27832.0,63.4,1.737921499,,0.3,,82.9,4.44837904,,9.750686497,,1.989956676,,5.091756893,8.3876295,29.93682805,,30.0,13.2,4.5510628,,,,89.66994374,,,,,,,2.959476309,,,,,,,,20.80000043,26.69711494
2011,39037.0,,,,,93.568,,76.04597701,68.64814418,14.40317793,,27.39536493,77.89453701,,27969.0,65.11444304,,,0.3,,82.7,3.913952112,,8.291412231,,1.873005825,,6.525169097,8.3214922,28.65869335,,,,4.331019805,,,,91.24977133,,,,,,,2.973175296,,14.2,,2.216666667,,,,,26.16555405
2012,38388.0,296.24225,288.17036,0.9367187,4.2183044,94.9,,76.38848075,76.58817612,14.29382256,,26.52354571,77.75213261,,28368.0,,1.487462781,25.94172314,0.3,,83.2,3.751713037,,9.422158591,,1.75451224,,5.906970726,7.895412,21.36759402,51.48085486,,,4.125789123,536.4069186,538.0514848,546.7356006,90.06786206,,,,,1.409384251,1.47498548,2.986292835,,,,,,,59.32,17.48768538,24.03923416
2013,38418.0,,,,,95.818,,77.54370238,68.97007338,14.22755964,,26.58757851,77.40900052,,28557.0,,,,0.3,,83.4,3.383338928,,7.52700754,,1.753040005,,6.196122791,7.3941455,25.90060162,,35.4,14.5,4.057440474,,,,91.10808817,,,,,,,2.956901936,,,,,,,,,23.41505623
2014,37726.0,,,,,98.887,13.566,78.66038882,68.4791295,13.90817339,,25.87099,77.29075775,,28198.0,,1.596009918,,0.3,,83.7,3.075248241,,9.833259626,,1.414749377,175802.0,9.806449482,6.7143769,27.11704528,,,,3.806960805,,,,88.53903185,,,,,,,2.944751381,,,,,,41.01643,52.66,19.69697028,22.17346191
2015,37542.0,,,,,97.196,,79.4081381,70.24105267,13.4636704,,25.73179033,78.08828643,,28544.0,,,,0.2,31.16104317,83.9,2.934065819,,7.627730088,,1.249724581,,7.542305695,,26.5219634,,,,3.843581573,532.4398722,515.9584799,538.3947511,90.99464792,,,,,,,2.939156627,,,,,,,,,20.88548851
2016,38056.0,,,,,98.283,,80.41816196,72.96943542,12.65480181,5.82477951,24.60128945,78.61162125,,28991.0,,1.895462349,,0.2,,84.1,2.679388285,,9.963031311,,1.293094664,,9.834839964,6.7443795,24.448385,,35.5,14.1,3.701165182,,,,89.44248505,,,,,,,2.846017699,,14.1,,1.983333333,,,,17.16417968,19.41208839
2017,38151.0,,,,,98.169,,81.53195489,74.22482428,12.32260569,,24.51809266,78.63417501,,29238.0,,,,0.2,,84.2,,,11.75986025,,1.083389367,,8.297724869,6.5778518,22.30124727,,,,3.497071962,,,,87.86727745,,,,,,,2.832648268,,,,,,,,,19.65139771
2018,38584.0,,,,,97.657,,82.79077118,75.72613679,12.11539694,,23.53736896,78.7651372,15.7,29468.0,,1.643835567,,0.2,,84.3,,,11.24329472,,0.820949987,,8.010145744,5.2412643,20.63030317,,,,3.29476523,526.9732502,503.856041,529.1354334,87.75721756,6.421718707,6.421718707,6.421718707,6.2,,,2.817811409,1.542820215,,1.674417615,,1.594883084,,,19.17808205,19.02285194
2019,39077.0,,,,,97.646,21.5,83.4631897,73.34800999,11.78712795,,23.48001344,79.23151323,,29915.0,,1.5048909,,0.2,,84.4,,24.70611095,12.18195988,5.78,0.794615223,125272.0,8.8446935,5.6856189,23.06550296,,36.6,13.6,3.106993112,,,,87.38529813,,,,,,,2.784606548,,,,,,47.30085,,16.39344245,18.86360931
2020,38850.0,,,,,,,83.26139089,76.75084118,10.88446642,,22.51856854,80.05493257,,31100.0,,1.648804545,,,,84.7,,23.95379663,11.26574333,5.83,0.8299058,,7.574827427,,20.71908159,,,,2.707951834,,,,88.65135962,,,,,,,2.744172825,,,,,,,,18.95424873,
2021,39711.0,,,,,,,83.62027353,75.60477838,10.66099698,,22.11376641,,,30513.0,,,,,,,,25.58272831,10.37960388,5.74,1.063386554,,9.421681954,6.4047823,21.15503546,,,,2.553744163,,,,89.1731767,,,,,,,2.700056275,,,,,,,55.97,,
2022,,,,,,,,,77.5144683,,,,,,,,,,,,,,25.05879033,10.07204338,5.76,,,,,18.24210192,,,,2.57389133,,,,89.30671397,,,,,,,,,,,,,,,,
