year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,63659.0,,6.699999809,,,70.35342938,,,,,77.53755227,,39289.0,,,0.5,,79.2,0.836438074,,,,,1.075273405,,,,,72.3,9.7,10.98997714,,,,,,,,,,,,,,,,,,,,,,,91.68,,22.19705582
2005,,63966.0,,6.300000191,96.464,,71.54173998,,,,,77.63315389,,38465.0,33.4079,,1.6,29.09391975,79.6,1.340743125,,,,,1.188746524,,,5.7024097,,73.6,7.9,10.19014375,,,,,,,,,,,,,,,,,,,,,,,,,20.8692646
2006,,64851.0,,5.5,,,71.86206922,,14.48611111,,7.668067227,77.62340236,,39000.0,44.0873,,1.4,,79.4,0.475799047,,,,,1.399324435,,,,,74.2,7.3,9.166762598,490.0018404,479.3665416,486.324363,,,,,,,,,,,3.217919075,,,,,,,,,,,25.16570282
2007,,66607.0,,6.599999905,,,72.73987548,,,,,77.67033684,,39481.0,57.7708,,1.3,,79.5,0.009472559,1.317979813,,,,1.166755904,,,,,74.4,7.1,9.450068986,,,,,,,,,,,,,,,,,,,,,,,,,29.61299324
2008,,66260.0,,7.300000191,,,71.51307082,76.26302052,,,,77.45358134,,39714.0,61.0076,,1.0,,80.7,0.091676488,1.549550295,,6.126758623,,1.638249622,,11.94971658,,21.58628312,74.0,7.7,7.234409331,,,,93.59156507,,,,,,,,,,,,,,,,,,,,,18.50109673
2009,,68324.0,,7.599999905,,,73.17442454,,,,,77.88248182,,40685.0,71.081,,1.0,,80.8,3.545353698,1.513339996,,,,1.19064153,,,,,73.9,8.4,9.726443769,489.0672633,472.1733867,483.9284208,,,,,,,,,,,,,,,,,,,,90.93,,16.32949829
2010,0.0,68364.0,,8.300000191,98.956,,74.22246424,75.00434622,14.67901235,,4.592164419,77.7706406,,40714.0,70.3294,7.774531096,2.2,29.87736702,80.8,3.705936245,1.407916427,,4.74896906,,1.288105683,,10.01439795,6.884923,22.95104112,75.3,8.0,6.37366402,,,,94.96006813,,,,,,,,,,3.354787234,,,,,,,,,,16.50385261,18.77222824
2011,1.048370544,68750.0,,9.300000191,98.956,,73.74988528,76.58932018,,,,77.85025499,,40556.0,67.7389,6.575772911,0.4,,81.1,2.620125841,1.546195865,,6.570659162,,1.421670361,464868.0,9.396910536,,19.95930975,72.5,7.9,6.44732729,,,,93.12168178,,,,,,,,,,,,,,,51.288078,,,,,14.83249515,17.84090233
2012,0.182713056,68035.0,83.55596843,10.19999981,89.175,,74.9601687,73.32809301,,,,77.98394461,,40821.0,67.8661,6.620717049,0.2,,81.5,3.177391493,1.693672657,,8.535024491,,1.572132351,,11.18656762,6.5756407,23.26870084,73.8,7.4,6.478004317,489.8450977,487.8070426,491.2151762,90.60302978,,,,,,,,,,,,,3.85,,,,,,,18.75468791,17.68758774
2013,0.0,68853.0,,13.39999962,93.062,,74.6474745,59.15166939,,,,78.57999274,,41770.0,69.8795,5.849964917,0.2,,81.9,3.467414759,1.955757618,5.711389706,8.019547637,7.5,1.798927754,,15.62960758,5.7979479,34.20173374,71.9,8.3,8.379279717,,,,88.23421622,,,,8.727188241,8.008965802,22.46753847,7.198237417,,,,,,,,,2.067625031,1.7977744,2.663912096,91.15,17.31579155,14.7923069
