year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,57436.0,,,,,,,,,72.67263358,,,,,81.31447734,,27930.0,,,,1.2,,79.3,0.669746175,,,,,1.941561936,,,,5.7204533,,,,,4.945247986,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25170708
2005,,57435.0,,,,,,16.89999962,99.981,,73.20662322,,,,,80.85348189,,27888.0,53.8705,,,1.1,27.76188087,79.6,0.627433778,,,,,2.371563833,,,,5.5198283,,,76.3,5.2,4.599667622,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7183342
2006,,57310.0,,,,,,14.0,,,74.16797734,73.39075905,9.303921569,,15.98246313,81.2665403,,28982.0,66.166,,,0.8,,80.0,0.669938692,,,5.237234758,,2.162400745,,,6.380089025,4.0748897,23.17136124,,76.8,5.2,4.46914788,530.6540464,506.746971,524.8615063,94.25042217,,,,,,,,,,,,2.865267434,,,,,,,,,,80.35,,12.12566376
2007,,58109.0,,,,,,10.39999962,,,75.86486654,73.43886554,,,,81.5460141,,29533.0,73.7695,,,0.9,,80.4,0.652176485,1.994587898,,5.569003548,,1.653262872,,,9.77060975,5.2568974,22.38901495,,76.3,4.9,4.334272813,,,,93.61910807,,,,,,,,,,,,,,,,,,,,,,,,11.16308975
2008,,58462.0,,,,,,11.0,,,77.45650804,73.87616754,,,,81.47708155,,29908.0,73.9709,,,0.9,,80.5,0.602972981,2.163608313,,5.544369136,,1.261763563,,,9.194326574,3.814002,22.42752436,,77.3,5.3,4.126690244,,,,93.82112524,,,,,,,,,,,,,,,,,,,,,,,,11.71389389
2009,,60920.0,,,,,,10.19999981,,,77.42840583,,,,,81.66064914,,30372.0,76.9742,,,0.9,,80.9,0.616652032,2.941741467,,,,1.088853941,,,,5.7242746,,,77.6,4.8,3.906395248,525.8356884,508.4037229,522.2181283,,,,,,,,,,,,,,,,,,,,,,,,,12.41892242
2010,0.0,60861.0,,,,,,12.10000038,99.978,,76.93783604,72.19002268,7.847222222,,17.88914703,81.56214735,,30335.0,79.5136,2.118424326,,0.9,22.8036499,81.0,0.684911726,2.750189304,,4.307955903,,1.388193978,,,7.813579954,5.2388291,25.05661751,,78.0,5.0,3.239821155,,,,94.80951584,,,,,,,,,,,,2.866440294,,,,,,,,,,75.4,11.66800484,12.1582346
2011,0.0,60589.0,,,,,,12.5,99.981,,77.03395375,79.01996413,,,,81.66794756,7.2,30409.0,82.9317,1.778882183,,0.9,,81.3,0.657096012,2.931054115,,6.135961752,,1.663024042,,42638.0,6.461966587,5.1741805,16.86347898,,76.3,5.7,3.278137542,,,,93.46748754,,,,,,,,,4.4,,,,,,,,,62.414532,,,,,12.98713088,12.78519154
2012,0.217379932,60792.0,284.00687,280.34608,2.3905582,3.9102231,77.82013496,12.69999981,99.945,,77.35663575,77.25281143,,,,81.27436399,7.4,30160.0,84.4626,2.760278061,39.21688898,0.9,,81.2,0.59155617,3.798223972,,6.097488089,,1.968129024,,,7.398044857,4.8124204,18.55483122,38.64731159,75.6,5.8,3.359165034,522.9717582,511.2299654,522.0558228,93.67269742,,,,,,,,,4.4,1.554315567,1.58302319,,,,,,,,,,,74.56,13.68186027,13.28780174
2013,0.0,60972.0,,,,,,15.5,99.795,,76.64706175,80.46945078,,,,80.81853429,7.8,29792.0,86.9064,3.09864562,,0.8,,81.4,0.447264072,4.600758076,2.458803356,7.47471096,7.802276058,2.603010988,,,7.897606973,6.8560939,17.46759643,,75.6,5.3,2.836782219,,,,91.79819021,,,,2.773911314,8.233744283,4.591988868,7.612960938,,4.3,,,,,,,,,,1.584092819,1.518739397,1.563161914,,15.32020867,13.75075912
