year,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,VT,SADdeaths
2004,36540.0,,,,,,,77.84349062,,13.16200699,,8.076699593,73.80020894,,20601.0,,,,1.1,,79.6,15.47501852,,,,,0.476038904,,,10.741952,,,,,10.73627185,,,,,,,,,,,2.788571429,,,,,,,,,15.49643135
2005,37158.0,,,,,0.0,,79.1680288,,12.43929872,,9.611111111,73.7043861,,21034.0,,,,1.7,24.75274658,79.8,15.56779811,,,,,0.380751562,,,10.482501,,,,,9.797138752,,,,,,,,,,,2.771818182,,,,,,,,80.29,15.61956882
2006,37385.0,,,,,,,79.40254402,66.09606309,14.61223605,,9.333333333,73.87010735,13.9,21698.0,33.0,,,1.5,,80.1,14.81695346,,,5.386425615,,0.29930563,,7.708879456,10.229365,29.95972655,,,,9.492753623,521.9888485,521.0326451,530.3843608,94.44999924,,,,5.8,,,2.844444444,,,,,,,,,15.23433304
2007,39570.0,,,,,,,79.8375315,55.0465792,13.44092008,,7.142857143,74.48710385,14.2,22805.0,,,,1.3,,80.3,14.55649509,3.250448704,,3.34672526,,0.223915472,,9.094751762,10.386195,43.27715121,,89.7,1.9,9.967186412,,,,96.65327474,,,,5.9,,,2.916666667,,,,,,,,,15.21936035
2008,39110.0,,,,,,,79.69251639,57.13853614,12.53418077,,8.053691275,73.96279753,13.6,22210.0,,,,1.2,,80.5,13.98669023,3.389422894,,5.556941815,,0.184737408,,10.84939679,10.384741,39.1978826,,,,8.592053524,,,,94.16321711,,,,5.7,,,2.905982906,,,,,,,,79.46,15.29826927
2009,39588.0,,,,,,,78.69660717,,12.87324359,-7.0,8.759124088,74.45878304,14.2,22708.0,63.0,,,1.9,,80.7,13.24525937,5.23275423,,,,0.404141014,,,13.401064,,,,,8.924856889,519.3008723,520.8800087,532.0069012,,,,,5.8,,,2.841363973,,14.86666667,,7.816666667,,,,,15.10600567
2010,40022.0,,,,,0.178,,78.43581902,62.09907129,12.72185373,,7.011235955,74.49277393,13.0,23028.0,,,,1.2,,80.8,13.5857208,5.601137638,,2.423584656,,0.598889289,,11.4722602,13.123318,34.64104367,,,,8.619500759,,,,97.07582946,,,,5.9,,,2.841269841,,,,,,,,,15.69325924
2011,39992.0,,,,,0.0,,78.92078672,66.66298788,13.69347462,,4.533333333,74.84427146,13.7,23701.0,,,,1.2,,81.0,13.06509955,5.591565609,,4.624521911,,0.598523402,,9.678794756,12.58434,29.97121912,,,,6.47810219,,,,95.14911843,,,,5.8,,,2.911428571,,,,,,,,74.21,14.50452805
2012,40855.0,,,,,0.0,,78.40435855,63.59092758,13.55530034,,5.907906169,74.34418211,14.9,23911.0,75.0,,,1.3,,81.2,13.07448488,5.885301113,,6.961233663,,0.95734422,,9.21931305,12.92549,31.98990892,,89.2,2.5,6.987137315,499.7499029,512.1867933,515.6363193,92.52566956,,,,6.0,,,2.921745152,,,,,,,,,15.60128117
2013,40308.0,,,,,0.178,,79.24936004,66.55840632,14.08030591,,6.594323873,73.94313662,14.1,24206.0,,1.350332013,,1.2,,81.4,13.94914985,5.332859516,,4.17980262,,0.742320561,,7.465663038,11.789773,31.5119137,,89.5,2.3,5.695504379,,,,95.70425683,,,,6.1,,,2.925423729,,,,,,,,,14.64575291
