year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,44067.0,,,,,,8.399999619,,,79.48739241,,,8.449669361,81.71547212,6.9,28125.0,,,,0.9,,80.1,2.965088474,,,,,0.769589602,,,,6.2705932,,,73.9,8.5,5.636317283,,,,,,,,,,,,,4.1,,,2.098236776,,,,,,,,,,,,18.04286003
2005,,45340.0,,,,,,8.699999809,16.559,,79.40749762,,,8.624376336,82.38627367,,29972.0,41.4356,,,0.7,21.79580116,80.3,3.133586651,,,,,0.827766291,,,,5.9246869,,,77.0,6.7,4.841129542,,,,,,,,,,,,,,,,2.11805214,,,,,,,,,,77.44,,16.9358139
2006,,47150.0,,,,,,8.199999809,,,80.63482935,85.197134,,8.210742388,80.6684367,,28336.0,57.0696,,,1.0,,80.6,3.423227322,,,4.085544059,,0.798230507,,,7.813910455,6.1161022,12.47215475,,74.4,9.4,5.21527109,489.8463532,484.292563,486.5279575,94.3880486,,,,,,,,,,,,2.14487966,,,,,,,,,,,,17.71582794
2007,,49244.0,,,,,,5.900000095,,,81.99019787,,,8.789439794,81.36409223,,29435.0,66.7168,,,0.7,,80.6,3.474072506,1.562341094,,,,0.46483373,,,,6.0851927,,,76.4,8.4,4.97742641,,,,,,,,,,,,,,,,2.199275362,,,,,,,,,,,,16.90115166
2008,,50279.0,,,,,,6.800000191,,,82.78982047,81.42632408,,8.757575758,81.44372306,7.8,29932.0,72.9765,,,0.6,,80.8,3.26813025,1.888561964,,6.378616309,,0.34138105,,,8.193340822,5.443748,14.92188389,,76.6,7.9,5.382959577,,,,93.09908218,,,,,,,,,3.7,,,2.1915988,,,,,,,,,,,,17.26745415
2009,,50804.0,,,,,,7.300000191,,,82.06288165,,,8.284371328,82.03687837,7.5,30777.0,77.7683,,,0.7,,81.0,3.013359394,1.525543809,,,,0.519688344,,,,6.6946959,,,76.5,7.4,4.417355038,497.955693,503.2300204,499.8756998,,,,,,,,,,3.6,,,2.227083333,,,,,,,,,,76.37,,18.45557022
2010,0.0,51471.0,,,,,,6.0,20.056,,81.05737635,,-23.68139648,7.236095346,81.26271982,7.5,31213.0,82.5727,6.053862721,,0.7,17.04561043,81.2,2.667761,1.660885453,,,,0.739777999,12.90004,,,6.2203979,,,76.7,7.8,4.281421984,,,,,,,,,,,,,3.7,,,2.224849699,,15.665229,,6.6570865,,,,,,,11.33518517,17.93738174
2011,3.450427204,53280.0,,,,,,7.199999809,30.622,,81.26541517,,,7.144812483,82.04112754,7.7,31861.0,80.3452,6.115240604,,2.2,,81.4,2.891956356,1.616603494,,,,0.782633866,,,,6.8104777,,,73.2,8.5,3.41442248,,,,,,,,,,,,,3.7,,,2.268901013,,,,,,,,,,,12.08545044,16.97134018
2012,0.0,54732.0,278.42521,278.29787,2.2860016,4.5996486,66.20989174,6.400000095,6.3,,81.54715432,86.76629897,,5.792118487,82.35972272,8.1,32634.0,85.8066,6.065390632,47.94265336,0.6,,81.5,3.070215627,1.821617961,,5.126038905,,0.638294131,,114516.0,6.798021075,6.8955045,10.82238214,34.70374235,78.7,6.3,2.908218626,489.3730704,503.9366858,494.5239355,92.80643466,,,,,,,,,3.8,1.528625488,1.628696561,2.278769464,,,,,,50.09338,,,,,12.48392686,15.59518909
2013,0.0,55852.0,,,,,,6.599999905,5.232,,81.20405131,,,6.597045339,82.28411264,7.8,33276.0,87.8282,7.076738775,,1.0,,81.8,2.761274126,2.086334705,3.657158837,,7.885605387,0.735024005,,,,7.3082705,,,76.0,7.9,3.702035625,,,,,,,,5.057394776,8.438529363,23.91122977,7.19456032,,3.8,,,2.302530253,,,,,,,1.840613295,1.631821884,2.583804358,78.23,11.62083745,15.84917068
