year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,22774.0,,,,,,,,,60.79941689,,22.2,,10.63884891,78.77590398,,13884.0,,,,1.5,,74.9,10.04660183,,,,,9.240559417,,,14.650354,,,,,14.95655686,,,,,,,,,,,,,,,,4.110746915,,,,,,,,,,,,28.44589043
2005,,22731.0,,,,,,51.5,99.995,,61.71203264,,,,,77.87967151,12.4,14047.0,15.5868,,,1.5,39.0535202,75.0,9.97538121,,,,,9.405812796,,,12.234298,,,54.3,18.7,14.26107699,,,,,,,,,,,,,5.5,,,,,,,,,,,,,50.99,,28.87220764
2006,,22880.0,,,,,,46.90000153,,,63.11662091,67.60707944,23.45134596,,11.44042048,78.10255425,11.0,14748.0,21.642,,,1.5,,75.3,9.24753804,,,7.635252472,,7.078314065,,21.75263718,12.69468,28.19459473,,54.5,17.4,13.74057825,495.4284969,507.6395273,497.8065023,89.66332952,,,,,,,,,5.1,,,4.316651772,,,,,,,,,,,,27.63107491
2007,,23616.0,,,,,,40.20000076,,,65.5219634,59.95710134,,,,78.21357435,9.6,15415.0,29.5569,,,1.4,,75.4,9.057396374,6.5801754,,8.545983124,,4.456737873,,14.42363937,10.890779,34.91395859,,56.8,16.9,14.64375044,,,,89.27852423,,,,,,,,,5.0,,,,,,,,,,,,,,,26.07896996
2008,,24875.0,,,,,,35.59999847,,,67.48678276,60.76667949,22.96471467,,12.99382224,78.19422169,10.7,16073.0,37.9491,,,1.3,,75.6,8.58325395,6.246182442,,8.064283603,,2.089529894,,16.06020334,9.3220034,27.83927351,,57.7,16.4,14.26448528,,,,88.86005501,,,,,,,,,4.8,,,4.114181423,,,,,,,,,,,,27.15478134
2009,,24811.0,,,,,,34.40000153,,,67.36552168,61.18195033,,,,77.32765246,10.8,16849.0,51.1428,,,1.1,,75.9,7.58852463,9.058106422,,4.014501478,,2.085345989,,12.9780767,10.326619,29.56064233,,56.1,16.5,11.9887111,494.8029183,500.4784826,508.0682972,93.72074349,,,,,,,,,4.8,,,,,,,,,,,,,,,28.36309624
2010,17.48332083,25512.0,,,,,,34.59999847,99.995,,66.8188349,61.762861,22.69067505,,7.190207044,79.48745752,10.7,17560.0,56.8012,38.35122287,,0.9,33.18572617,76.4,7.394011614,10.02373791,,4.733180536,,2.487438002,,11.81942252,11.012839,28.85271731,,57.8,15.4,10.23912362,,,,92.2071656,,,,,,,,,4.8,,,3.956624062,,,,,,,,,,55.31,13.21185082,26.74316597
2011,16.03989303,25481.0,,,,,,32.5,99.995,,67.25906716,59.45405775,,,,79.16724349,10.6,17597.0,61.1199,38.36299777,,1.0,,76.8,7.26622841,9.815839767,,9.253710458,,3.083479801,,12.30407852,11.765071,27.74575637,,57.6,14.9,10.87208557,,,,87.7235964,,,,,,,,,4.7,,,,,,,,,,,,,,19.13344115,25.58316803
2012,16.40743762,25218.0,266.90377,259.76888,3.9031576,8.6117839,69.71028985,34.20000076,99.995,,67.44966443,68.3899887,22.40391057,23.10902596,10.62015527,79.06054198,10.4,17789.0,66.9996,37.04805076,35.98131577,1.0,,76.9,7.578876022,10.61423397,,6.238232054,,3.551545744,,10.61783567,12.030914,24.57948638,46.7998026,57.7,14.7,9.26607136,517.5010967,518.1868807,525.8164468,91.11834744,,,,,,,,,4.7,1.592004299,1.659271717,4.10099375,,14.68333333,,5.25,,,,,,,16.01863056,25.01891136
2013,16.0050258,25486.0,,,,,,32.5,99.994,,67.61291561,67.86175496,,,,79.60522984,10.6,17979.0,68.7824,35.71184874,,1.1,,77.1,7.410998998,10.0518446,6.981983781,8.636911152,7.315399715,3.816723794,,13.84218902,12.517287,24.90553973,,58.3,14.3,8.711945479,,,,89.43723524,,,,11.07393343,7.970264938,29.90704677,6.828882503,,4.7,,,,,,,,,,2.285435201,1.964119984,2.902875855,,17.27700382,24.42830849
2014,15.04074335,26026.0,,,,,,29.70000076,99.995,52.46,69.03288813,63.11368097,22.6,,11.07286288,79.76503589,10.4,18950.0,71.1239,35.36220193,,0.9,,77.8,7.247759318,7.697716236,,7.540015886,,3.297901924,134847.0,14.26078005,12.298717,31.1539863,,58.1,13.7,8.422358168,,,,91.20592717,,,,,,,,5.3,4.7,,,4.026327125,,,,,,41.83997,,,,,15.09908289,21.97714996
2015,13.00374866,26710.0,,,,,,29.39999962,99.994,,70.30597041,66.08293484,,,,79.31317699,11.1,19514.0,71.0026,33.26703906,,0.7,30.04719734,77.5,6.827535662,6.390757084,,10.32819076,,2.9847473,,15.97785996,12.443276,24.10482732,,57.8,14.3,7.730436877,504.4692514,505.6970704,501.4353318,86.27860911,,,,,,,,,4.6,,,,,,,,,,,,,55.34,14.1544506,18.83730698
2016,11.48936227,28051.0,,,,,,24.79999924,99.986,47.8,71.50741269,69.65306853,21.67117413,,9.417880936,80.31744542,10.3,20591.0,75.7073,31.8205595,,0.7,,78.0,6.674891962,5.046433449,,7.979653232,,2.184021297,151068.0,11.97611174,12.35,23.02434131,,58.4,13.7,7.970035406,,,,88.62489787,,,,,,,,,4.4,,,3.80887892,,,,,,41.284821,,,,,13.70693594,16.68705368
2017,10.66597998,29236.0,,,,,,22.10000038,99.985,,72.93387904,66.12293587,,,,80.44854638,9.6,21319.0,77.6367,31.68327212,,0.7,,77.8,5.963034531,,,11.19866575,,1.541028825,,13.02614771,9.9398375,27.34632292,,58.8,13.6,7.455304253,,,,83.58807451,,,,,,,,,4.2,,,,,,,,,,,,,,13.26231509,17.07683563
2018,10.21487415,31213.0,,,,,68.2859676,18.60000038,99.989,,73.97444909,73.90884811,21.10929117,,11.49790995,80.90599213,9.8,22187.0,79.3346,30.65006137,,0.5,,77.7,5.587631847,,3.671402484,13.24757958,7.783058738,1.049917957,,11.51185373,9.3732967,20.76055193,,59.1,12.8,7.536202408,515.6478747,511.8556954,511.0355619,83.76461363,6.696733688,6.696733688,6.696733688,8.522094062,8.127362314,27.16531241,6.868654038,,4.3,,,3.704680847,1.583987594,,1.655177712,,1.608373165,,2.006010372,1.816397873,2.631628427,,15.6632334,16.84568596
2019,9.601120651,32695.0,,,,,,15.69999981,99.988,,74.64063741,71.68688211,,,,80.95488882,9.4,23270.0,83.3001,29.35577929,,0.6,,78.0,5.209053061,,,11.70368433,,0.719185161,,10.34569749,8.8543139,21.4942794,,59.8,12.8,7.660744219,,,,84.43956142,,,,,,,,5.2,4.0,,,,,,,,,,,,,,16.84289724,17.03390884
2020,7.712440193,33330.0,,,,,,15.89999962,,,75.65005175,71.1392446,18.8,,8.690614137,81.48833724,9.1,24244.0,89.5686,28.41972709,,,,76.5,4.180795072,,,4.616603814,,0.644057247,,20.53020046,9.3502884,22.62317014,,61.6,10.8,6.562492607,,,,93.96923229,,,,,,,,,4.0,,,3.450711476,,,,,,,,,,68.18,14.35502619,
2021,,33566.0,,,,,,13.69999981,,,77.69871329,71.00036355,,,,80.01631648,,23841.0,91.7201,,,,,75.6,3.438393875,,,6.39785833,7.5,0.912725048,,14.4679368,11.683,24.34552021,,,,5.932875107,,,,92.84729997,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,69.66653812,,,,,,,,,,,,,,,,10.90610616,,,,,,20.3631088,,,,5.035288582,,,,85.13787319,,,,,,,,,,,,,,,,,,,,,,,,
