year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,28766.0,,35.59999847,,,74.83663523,,,,84.32260835,13.2,21580.0,,,,,78.4,5.117233582,,,,,3.117314828,,,11.841886,,45.3,21.2,13.65409312,,,,,,,,,,,,,7.1,,,,,,,,,,,
2005,,28609.0,,36.79999924,61.847,,74.4836006,,,,83.94409301,12.6,21694.0,19.7212,,,46.75820923,78.2,5.277020877,,,,,3.887640548,,,11.580561,,45.8,20.6,13.1304723,,,,,,,,,,,,,6.8,,,,,,,,,64.26,,
2006,,27988.0,,36.79999924,,,74.75400159,64.03689345,20.71428571,12.80846064,83.60824826,12.4,21542.0,24.0068,,,,79.0,4.976717733,,,9.383106719,,4.101105973,,17.10159424,10.830891,30.50154056,48.0,20.1,10.18836779,466.1609857,472.304305,474.3058892,89.68872957,,,,,,,,,6.5,4.978118162,,,,,,,,,,
2007,,28175.0,,37.5,,,74.60333739,,,,83.20555457,12.8,21751.0,30.4211,,1.0,,79.3,5.220590712,6.637027264,,,,3.994301189,,,12.127938,,45.8,19.0,10.21591275,,,,,,,,,,,,,6.3,,,,,,,,,,,14.19342709
2008,,28081.0,,46.70000076,,,74.97901698,63.03958476,,,82.94669882,11.3,21959.0,39.3449,,1.4,,79.5,5.586518876,7.382618427,,11.21175391,,3.805043767,,19.51158986,10.45138,34.83760778,48.3,19.6,9.267209174,,,,87.07264459,,,,,,,,,6.0,,,,,,,,,,,13.1124754
2009,,29378.0,,46.09999847,,,73.1673556,61.74202436,,,82.88901927,11.6,22522.0,46.1581,,1.0,,79.7,5.181451128,10.53641605,,12.56673019,,4.421377242,,16.09149603,11.527869,34.40933493,47.7,19.5,8.794838291,486.8883059,489.3349238,492.9499673,85.97871451,,,,,,,,,5.6,,,,,,,,,59.68,,13.57200623
2010,6.439453363,29260.0,,44.90000153,46.269,,72.65630358,63.27074514,15.88888889,16.02094241,82.21624896,10.9,22392.0,50.3164,8.906574547,1.2,28.86662674,80.1,5.398332382,7.146677971,,14.10378318,,5.96192326,137409.0,16.40005223,12.065072,33.82272622,49.2,20.3,8.861794685,,,,83.33547496,,,,,,,,,5.6,4.503649635,,,,51.40073,,,,,21.00231647,13.53700733
2011,3.672692552,28548.0,,41.79999924,59.646,,68.76178501,62.76061124,,,81.6041617,11.4,21479.0,56.6065,6.397499144,0.9,,80.7,8.499674344,8.686295509,,14.07394646,,6.627157455,,16.11907575,13.557874,32.51436204,49.7,18.0,8.427348078,,,,83.6350924,,,,,,,,,5.7,,,,,,,,,58.03,18.43557805,12.3860836
2012,2.291217633,27321.0,49.88195567,40.5,30.654,,66.46664093,60.19980284,,,80.73263496,13.0,20725.0,59.7484,5.735883489,1.1,,80.6,9.28012058,9.919524193,,13.107359,,8.197118337,,20.86053323,15.59341,34.18036724,48.0,18.2,6.810594705,487.0631811,487.7576873,489.274733,84.73696927,,,,,,,,,5.8,,,,,,,,,,23.60008508,12.26207161
2013,2.227665111,27840.0,,46.90000153,25.266,34.78,66.05523762,67.12753531,,,80.38954496,13.5,20526.0,61.6197,6.075008214,0.9,,80.9,9.54721767,10.64265919,18.85388941,13.06874628,6.15374535,9.819875025,109493.0,19.83908322,14.793099,28.61730179,46.1,18.6,6.074019701,,,,85.32629083,,,,13.50889871,7.899927086,35.51849991,6.541734126,,6.0,,,,,53.044182,3.83491056,2.124958488,3.632720381,,23.01966846,12.44617271
2014,3.554681316,27361.0,,43.70000076,24.058,,68.73781374,71.76934851,11.57142857,15.3217569,79.5241386,13.5,20399.0,63.3669,5.519655347,1.0,,81.3,9.768257575,8.470006943,,13.73092239,,8.810198868,,20.65184161,16.885265,24.90610121,45.9,18.3,6.118553593,,,,85.64571089,,,,,,,,10.1,5.9,4.051457976,,,,,,,,,21.43420279,14.6990881
2015,3.657663241,27278.0,,40.40000153,25.065,,70.59334468,69.15524709,,,79.82331504,12.5,21025.0,68.5405,5.365143716,1.0,33.23754501,81.3,8.739736732,9.372454643,,13.14002473,,7.538493114,,23.93333629,14.777069,24.63013116,46.4,18.0,5.715760714,491.6269679,498.1289056,501.1000622,85.07660632,,,,,,,,,5.7,,,,,,,,,55.84,22.72459418,13.52216244
2016,4.356602207,27135.0,,36.70000076,10.204,,72.15368326,75.22946963,,,80.24392934,12.5,21582.0,72.9517,5.415213481,0.8,,81.3,7.490987565,8.132401466,,9.368995343,,6.457143938,,18.14087055,14.206321,20.11771279,47.6,15.9,5.444174009,,,,88.87491677,,,,,,,,,5.6,,,,,,,,,,20.39151788,12.25029945
2017,4.237927869,27244.0,,33.59999847,17.259,44.52,75.04805352,75.79199409,,,80.41394353,10.7,21863.0,76.3632,4.938135296,0.7,,81.6,7.499817569,,,9.931674741,,4.631303849,119542.0,19.13904929,11.795432,19.69179055,48.8,15.3,5.839233109,,,,89.37002783,,,,,,,,,5.2,,,,,53.855431,,,,,20.76487839,12.99697208
2018,3.542796895,27696.0,51.68694425,29.20000076,15.536,,77.25260636,78.96994687,4.16,11.66500499,80.51498825,10.4,22405.0,76.9263,5.13937436,0.7,,81.5,7.125855159,,12.61657029,11.25791527,6.689224889,3.199413142,,18.33265313,11.444414,18.25961822,49.3,15.5,6.559112127,492.4874062,491.8007851,491.6773285,88.46959576,12.64329837,12.64329837,12.64329837,9.49226168,8.203228596,36.7085416,6.382327186,,5.1,3.430882353,1.697376132,1.691626787,1.652596831,,2.892992694,1.861800318,3.575746608,,13.44664991,12.79439354
2019,2.24959664,28790.0,,25.79999924,15.173,,78.13265039,83.32839143,2.696945472,11.41903735,80.71889511,10.6,23237.0,77.953,5.010106787,,,81.9,7.667144159,,,12.33420912,,2.880279746,,16.80709672,10.515026,15.14149594,50.0,15.2,6.646156026,,,,87.20150782,,,,,,,,8.5,4.9,3.282746905,,,,,,,,48.57,13.76307309,
2020,2.017624117,29093.0,,20.70000076,,,77.52233549,82.87819944,5.343198183,11.71680755,80.01666838,12.8,22639.0,81.6655,4.851761833,,,81.1,6.158368225,,,12.45055943,,2.38158801,,21.55635725,10.350573,14.71624408,51.2,13.3,5.196238623,,,,87.14621499,,,,,,,,,5.6,3.542232011,,,,,,,,,11.81040406,
2021,,29740.0,,20.89999962,,,79.58503892,83.43341879,,,79.97053066,,23136.0,84.1039,,,,81.2,7.504311281,,8.661753684,10.46653473,7.0,2.921132235,,16.92763379,11.244765,14.74878972,,,5.447526435,,,,89.15940713,,,,,,,,,,,,,,,2.611666679,,,,,
2022,,,,,,,,79.59904731,,,,,,,,,,,,,,13.62098468,,,,,,14.78490118,,,,,,,85.32855112,,,,,,,,,,,,,,,,,,57.96,,
