year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,16078.0,,,,,,,,,66.27930963,,18.00180018,20.88376561,68.52330796,8.3,14365.0,,,,1.9,,74.2,5.796716434,,,,,11.00522171,,,18.112068,,,,,,,,,,,,,,,,,3.9,,,3.487044686,,,,,,,,,,25.58992577
2005,,17064.0,,,,,,30.5,100.0,,67.24400908,,18.0,20.09925558,69.31542116,7.2,14875.0,7.1164,,,1.7,37.40075684,74.1,6.278705637,,,,,11.02876182,,,16.06082,,,52.0,17.7,,,,,,,,,,,,,4.2,,,3.401224073,,,,,,,,,,28.42935562
2006,,17655.0,,,,,,34.90000153,,,68.98719441,46.97742192,17.99640072,17.80276817,68.62682427,6.5,15554.0,11.4169,,,,,74.5,6.933427051,,,4.54211234,,9.752743114,,20.32951545,15.089272,46.22100404,,52.0,18.1,492.1062379,466.3497688,488.4333986,93.3045389,,,,,,,,,3.6,,,3.509790906,,,,,,,,54.67,,13.59827805
2007,,18738.0,,,,,,30.60000038,,,69.98234968,,18.0,17.52170482,69.19135746,6.9,17031.0,26.5023,,,,,74.6,7.122493118,10.65562248,,,,7.81838779,,,12.496843,,,52.9,17.8,,,,,,,,,,,,,3.6,,,3.46311971,,,,,,,,,,15.07602119
2008,,18931.0,,,,,,35.0,,,72.10637445,,19.00190019,16.44476957,68.98297584,7.2,18129.0,35.33,,,1.3,,74.9,7.051651306,8.990856171,,,,6.334676357,,,11.406762,,,59.6,15.8,,,,,,,,,,,,,3.7,,,3.537079293,,,,,,,,,,29.41393471
2009,,19575.0,,,,,,31.60000038,,,69.98465995,,19.9960008,16.43272126,69.84387604,7.9,18381.0,41.7274,,,1.1,,75.3,5.688517156,10.81888485,,,,6.156699883,,,11.18028,,,61.9,14.7,496.68342,477.4433525,490.2659219,,,,,,,,,,4.0,,,3.598070651,,,,,,,,,,29.10270691
2010,7.541044801,20427.0,,,,,,31.89999962,100.0,,68.43378258,49.16603813,20.0020002,14.85111765,70.42029732,8.0,18775.0,49.3512,29.72312868,,1.2,33.89246368,75.6,5.412677878,13.38858891,,7.829297361,,8.548990804,113691.0,16.56249898,13.876116,44.58169179,,63.5,13.8,,,,89.59853135,,,,,,,,,3.9,,,3.653409091,,,,32.783009,,,,58.84,6.439482421,22.93768311
2011,7.777450234,20249.0,,,,,,30.39999962,100.0,,68.76793153,58.57271052,20.0,15.44985643,69.79428416,8.2,18284.0,55.3284,29.07481194,,,,76.1,6.11505204,12.57714939,,8.07167713,,8.741100885,,21.88163497,13.977267,35.65003469,,63.2,13.5,,,,89.52248476,,,,,,,,,3.9,,,3.647424139,,,,,,,,,8.686213195,
2012,6.452095509,19996.0,273.8456,275.80759,2.69203,4.8352071,78.73732098,33.5,100.0,,68.8490744,54.7550161,18.99810019,15.96526916,70.2529313,8.5,18172.0,72.0535,28.55841815,22.8454798,1.0,,76.3,6.477691303,12.8668232,,7.136043908,,8.920942757,,20.54431725,13.59252,39.3610235,64.89476196,65.7,12.6,481.6447439,462.7670326,471.1931778,88.97417049,,,,,,,,,3.7,1.44892025,1.546567321,3.59837539,,,,,,,,59.11,7.307717204,23.85238266
2013,4.613197967,20149.0,,,,,,36.59999847,100.0,,68.67247735,58.02520043,20.0,14.10932976,70.63764451,8.5,18084.0,70.1813,29.45584953,,1.3,,76.6,7.024961788,13.17831135,10.92598513,8.798314618,6.951438398,9.494624893,,17.69510425,13.984708,34.72959131,,65.9,11.9,,,,88.29032912,,,,13.28075186,7.911655876,29.39981444,6.87232285,,4.1,,,3.649312039,,,,,2.530314908,2.069979639,2.774944086,,6.649423391,21.2950325
