year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,33001.0,,,,,,,,,72.98211302,,,,81.45527959,7.9,18867.0,,,,1.8,,77.2,8.48645305,,,,,3.317302632,,,8.0243807,,,,,13.72447761,,,,,,,,,,,,,3.5,,,,,,,,,,,60.64,,47.02743912
2005,,34259.0,,,,,,27.20000076,100.0,,73.45108893,,,,81.23928727,7.1,19667.0,19.4202,,,1.1,41.05101776,77.5,8.472047413,,,,,3.155847878,,,9.2404842,,,53.6,16.2,12.91556325,,,,,,,,,,,,,3.5,,,,,,,,,,,,,46.56652832
2006,,35399.0,,,,,,24.29999924,,,73.77238269,79.35374316,19.96666667,6.557377049,81.47108503,7.4,20114.0,33.5619,,,0.6,,78.3,7.790694258,,,6.350192474,,3.002869644,,16.86334506,9.2453585,18.9280439,,56.3,15.8,13.12795816,504.4559638,494.4090369,518.8156098,92.98827692,,,,,,,,,3.4,,,3.776576577,,,,,,,,,,54.1158371
2007,,36190.0,,,,,,20.20000076,,,74.44142668,,,,81.55055675,7.9,20804.0,43.6456,,,1.0,,78.4,7.738318271,3.436824322,,,,2.26538389,,,7.6216273,,,57.8,14.5,14.57438083,,,,,,,,,,,,,3.5,,,,,,,,,,,,,54.93394089
2008,,36741.0,,,,,,26.10000038,,,75.16922066,,,,81.64453093,7.9,21352.0,49.7196,,,0.6,,79.1,8.200964448,3.418900013,,,,1.88226137,,,7.610734,,,58.8,14.2,10.64534149,,,,,,,,,,,,,3.4,,,,,,,,,,,63.1,,55.99048615
2009,,37052.0,,,,,,25.70000076,,,74.32767412,78.70922014,,,80.24754963,8.3,21045.0,56.1491,,,0.5,,79.4,6.791745925,4.81577158,,8.039194887,,1.806280671,,21.28129695,7.5043778,19.62043151,,59.7,13.3,8.413855406,501.4723893,483.0820422,511.7594731,90.83979765,,,,,,,,,3.6,,,,,,,,,,,,,58.20884323
2010,3.613257781,38123.0,,,,,,28.60000038,100.0,,72.71172091,82.57419995,17.76923077,0.991735537,79.68286986,9.1,20924.0,62.0208,,,0.4,34.54675293,79.8,6.077897924,5.817456722,,8.186436945,,3.209952552,,16.8523162,6.6367435,16.45530952,,59.6,13.3,6.741652076,,,,90.68758547,,,,,,,,,3.6,,,3.341961853,,,,,,,,,8.419312537,56.93061829
2011,3.480215743,38007.0,,,,,,29.5,100.0,,70.84564599,84.45389633,,,80.11174939,8.6,20966.0,66.955,13.4613201,,0.9,,80.1,5.55006964,6.088112354,,6.772797768,,3.687543791,,16.4949865,7.794889,14.13665783,,60.4,13.3,6.877414716,,,,91.62046137,,,,,,,,,3.6,,,,,,,,,,,65.6,8.49621743,56.16280365
2012,3.836932406,36883.0,,,,,59.40673678,28.5,99.991,,70.96907005,85.25076138,,,80.03951186,9.5,20111.0,73.3003,13.41533661,,0.7,,80.3,5.715041895,8.282476425,,7.511471923,,4.307489091,,19.33765444,8.0635796,14.06412664,,63.1,12.5,6.324507564,501.1274225,481.3162835,514.142556,92.31379197,,,,,,,,,3.7,,,,,,,,,,,,7.98619464,57.4907341
2013,3.354514763,36279.0,,,,,,33.09999847,99.991,,69.98463096,80.68544988,,,79.9667434,9.5,19649.0,74.1924,12.14709952,,0.9,,80.5,5.626033539,9.040136337,8.255084604,6.740549692,6.963050805,5.24146197,,17.91483086,9.1596098,17.60024253,,64.8,10.7,6.071436031,,,,92.55997812,,,,8.221746453,8.333142886,29.63619273,6.826211633,,3.8,,,,,,,,2.341199695,1.772334061,3.024303275,,11.66085452,56.21081543
2014,4.006593302,37000.0,256.38674,257.55833,5.4097562,6.2681619,,30.60000038,99.97,54.09,70.39828528,83.54150497,18.72727273,4.996271439,80.40586397,9.3,19843.0,75.384,11.70465052,12.66255082,0.9,,81.2,5.497378571,8.033046722,,9.04807558,,5.396485558,133700.0,19.52459418,9.3214607,15.74549002,72.93461596,64.8,11.0,5.239958566,,,,89.67350351,,,,,,,,5.5,3.7,1.638028741,1.722726345,3.330798479,,,,48.622921,,,,51.73,11.83521152,48.67832184
2015,1.842154935,37779.0,,,,,,28.70000076,99.97,,71.38275514,83.89536731,,,80.75572812,9.2,20286.0,77.5974,10.96286029,,0.6,31.83072853,80.9,5.357007052,6.814877033,,9.750014621,,4.762617202,,17.78019945,11.544705,15.36640128,,64.8,11.6,5.817126979,509.9196321,505.2158806,512.8635786,88.89813208,,,,,,,,,3.7,,,,,,,,,,,,11.17800176,50.44781494
2016,2.984438278,39242.0,,,,,,25.89999962,99.924,,72.23199547,86.66285771,,,80.75549017,8.6,21179.0,78.4212,9.387072176,,0.7,,81.2,4.483770775,5.936291218,,6.518519375,,4.31664222,,16.9024192,7.8444781,13.03266476,,64.4,10.0,6.297875969,,,,92.98164478,,,,,,,,,3.6,,,,,,,,,,,,12.49367222,48.27152252
2017,1.589505561,39962.0,,,,,,22.60000038,99.918,65.02,75.11786277,87.78056516,,,81.26017328,8.5,21800.0,81.7369,9.583680332,,1.1,,81.2,4.487950593,,,7.16740164,,3.163496732,151043.0,17.45964312,7.1024179,11.56824573,,65.3,9.7,5.034137747,,,,92.64026617,,,,,,,,,3.6,,,,,,,43.982979,,,,,9.868902713,50.89728928
2018,1.01083545,40664.0,,,,,59.66128104,20.5,99.961,,77.18659945,90.42659097,17.05555556,8.194536975,81.67467915,7.5,22672.0,86.6821,9.413213283,,0.7,,81.5,4.230038251,,6.050935015,5.889543019,7.310714199,2.233154191,,17.84137924,7.1686435,9.157587196,,65.4,9.7,4.402771327,508.8975441,495.3456152,507.0065459,93.88451883,8.027603245,8.027603245,8.027603245,5.553313707,8.557205401,24.26321344,7.194881132,,3.6,,,3.19112628,1.585488319,1.649736166,1.591387987,,2.284286237,1.636547459,2.853289173,52.64,10.04668996,50.8975296
2019,0.626348425,41860.0,,,,,,17.39999962,99.961,,78.3808904,90.30919578,,,81.94029497,7.4,23507.0,88.9611,8.680021763,,0.4,,81.6,4.056180334,,,5.029601889,,1.934167261,,11.84415581,6.3177996,9.607802517,,66.6,9.6,4.90170637,,,,94.37405309,,,,,,,,7.5,3.5,,,,,,,,,,,,6.551019847,55.21992111
