year,EAP,ER,FSAN,HA,HDBRIP,H,JS,LE,LHWPW,LSS,LTUR,NAB,NEET,Not FSAN,SS,TAHDIQ,VT,SADdeaths
2004,,55.08978916,,80.45596601,,10.6,,53.4,,,16.07081417,,,,,,76.73,4.932087898
2005,99.997,57.06468523,,79.93589817,,12.1,38.03821564,53.5,,,15.17907877,,,,,,,5.291210175
2006,,58.75930461,40.69296328,79.65936622,,11.9,,53.8,,8.54843648,13.44814385,12.88605737,,56.06207878,89.74355399,,,5.102710724
2007,,58.17961476,32.4509619,79.58444095,,12.3,,54.5,,21.15372015,12.88563314,16.65610132,,66.7877144,78.77296114,,,4.877146721
2008,,58.8181997,18.60957476,80.06447746,,11.2,,55.4,23.80474005,18.92597939,11.32929062,13.45349925,,80.94389582,80.44500502,,,4.677371025
2009,,56.6856243,19.88789087,80.36143978,,10.9,,56.5,20.66756365,12.25331613,11.86154732,10.88535457,,79.84062549,87.65910264,,77.3,4.276698589
2010,99.996,54.3918787,27.88389136,80.22892546,,10.3,,57.7,19.47370598,8.291002176,14.11351658,8.404533668,,72.05414322,91.66803172,,,4.449950695
2011,99.996,54.4028274,38.22918789,80.84848237,,9.9,,58.9,19.23629228,14.21689015,14.79324245,11.71631533,,61.69779925,85.69318285,,,4.896380424
2012,99.996,54.82239478,26.77902641,81.24363662,,9.9,,60.1,18.71638632,9.322772832,14.54879791,10.12723045,,72.93622204,90.48754111,,,4.587358952
2013,99.996,55.26364111,29.56965755,81.52469065,,9.6,,61.1,18.43513872,16.05755275,14.29953391,11.04068273,31.965597,70.24430596,83.94244725,,,5.129451752
2014,99.996,55.19452932,31.02916433,81.85418887,,10.0,,62.0,18.06803772,11.86970702,14.48381239,10.14333282,31.313044,68.50856823,88.00345299,,73.48,5.010197163
2015,99.996,55.83426196,39.80251288,,27.2,13.6,26.68432808,62.7,18.41099515,10.15815317,14.43501561,5.222511431,30.499132,58.91617782,89.5256638,33.1,,5.415973663
2016,99.996,55.04567868,37.33052842,,,14.5,,63.2,18.62970855,12.41666523,15.69832344,14.84193248,31.221783,62.35097523,87.22734387,,,5.025360584
2017,99.996,55.14863963,31.24948508,,27.7,14.2,,63.5,18.11829119,12.96867014,16.59089917,10.45127521,31.153654,68.05077828,87.03132986,32.4,,4.670994759
2018,99.996,54.97101449,31.47693702,,,13.1,,63.9,17.52834629,15.85803072,16.83386508,13.06143002,31.564072,67.54349676,84.09427872,,,4.938275337
2019,99.996,53.92009502,29.26084713,,,,,64.1,17.31440871,15.14638706,18.59455974,11.33698491,32.460289,69.34792012,84.31749667,,66.05,
2020,,49.2109188,39.97604954,,,,,64.4,15.44946033,10.88381697,18.03861158,11.56782972,32.524227,59.34009455,89.01386589,,,
2021,,47.25308327,32.07958387,,,,,,14.35623533,7.757771796,24.48406099,7.359090773,32.878059,65.34632712,92.006225,,,
