year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,H,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,61842.0,,,,80.64431812,,,22.012478,78.54882534,,33081.0,,,0.9,81.3,0.391083474,,,,,1.478279802,,9.1288614,,,,6.925444736,,,,,,,,,,,,,2.638529785,,,,,,,,,18.96735001
2005,,62811.0,,,93.716,80.8334067,,,,78.65263733,,33752.0,,,0.9,81.5,0.477760214,,,,,1.761510228,,9.6870956,,,,5.515770383,,,,,,,,,,,,,,,,,,,,,,19.2226162
2006,,62993.0,,,,81.0188522,77.32698932,,21.31813213,78.93494074,9.7,34646.0,52.79,,0.6,81.8,0.499966782,,,4.816630632,,1.588938377,9.479287629,9.1817484,19.67418263,,,4.96036534,529.6561473,499.2777838,511.5239095,94.19343265,,,,,,,,4.8,2.699478001,,,,,,,,,20.46841621
2007,,63743.0,,8.0,,81.97608363,,,,79.33165424,9.4,35653.0,63.0007,,0.6,82.0,0.401032077,1.469471812,,,,1.5133096,,9.2560263,,84.0,4.1,5.114041119,,,,,,,,,,,,4.9,,,,,,,,48.28,,21.13647652
2008,,64063.0,,8.399999619,,83.13316971,,12.95,21.30750605,78.90710023,9.7,35717.0,70.82,,0.6,82.3,0.487690117,1.391641259,,,,1.1703336,,9.2586641,,81.3,3.2,4.701393061,,,,,,,,,,,,4.8,2.75496368,,,,,,,,,20.3945446
2009,,65371.0,,11.30000019,,82.71985911,76.48446231,,,79.1291991,9.4,35933.0,73.9,,0.7,82.3,0.555686319,1.867594719,,6.121666372,,1.26751834,9.480023641,9.546423,20.60080304,80.9,3.4,4.531375294,533.9606448,500.5002117,516.5675101,93.15817263,,,,,,,,4.6,,,,,,,,,,17.64743805
2010,0.481778337,65019.0,,11.0,93.768,80.42980229,,13.06,20.05359536,78.85048379,9.4,36272.0,76.55,5.322116986,0.5,82.7,0.435706466,1.97134912,,,,1.745569509,,,,81.5,3.5,4.199950525,,,,,,,,,,,,4.6,2.759499646,,,,,,,,23.51155877,14.97246647
2011,0.397064164,65447.0,,12.5,96.517,81.52508858,,,,78.80105183,10.5,36364.0,81.3,5.027185753,0.5,82.8,0.447354462,2.230690956,,,,1.799771915,,,,81.2,3.6,4.066004467,,,,,,,,,,,,4.4,,,,,,,,49.5,25.17496943,15.22059059
2012,0.1643989,66425.0,69.53179113,12.0,93.954,81.95993284,77.61024451,12.08,19.34352644,78.84017987,9.1,36909.0,79.7,4.639767483,0.5,82.8,0.460301891,2.33954072,,5.297213879,,1.686172133,7.340902899,,19.03897137,81.9,3.1,4.261651846,530.9310039,509.0402497,515.2975244,94.39418543,,,,,,,,4.3,2.96278626,,,,,,,,15.1110813,14.7278204
2013,0.0,67236.0,,11.5,91.791,81.76069646,,,,79.03054378,8.6,37480.0,86.33,5.122088641,0.5,82.9,0.451148406,2.449080467,2.533808723,,8.047416135,1.646124679,,,,80.7,3.7,3.346162362,,,,,,,,3.024658967,8.676489449,27.51154137,6.987054597,4.4,,,,,1.721803255,1.488189876,2.798191092,,12.18886673,15.03827953
2014,0.373156671,67348.0,,12.0,66.686,82.17234384,81.26340359,11.89,16.94074284,79.11189877,9.9,37655.0,87.76,5.277840421,0.4,83.3,0.489315266,2.544530869,,4.114774998,,1.92220726,9.02823374,,17.83008391,78.5,4.3,2.985393318,,,,95.74951861,,,,,,,,4.6,2.72077185,,,,,,,,13.36020976,14.52097988
2015,0.312938937,67731.0,,11.19999981,84.672,82.74147214,87.42669802,,,78.92852626,9.1,37855.0,,5.4114528,0.6,83.0,0.510647649,2.354145527,,6.144712644,,1.94589438,8.467950012,,11.26599155,79.7,4.1,3.071258291,521.2505752,492.1982286,505.5058155,93.49992431,,,,,,,,4.5,,,,,,,,48.51,15.28769433,14.64097118
2016,0.0,67225.0,,12.60000038,68.355,82.99653691,83.35453457,12.03,14.76237207,78.81412933,10.4,38013.0,,5.585882068,0.4,83.7,0.451806186,2.400400877,,7.235018136,,2.005297623,11.08950329,,15.45518314,77.6,4.5,2.593932168,,,,92.73522731,,,,,,,,4.7,2.654608847,,,,,,,,15.41061848,13.99282455
2017,,66913.0,,12.0,46.256,83.0080344,84.97823851,,,78.63004879,9.2,37516.0,89.6374,,0.3,83.7,0.433582702,,,4.978124072,,1.879464744,7.579882318,7.0242944,13.54279003,80.2,4.1,2.731737444,,,,93.91457529,,,,,,,,4.6,,,,,,,,,,14.03681278
2018,0.608085422,66723.0,69.53144407,12.10000038,54.964,83.4309058,89.24173141,12.12,15.09564735,78.56074423,10.5,37487.0,,5.350963771,0.4,83.8,0.405826088,,3.698993102,6.897786999,7.963366267,1.92326982,10.41935747,7.2374721,10.38468081,80.7,4.3,2.746303982,515.3147131,483.9294052,495.2762879,92.0533399,10.68571039,10.68571039,10.68571039,4.275153813,8.624074256,18.66580267,7.462808039,4.9,2.736029572,1.625274777,1.78471148,1.694463134,1.77749063,1.517848056,2.335083729,,15.72434753,13.49924088
2019,0.117180985,68122.0,,12.30000019,48.527,84.10155984,87.57855922,,,78.57733196,9.9,37970.0,95.300215,5.054440349,0.4,84.0,0.396192128,,,5.148711991,,1.710219957,5.536550482,6.3053041,10.66351858,81.2,4.2,2.188535422,,,,94.85128801,,,,,,,,5.0,,,,,,,,45.12,18.9871937,13.41907883
2020,0.0,67105.0,,10.5,,83.73417171,85.89695608,12.0,13.8025469,79.12472218,,38910.0,,5.279430375,,83.1,0.366987183,,,5.354427244,,1.71713181,6.959539603,6.9242945,13.26270185,83.3,3.6,2.637684517,,,,94.38617202,,,,,,,,,2.771122995,,,,,,,,16.72613174,
2021,,68957.0,,,,82.88073936,88.61556831,,,,,39213.0,98.0692,,,84.0,5.142705212,,,6.560696753,,2.176755928,6.178020764,11.686345,11.14094649,,,2.306725257,,,,93.43930325,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.757818559,,,,,,,,,,,,,,,,,,,,,,
