Country	TIME_PERIOD	OBS_VALUE	ATTRIBUTE
Australia	2012	5.5	TAHDIQ_Age:Total_Sex:Total_Education:Total
Australia	2014	5.7	TAHDIQ_Age:Total_Sex:Total_Education:Total
Australia	2016	5.5	TAHDIQ_Age:Total_Sex:Total_Education:Total
Australia	2018	5.6	TAHDIQ_Age:Total_Sex:Total_Education:Total
Australia	2020	5.6	TAHDIQ_Age:Total_Sex:Total_Education:Total
Australia	2004	11.176826	NEET_Age:Total_Sex:Female_Education:Total
Australia	2005	11.14771	NEET_Age:Total_Sex:Female_Education:Total
Australia	2006	10.429163	NEET_Age:Total_Sex:Female_Education:Total
Australia	2007	10.129006	NEET_Age:Total_Sex:Female_Education:Total
Australia	2008	9.9117203	NEET_Age:Total_Sex:Female_Education:Total
Australia	2009	11.14784	NEET_Age:Total_Sex:Female_Education:Total
Australia	2010	10.282081	NEET_Age:Total_Sex:Female_Education:Total
Australia	2011	10.872974	NEET_Age:Total_Sex:Female_Education:Total
Australia	2012	10.498947	NEET_Age:Total_Sex:Female_Education:Total
Australia	2013	11.698781	NEET_Age:Total_Sex:Female_Education:Total
Australia	2014	11.083911	NEET_Age:Total_Sex:Female_Education:Total
Australia	2015	10.174967	NEET_Age:Total_Sex:Female_Education:Total
Australia	2016	9.1799345	NEET_Age:Total_Sex:Female_Education:Total
Australia	2017	8.929635	NEET_Age:Total_Sex:Female_Education:Total
Australia	2018	9.115056	NEET_Age:Total_Sex:Female_Education:Total
Australia	2019	8.1991501	NEET_Age:Total_Sex:Female_Education:Total
Australia	2020	10.945437	NEET_Age:Total_Sex:Female_Education:Total
Australia	2021	7.2702198	NEET_Age:Total_Sex:Female_Education:Total
Australia	2005	27.26585007	JS_Age:Total_Sex:Total_Education:Total
Australia	2015	25.5707798	JS_Age:Total_Sex:Total_Education:Total
Australia	2006	14.35621358	TO_Age:Total_Sex:Total_Education:Total
Australia	2014	7.6	LS_Age:Total_Sex:Total_Education:Total
Australia	2019	7.5	LS_Age:Total_Sex:Total_Education:Total
Australia	2020	7.2	LS_Age:Total_Sex:Total_Education:Total
Australia	2010	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2011	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2012	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2013	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2014	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2015	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2016	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2017	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2018	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2019	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2020	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2021	9.683377296	NAB_Age:Young_Sex:Total_Education:Total
Australia	2006	526.879589	SSS_Age:Total_Sex:Total_Education:Total
Australia	2009	527.2705339	SSS_Age:Total_Sex:Total_Education:Total
Australia	2012	521.4947472	SSS_Age:Total_Sex:Total_Education:Total
Australia	2015	509.9938542	SSS_Age:Total_Sex:Total_Education:Total
Australia	2018	502.9645628	SSS_Age:Total_Sex:Total_Education:Total
Australia	2004	83.272232	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2005	84.412949	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2006	84.353523	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2007	84.823486	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2008	83.105896	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2009	84.255821	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2010	84.019539	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2011	84.305344	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2012	84.437431	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2013	83.484528	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2014	82.947945	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2015	83.097328	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2016	83.515259	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2017	83.951401	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2018	84.066086	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2019	84.568695	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2020	81.466423	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2021	85.512535	ER_Age:Total_Sex:Total_Education:Tertiary education
Australia	2004	14.35294118	GWG_Age:Total_Sex:Total_Education:Total
Australia	2005	15.77777778	GWG_Age:Total_Sex:Total_Education:Total
Australia	2006	16.66666667	GWG_Age:Total_Sex:Total_Education:Total
Australia	2007	15.4	GWG_Age:Total_Sex:Total_Education:Total
Australia	2008	11.93737769	GWG_Age:Total_Sex:Total_Education:Total
Australia	2009	16.36363636	GWG_Age:Total_Sex:Total_Education:Total
Australia	2010	14.04293381	GWG_Age:Total_Sex:Total_Education:Total
Australia	2011	15.96638656	GWG_Age:Total_Sex:Total_Education:Total
Australia	2012	13.75	GWG_Age:Total_Sex:Total_Education:Total
Australia	2013	18	GWG_Age:Total_Sex:Total_Education:Total
Australia	2014	15.77335375	GWG_Age:Total_Sex:Total_Education:Total
Australia	2015	13.30769231	GWG_Age:Total_Sex:Total_Education:Total
Australia	2016	13.72843211	GWG_Age:Total_Sex:Total_Education:Total
Australia	2017	13.00094822	GWG_Age:Total_Sex:Total_Education:Total
Australia	2018	13.44856744	GWG_Age:Total_Sex:Total_Education:Total
Australia	2019	15.31165312	GWG_Age:Total_Sex:Total_Education:Total
Australia	2010	66.25210047	FSAN_Age:Young_Sex:Total_Education:Total
Australia	2013	66.25210047	FSAN_Age:Young_Sex:Total_Education:Total
Australia	2014	66.25210047	FSAN_Age:Young_Sex:Total_Education:Total
Australia	2019	66.25210047	FSAN_Age:Young_Sex:Total_Education:Total
Australia	2021	66.25210047	FSAN_Age:Young_Sex:Total_Education:Total
Australia	2012	280.40107	ALS_Age:Total_Sex:Total_Education:Total
Australia	2012	1.4385078	AWLLS_Age:Total_Sex:Total_Education:Total
Australia	2004	84	PH+_Age:Total_Sex:Total_Education:Total
Australia	2007	84.9	PH+_Age:Total_Sex:Total_Education:Total
Australia	2011	85.4	PH+_Age:Total_Sex:Total_Education:Total
Australia	2014	85.2	PH+_Age:Total_Sex:Total_Education:Total
Australia	2017	85.2	PH+_Age:Total_Sex:Total_Education:Total
Australia	2013	97.05021667	VT_Age:Total_Sex:Total_Education:Secondary education
Australia	2004	0.418740178	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2005	0.407244533	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2006	0.478622943	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2007	0.402500298	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2008	0.363775506	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2009	0.565382227	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2010	0.49450229	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2011	0.499153391	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2012	0.593065824	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2013	0.646254186	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2014	0.647802314	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2015	0.703876	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2016	0.639795176	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2017	0.887561615	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2018	0.894864322	LTUR_Age:Old_Sex:Total_Education:Total
Australia	2007	0.693241358	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2008	1.948310375	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2009	1.699145913	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2010	1.851264358	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2011	2.39862442	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2012	1.747744918	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2013	2.318158627	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2014	1.650962472	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2015	1.497082472	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2016	1.360262156	LMIS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2010	97.12308049	SS_Age:Young_Sex:Total_Education:Total
Australia	2013	97.12308049	SS_Age:Young_Sex:Total_Education:Total
Australia	2014	97.12308049	SS_Age:Young_Sex:Total_Education:Total
Australia	2019	97.12308049	SS_Age:Young_Sex:Total_Education:Total
Australia	2021	97.12308049	SS_Age:Young_Sex:Total_Education:Total
Australia	2018	488.2966472	SMS_Age:Total_Sex:Female_Education:Total
Australia	2006	4.666666667	TSISI_Age:Total_Sex:Total_Education:Total
Australia	2004	81.5140602	ER_Age:Total_Sex:Male_Education:Total
Australia	2005	82.29270641	ER_Age:Total_Sex:Male_Education:Total
Australia	2006	82.61643752	ER_Age:Total_Sex:Male_Education:Total
Australia	2007	83.43042582	ER_Age:Total_Sex:Male_Education:Total
Australia	2008	83.49706797	ER_Age:Total_Sex:Male_Education:Total
Australia	2009	82.13818301	ER_Age:Total_Sex:Male_Education:Total
Australia	2010	83.20403873	ER_Age:Total_Sex:Male_Education:Total
Australia	2011	83.42863031	ER_Age:Total_Sex:Male_Education:Total
Australia	2012	82.94527943	ER_Age:Total_Sex:Male_Education:Total
Australia	2013	82.47383443	ER_Age:Total_Sex:Male_Education:Total
Australia	2014	82.15813732	ER_Age:Total_Sex:Male_Education:Total
Australia	2015	82.53534531	ER_Age:Total_Sex:Male_Education:Total
Australia	2016	82.56931532	ER_Age:Total_Sex:Male_Education:Total
Australia	2017	82.93089831	ER_Age:Total_Sex:Male_Education:Total
Australia	2018	83.20421975	ER_Age:Total_Sex:Male_Education:Total
Australia	2019	83.55700109	ER_Age:Total_Sex:Male_Education:Total
Australia	2020	82.0111742	ER_Age:Total_Sex:Male_Education:Total
Australia	2021	83.38332565	ER_Age:Total_Sex:Male_Education:Total
Australia	2018	494.3237975	SMS_Age:Total_Sex:Male_Education:Total
Australia	2014	7.8	LS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2019	7.6	LS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2020	7.3	LS_Age:Total_Sex:Total_Education:Tertiary education
Australia	2004	1	H_Age:Total_Sex:Male_Education:Total
Australia	2006	1.7	H_Age:Total_Sex:Male_Education:Total
Australia	2007	1.3	H_Age:Total_Sex:Male_Education:Total
Australia	2008	1.5	H_Age:Total_Sex:Male_Education:Total
Australia	2009	1.7	H_Age:Total_Sex:Male_Education:Total
Australia	2010	1.4	H_Age:Total_Sex:Male_Education:Total
