Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.716814687,2004,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,8_2,Civic engagement,PT_VOTES,Percentage of votes,Voter turnout,,Total,Total,Total,88.5,2004,Voter turnout_Age:Total_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,11.215392,2004,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87.3,2004,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,12.13630581,2004,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,81.968559,2004,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.322419833,2004,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.7,2004,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,89.2,2004,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,85.4,2004,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,0.937187123,2004,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,32.80250168,2004,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,77.6,2004,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,13.1150567,2004,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,8.9,2004,Homicides_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,74.5,2004,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,60127,2004,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.5,2004,Homicides_Age:Total_Sex:Female_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92.4,2004,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,13.121114,2004,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,59.92600021,2004,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,56.517056,2004,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,4.247852504,2004,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,82.55611507,2004,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,23.85157963,2004,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,39658,2004,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,80.1,2004,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,72.83976,2004,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.46471026,2004,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.62261442,2004,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,75.36450709,2004,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.9,2004,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,80.99570474,2004,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,22.21278763,2004,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,0.784124804,2004,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96,2004,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,73.3,2004,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,68.45005859,2004,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,78.98225427,2004,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,4.786885246,2004,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,0.709128804,2004,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,88.2,2004,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,53.89895662,2004,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,75,2004,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,15.057158,2004,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,6.588370095,2004,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,0.647258696,2004,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,16.22683885,2004,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,89.5,2004,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,19.63534362,2004,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,14.62951671,2004,Road deaths_Age:Total_Sex:Total_Education:Total
